adware,count
LdrGetProcedureAddress,22666
LdrLoadDll,13189
LdrGetDllHandle,9371
RegOpenKeyExW,7752
NtClose,6541
LoadResource,5991
FindResourceExW,5770
RegQueryValueExW,5537
NtAllocateVirtualMemory,5503
RegCloseKey,5486
NtOpenKey,3000
NtQueryValueKey,2998
GetSystemMetrics,2627
GetSystemTimeAsFileTime,2458
SetErrorMode,1585
GetSystemInfo,1260
NtFreeVirtualMemory,1206
NtCreateFile,1070
NtProtectVirtualMemory,1045
RegOpenKeyExA,1044
NtDelayExecution,906
GetSystemWindowsDirectoryW,883
SetUnhandledExceptionFilter,882
DrawTextExW,850
LoadStringW,822
RegQueryInfoKeyW,821
GetSystemDirectoryW,800
CoInitializeEx,773
NtMapViewOfSection,738
NtReadFile,672
FindFirstFileExW,666
RegEnumKeyW,666
LoadStringA,664
NtQuerySystemInformation,648
EnumWindows,630
NtOpenKeyEx,626
SetFilePointer,597
NtCreateSection,572
CreateThread,502
RegEnumKeyExW,500
CoCreateInstance,494
GetFileAttributesW,490
GetFileSize,463
RegQueryValueExA,447
SizeofResource,435
CreateActCtxW,429
NtDuplicateObject,412
CryptAcquireContextW,411
RegCreateKeyExW,370
LookupAccountSidW,366
GetNativeSystemInfo,359
OleInitialize,351
RegSetValueExW,340
FindResourceW,311
NtCreateMutant,291
UuidCreate,267
NtQueryAttributesFile,267
CryptCreateHash,258
CryptHashData,258
GetFileType,240
WSAStartup,236
NtDeviceIoControlFile,226
FindResourceA,224
NtOpenDirectoryObject,210
__exception__,200
NtUnmapViewOfSection,190
RegEnumValueW,177
NtQueryDirectoryFile,170
LdrUnloadDll,153
GetTimeZoneInformation,153
NtOpenFile,148
NtQueryInformationFile,140
GetCursorPos,133
NtOpenProcess,128
CryptDecrypt,122
GetUserNameW,107
NtCreateThreadEx,103
NtOpenSection,102
NtResumeThread,102
IsDebuggerPresent,91
NtWriteFile,89
GetVolumeNameForVolumeMountPointW,73
CreateDirectoryW,72
FindResourceExA,72
NtEnumerateValueKey,71
NtEnumerateKey,70
SetWindowsHookExA,62
SHGetFolderPathW,59
GetSystemDirectoryA,59
GetTempPathW,58
GetFileVersionInfoSizeW,58
CreateToolhelp32Snapshot,55
SearchPathW,52
Process32FirstW,52
Process32NextW,51
OutputDebugStringA,50
timeGetTime,49
SetEndOfFile,49
GetFileVersionInfoW,49
GetFileInformationByHandle,37
RegCreateKeyExA,36
NtOpenMutant,36
GlobalMemoryStatus,33
GetForegroundWindow,31
RemoveDirectoryW,31
GlobalMemoryStatusEx,28
DeviceIoControl,28
RegSetValueExA,27
SetFilePointerEx,25
ReadProcessMemory,22
NtQueryKey,18
LookupPrivilegeValueW,17
WriteConsoleA,15
socket,12
RegEnumKeyExA,12
CreateProcessInternalW,11
WriteProcessMemory,11
NtOpenThread,11
FindWindowA,10
GetAdaptersInfo,9
NtCreateKey,9
DeleteFileW,8
closesocket,8
OpenServiceA,7
OpenSCManagerA,7
InternetSetOptionA,7
NtSetInformationFile,7
InternetOpenA,7
getaddrinfo,6
SetFileAttributesW,6
GetComputerNameA,6
OpenSCManagerW,6
InternetConnectA,5
SetFileTime,5
HttpOpenRequestA,5
NtSetValueKey,4
GetShortPathNameW,4
CoInitializeSecurity,4
FindWindowW,4
GetDiskFreeSpaceExW,4
GetDiskFreeSpaceW,4
GetComputerNameW,3
GetUserNameA,3
CopyFileA,3
connect,3
OpenServiceW,3
CryptEncrypt,3
CopyFileW,3
NtGetContextThread,3
NtWriteVirtualMemory,3
SetWindowsHookExW,2
CryptAcquireContextA,2
NtTerminateProcess,2
RemoveDirectoryA,2
InternetCrackUrlA,2
GetFileAttributesExW,2
MoveFileWithProgressW,2
FindWindowExW,2
ioctlsocket,2
NtSetContextThread,2
RegEnumValueA,2
select,2
GetSystemWindowsDirectoryA,2
CoCreateInstanceEx,2
CoGetClassObject,2
IWbemServices_ExecQuery,2
recv,1
GetAdaptersAddresses,1
Thread32First,1
InternetCloseHandle,1
HttpSendRequestA,1
CryptProtectData,1
FindWindowExA,1
Thread32Next,1
GetBestInterfaceEx,1
NtTerminateThread,1
send,1
InternetOpenW,1
RtlDecompressBuffer,1
RegDeleteKeyW,1
gethostbyname,1
GetFileSizeEx,1
ShellExecuteExW,1
