downloader,count
LdrGetProcedureAddress,7082
LdrLoadDll,4105
LdrGetDllHandle,2440
RegOpenKeyExW,2100
NtClose,2079
NtAllocateVirtualMemory,2052
RegCloseKey,1621
RegQueryValueExW,1551
GetSystemTimeAsFileTime,1168
GetSystemMetrics,779
NtOpenKey,750
NtQueryValueKey,728
NtDelayExecution,723
NtProtectVirtualMemory,518
EnumWindows,505
NtFreeVirtualMemory,491
LoadResource,491
SetUnhandledExceptionFilter,433
FindResourceExW,422
RegOpenKeyExA,406
CoInitializeEx,376
GetSystemInfo,374
DrawTextExW,368
NtReadFile,363
SetFilePointer,349
NtCreateFile,329
CreateThread,304
NtDuplicateObject,300
RegEnumKeyW,272
SetErrorMode,226
CryptAcquireContextW,219
GetSystemWindowsDirectoryW,215
RegQueryValueExA,211
CoCreateInstance,210
NtDeviceIoControlFile,205
GetSystemDirectoryW,191
FindFirstFileExW,177
NtMapViewOfSection,166
GetFileAttributesW,163
RegCreateKeyExW,163
NtOpenFile,162
UuidCreate,149
RegQueryInfoKeyW,149
RegEnumKeyExW,147
CreateActCtxW,146
GetFileSize,142
RegSetValueExW,138
WSAStartup,138
GetFileType,137
SizeofResource,123
__exception__,119
FindResourceW,113
NtCreateSection,111
CryptHashData,109
CryptCreateHash,109
NtQuerySystemInformation,97
LdrUnloadDll,97
CryptDecrypt,94
GetUserNameW,90
NtOpenDirectoryObject,88
SearchPathW,85
GetCursorPos,75
NtCreateThreadEx,74
GetTempPathW,72
LoadStringA,70
NtResumeThread,66
NtOpenKeyEx,63
NtQueryDirectoryFile,58
OleInitialize,54
timeGetTime,54
NtCreateMutant,52
NtQueryInformationFile,51
SetWindowsHookExA,47
FindWindowExW,46
GetFileVersionInfoSizeW,41
NtCreateKey,40
ReadProcessMemory,40
GetFileVersionInfoW,39
Process32NextW,39
CreateToolhelp32Snapshot,37
Process32FirstW,34
GlobalMemoryStatus,33
NtWriteFile,33
IsDebuggerPresent,32
LoadStringW,25
GetNativeSystemInfo,25
FindResourceA,25
SetWindowsHookExW,25
GlobalMemoryStatusEx,24
NtOpenSection,24
CreateDirectoryW,23
CreateJobObjectW,23
GetForegroundWindow,22
IWbemServices_ExecQuery,22
NtQueryAttributesFile,20
GetSystemDirectoryA,20
NtOpenThread,20
SHGetFolderPathW,19
FindWindowA,18
RegCreateKeyExA,18
NtSetValueKey,17
NtOpenProcess,17
GetVolumeNameForVolumeMountPointW,17
NtOpenMutant,15
SetEndOfFile,14
InternetSetOptionA,14
InternetOpenA,14
GetFileAttributesExW,13
InternetConnectA,13
NtSetInformationFile,12
NtUnmapViewOfSection,12
WriteProcessMemory,11
HttpOpenRequestA,11
CreateProcessInternalW,11
GetFileSizeEx,10
OutputDebugStringA,10
GetTimeZoneInformation,10
RegSetValueExA,9
SetFileTime,7
CopyFileA,7
SetFileAttributesW,7
GetVolumePathNamesForVolumeNameW,6
GetComputerNameW,6
CoGetClassObject,6
OpenSCManagerA,6
DeleteFileW,6
NtEnumerateKey,6
FindResourceExA,6
NtEnumerateValueKey,6
socket,6
GetAdaptersInfo,5
MessageBoxTimeoutA,4
InternetOpenW,4
GetShortPathNameW,4
CoCreateInstanceEx,4
CoInitializeSecurity,4
OpenServiceA,4
FindWindowW,3
RegEnumValueW,3
NtQueryKey,3
GetFileInformationByHandle,3
NtGetContextThread,3
connect,3
HttpOpenRequestW,3
MoveFileWithProgressW,3
InternetConnectW,3
InternetCrackUrlW,3
DeleteUrlCacheEntryW,3
closesocket,2
Thread32Next,2
ShellExecuteExW,2
shutdown,2
CreateServiceW,2
InternetCrackUrlA,2
Thread32First,2
RegEnumKeyExA,2
GetAdaptersAddresses,2
NtSetContextThread,2
NtWriteVirtualMemory,2
StartServiceA,2
GetDiskFreeSpaceExW,2
CryptAcquireContextA,2
gethostbyname,2
WSARecv,2
send,2
OpenServiceW,2
setsockopt,2
OpenSCManagerW,2
DeviceIoControl,2
LookupAccountSidW,1
CopyFileExW,1
GetBestInterfaceEx,1
CopyFileW,1
CreateServiceA,1
CryptEncrypt,1
CryptProtectData,1
NtReadVirtualMemory,1
InternetGetConnectedState,1
GetDiskFreeSpaceW,1
GetKeyState,1
getsockname,1
bind,1
getaddrinfo,1
WriteConsoleA,1
LookupPrivilegeValueW,1
GetSystemWindowsDirectoryA,1
NtTerminateProcess,1
GetUserNameA,1
SetFilePointerEx,1
