hacktool,count
LdrGetProcedureAddress,24
RegOpenKeyExW,17
RegQueryValueExW,15
LdrLoadDll,12
__exception__,11
LdrGetDllHandle,10
RegCloseKey,10
NtClose,10
NtAllocateVirtualMemory,10
NtFreeVirtualMemory,7
NtQuerySystemInformation,7
timeGetTime,5
NtCreateFile,4
NtOpenKey,4
NtQueryValueKey,4
GetSystemTimeAsFileTime,3
RegOpenKeyExA,3
RegEnumKeyW,2
CoInitializeEx,2
CoCreateInstance,2
RegQueryInfoKeyW,2
NtReadFile,2
SetFilePointer,2
RegEnumKeyExW,2
GetSystemDirectoryA,2
RegQueryValueExA,2
NtDelayExecution,2
FindWindowA,1
EnumWindows,1
GetNativeSystemInfo,1
LoadResource,1
SizeofResource,1
FindResourceW,1
GetSystemInfo,1
RegSetValueExW,1
RegCreateKeyExW,1
UuidCreate,1
CreateThread,1
OutputDebugStringA,1
NtMapViewOfSection,1
GetForegroundWindow,1
GetFileSize,1
CryptHashData,1
CryptCreateHash,1
CryptAcquireContextW,1
SetUnhandledExceptionFilter,1
GetSystemWindowsDirectoryW,1
NtCreateSection,1
Process32NextW,1
Process32FirstW,1
CreateToolhelp32Snapshot,1
