miner,count
LdrGetProcedureAddress,607
NtClose,500
LdrLoadDll,367
LdrGetDllHandle,331
NtQueryAttributesFile,330
RegOpenKeyExW,314
NtCreateFile,286
NtMapViewOfSection,271
RegCloseKey,265
NtCreateSection,256
NtAllocateVirtualMemory,237
NtUnmapViewOfSection,229
RegQueryValueExW,223
SetFilePointer,145
NtReadFile,143
GetSystemDirectoryW,136
GetSystemWindowsDirectoryW,133
LoadResource,133
GetSystemTimeAsFileTime,132
LdrUnloadDll,123
NtQueryValueKey,119
NtOpenKey,116
GetSystemInfo,110
FindResourceExW,95
WSAStartup,64
NtFreeVirtualMemory,61
NtDuplicateObject,58
socket,53
SetErrorMode,53
NtCreateMutant,51
SizeofResource,51
SetUnhandledExceptionFilter,47
RegOpenKeyExA,47
GetFileAttributesW,43
closesocket,43
LoadStringW,42
GetNativeSystemInfo,41
NtOpenDirectoryObject,40
NtOpenKeyEx,40
NtProtectVirtualMemory,38
FindResourceW,34
RegQueryInfoKeyW,33
GetSystemMetrics,32
FindFirstFileExW,28
OleInitialize,23
FindResourceA,20
GetFileSize,19
NtOpenFile,18
GetSystemDirectoryA,17
RegEnumValueW,15
NtQuerySystemInformation,13
NtOpenSection,11
NtDelayExecution,10
CreateToolhelp32Snapshot,10
GetFileType,9
NtQueryKey,8
Process32NextW,8
Process32FirstW,8
IsDebuggerPresent,8
CreateDirectoryW,7
GetTempPathW,7
RegEnumKeyExW,6
NtWriteFile,5
DrawTextExW,5
LoadStringA,5
SetEndOfFile,4
NtQueryDirectoryFile,4
CoCreateInstance,4
RtlAddVectoredExceptionHandler,4
NtQueryInformationFile,3
SHGetFolderPathW,3
CreateProcessInternalW,3
CreateActCtxW,3
NtResumeThread,2
NtCreateThreadEx,2
RegEnumKeyW,2
GlobalMemoryStatusEx,2
RegQueryValueExA,2
CopyFileA,2
NtOpenProcess,2
WriteProcessMemory,2
Thread32Next,2
Thread32First,2
GetTimeZoneInformation,2
CoInitializeEx,2
SetWindowsHookExA,2
SearchPathW,2
RemoveDirectoryW,2
DeleteFileW,2
GetDiskFreeSpaceW,2
GetVolumeNameForVolumeMountPointW,1
CoUninitialize,1
SetFileAttributesW,1
CreateThread,1
RemoveDirectoryA,1
NtEnumerateValueKey,1
