nt.,count
LdrGetProcedureAddress,24
LdrLoadDll,19
NtAllocateVirtualMemory,8
GetSystemMetrics,5
LoadResource,5
FindResourceExW,5
LdrGetDllHandle,3
SetWindowsHookExA,2
RegCreateKeyExA,2
NtClose,2
ReadProcessMemory,2
CreateThread,2
InternetConnectA,1
OpenServiceA,1
OpenSCManagerA,1
RegQueryValueExA,1
RegSetValueExA,1
RegCloseKey,1
RegOpenKeyExA,1
HttpOpenRequestA,1
InternetSetOptionA,1
InternetCrackUrlA,1
InternetOpenA,1
SetUnhandledExceptionFilter,1
NtProtectVirtualMemory,1
NtFreeVirtualMemory,1
OleInitialize,1
LoadStringA,1
SetErrorMode,1
GetFileType,1
WSAStartup,1
GetCursorPos,1
NtDuplicateObject,1
