pua,count
NtAllocateVirtualMemory,112
NtFreeVirtualMemory,100
__exception__,64
GetFileType,62
NtCreateThreadEx,60
LdrGetProcedureAddress,30
RegCloseKey,22
LdrLoadDll,20
NtDelayExecution,16
RegCreateKeyExA,16
RegSetValueExA,14
LdrGetDllHandle,12
GetSystemTimeAsFileTime,10
NtClose,10
RegQueryValueExA,6
RegOpenKeyExA,6
SetUnhandledExceptionFilter,4
SetFileAttributesW,4
CreateDirectoryW,4
GetNativeSystemInfo,2
SetErrorMode,2
GetTempPathW,2
RegQueryValueExW,2
RegOpenKeyExW,2
NtOpenFile,2
NtQueryInformationFile,2
GetSystemDirectoryA,2
NtCreateMutant,2
NtOpenMutant,2
NtOpenDirectoryObject,2
GetSystemMetrics,2
GetComputerNameA,2
WSAStartup,2
