hash,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,malware,type
981e9aa47cd71566d471cbb87c6287dbe51c637401596a94fe5f2574ece39335,NtOpenSection,GetForegroundWindow,WSARecv,GetFileVersionInfoSizeW,GetAdaptersAddresses,GetFileAttributesW,RegEnumKeyExA,RegOpenKeyExW,NtDelayExecution,SetErrorMode,RegOpenKeyExA,GetCursorPos,FindResourceExW,NtCreateFile,GetSystemTimeAsFileTime,GlobalMemoryStatusEx,LoadResource,SetFileAttributesW,NtQueryInformationFile,RegCreateKeyExW,NtOpenMutant,RegQueryValueExA,EnumWindows,OpenServiceW,NtQueryValueKey,getsockname,RegQueryValueExW,CreateActCtxW,WSASend,NtDeviceIoControlFile,NtReadFile,NtWriteFile,LdrGetDllHandle,NtQuerySystemInformation,NtSetValueKey,CreateThread,GetSystemDirectoryW,LoadStringW,DecryptMessage,setsockopt,SetUnhandledExceptionFilter,LdrGetProcedureAddress,NtOpenThread,NtOpenDirectoryObject,LdrLoadDll,UuidCreate,EncryptMessage,CreateToolhelp32Snapshot,CoUninitialize,RegCloseKey,GetBestInterfaceEx,GetNativeSystemInfo,NtSetInformationFile,WSAStartup,NtTerminateProcess,CryptCreateHash,GetSystemMetrics,NtCreateThreadEx,DrawTextExW,NtAllocateVirtualMemory,ReadProcessMemory,CreateDirectoryW,DeleteFileW,SHGetFolderPathW,GetComputerNameW,NtResumeThread,CryptAcquireContextA,CoInitializeEx,CoCreateInstance,RegEnumKeyExW,CryptAcquireContextW,CryptDecodeObjectEx,GetComputerNameA,FindFirstFileExW,RegEnumValueW,GetTempPathW,GetKeyboardState,SearchPathW,WSASocketW,NtDuplicateObject,GetShortPathNameW,GetSystemInfo,GetSystemWindowsDirectoryW,NtClose,CryptHashData,NtOpenProcess,NtCreateSection,NtMapViewOfSection,Module32FirstW,SizeofResource,NtFreeVirtualMemory,LdrUnloadDll,CertOpenStore,NtOpenFile,RegQueryInfoKeyW,NtUnmapViewOfSection,NtQueryDirectoryFile,Module32NextW,NtQueryAttributesFile,NtCreateMutant,0,benign
ff35c0bed9b61b5fae1f28bec8acb10916a8605c95c7780bc2fed86a57d8ba2c,NtOpenSection,WSARecv,GetFileVersionInfoSizeW,GetAdaptersAddresses,GetFileAttributesW,RegOpenKeyExW,NtDelayExecution,SetErrorMode,GetFileInformationByHandle,GetCursorPos,SetFilePointerEx,RtlAddVectoredExceptionHandler,FindResourceExW,NtCreateFile,GetSystemTimeAsFileTime,GlobalMemoryStatusEx,LoadResource,CoInitializeSecurity,LdrGetProcedureAddress,NtQueryInformationFile,RegSetValueExW,RegCreateKeyExW,NtQueryKey,IsDebuggerPresent,LookupPrivilegeValueW,NtQueryValueKey,RegQueryValueExW,WSASend,NtDeviceIoControlFile,NtReadFile,NtWriteFile,LdrGetDllHandle,NtQuerySystemInformation,NtSetValueKey,CreateThread,GetSystemDirectoryW,timeGetTime,SetUnhandledExceptionFilter,DecryptMessage,NtProtectVirtualMemory,CoInitializeEx,GlobalMemoryStatus,LoadStringW,CryptExportKey,NtOpenThread,NtEnumerateKey,NtOpenDirectoryObject,LdrLoadDll,NtEnumerateValueKey,UuidCreate,EncryptMessage,CoUninitialize,RegCloseKey,LookupAccountSidW,GetBestInterfaceEx,LdrUnloadDll,NtSetInformationFile,NtCreateKey,ioctlsocket,WSAStartup,CryptCreateHash,GetSystemMetrics,NtQueueApcThread,NtCreateThreadEx,GetFileSize,NtDuplicateObject,DrawTextExW,NtAllocateVirtualMemory,ReadProcessMemory,NtResumeThread,CryptAcquireContextA,SHGetFolderPathW,CoCreateInstance,RegEnumKeyExW,CryptAcquireContextW,CryptDecodeObjectEx,FindFirstFileExW,closesocket,RegEnumValueW,NtCreateSection,GetTimeZoneInformation,NtOpenMutant,GetFileType,WSASocketW,GetNativeSystemInfo,GetShortPathNameW,GetSystemInfo,setsockopt,FindWindowW,GetSystemWindowsDirectoryW,NtClose,NtOpenProcess,CryptHashData,NtMapViewOfSection,NtFreeVirtualMemory,GetKeyState,CertOpenStore,OleInitialize,NtOpenFile,RegQueryInfoKeyW,0,benign
faf544452a8efd3d1cf2456ced8d9529e33f414ef1fca03fd1cfd65a2590b04d,LdrUnloadDll,GetSystemInfo,IsDebuggerPresent,GetSystemWindowsDirectoryW,NtClose,GetFileAttributesW,RemoveDirectoryA,NtMapViewOfSection,GetSystemMetrics,SizeofResource,GetFileSize,SetErrorMode,NtReadFile,CreateDirectoryW,DeleteFileW,NtWriteFile,LdrGetDllHandle,NtFreeVirtualMemory,NtAllocateVirtualMemory,LoadStringA,SetFilePointer,NtUnmapViewOfSection,NtCreateFile,NtQueryAttributesFile,NtProtectVirtualMemory,NtCreateSection,NtOpenKey,LoadResource,LdrGetProcedureAddress,SetEndOfFile,LdrLoadDll,NtTerminateProcess,FindResourceA,CreateProcessInternalW,NtQueryValueKey,RegCreateKeyExW,CoUninitialize,RegCloseKey,NtQueryKey,NtDuplicateObject,DrawTextExW,NtCreateKey,EnumWindows,FindResourceW,GetFileAttributesExW,SendNotifyMessageW,NtOpenProcess,GetForegroundWindow,RegQueryValueExW,CreateActCtxW,UnhookWindowsHookEx,RegEnumKeyW,NtDelayExecution,RegOpenKeyExW,SHGetFolderPathW,GetKeyState,GetCursorPos,NtSetValueKey,GetFileSizeEx,CoCreateInstance,GetSystemDirectoryW,NtQueryDirectoryFile,NtDeleteKey,FindResourceExW,GetSystemTimeAsFileTime,FindWindowW,CoInitializeEx,GetFileInformationByHandleEx,RegSetValueExW,SetWindowsHookExW,GetDiskFreeSpaceExW,NtOpenKeyEx,NtOpenSection,SetFileTime,GetFileVersionInfoSizeW,GetVolumePathNamesForVolumeNameW,GetFileInformationByHandle,RegOpenKeyExA,SetFilePointerEx,GetUserNameA,GlobalMemoryStatusEx,NtQueryInformationFile,DeviceIoControl,RegQueryValueExA,RegCreateKeyExA,NtQuerySystemInformation,NtEnumerateValueKey,LoadStringW,GetVolumeNameForVolumeMountPointW,GetSystemDirectoryA,SearchPathW,RegSetValueExA,SendNotifyMessageA,NtSetInformationFile,GetComputerNameW,GetComputerNameA,FindFirstFileExW,NtOpenMutant,RegDeleteKeyA,GetNativeSystemInfo,0,benign
e3495f53563d473aeec5c7a03ec5bbe32cc7ff278352fe060434b3c9620122b4,NtOpenSection,GetForegroundWindow,RegEnumKeyW,GetFileVersionInfoSizeW,GetFileAttributesW,GetVolumePathNamesForVolumeNameW,RegOpenKeyExW,SetErrorMode,ShellExecuteExW,GetFileInformationByHandle,RegOpenKeyExA,GetCursorPos,SetFilePointerEx,GetUserNameW,RegEnumValueW,FindResourceExW,NtCreateFile,GetSystemTimeAsFileTime,GlobalMemoryStatusEx,LoadResource,NtQueryInformationFile,RegCreateKeyExW,DeviceIoControl,NtOpenMutant,RemoveDirectoryW,EnumWindows,OpenServiceW,NtQueryValueKey,RegQueryValueExW,CreateActCtxW,NtDeviceIoControlFile,NtReadFile,NtWriteFile,LdrGetDllHandle,NtQuerySystemInformation,GetSystemDirectoryW,LoadStringW,GetVolumeNameForVolumeMountPointW,NtProtectVirtualMemory,SHGetFolderPathW,RegDeleteValueW,SearchPathW,LdrGetProcedureAddress,GetDiskFreeSpaceExW,SetEndOfFile,LdrLoadDll,UuidCreate,CoUninitialize,RegCloseKey,NtDuplicateObject,MoveFileWithProgressW,NtTerminateProcess,SendNotifyMessageW,GetSystemMetrics,NtCreateThreadEx,GetFileSize,NtAllocateVirtualMemory,ReadProcessMemory,CreateDirectoryW,DeleteFileW,GetComputerNameW,NtResumeThread,CoInitializeEx,CoCreateInstance,FindFirstFileExW,GetFileInformationByHandleEx,NtCreateSection,RegSetValueExW,SetWindowsHookExW,CreateProcessInternalW,GetNativeSystemInfo,DrawTextExW,GetSystemInfo,NetShareEnum,FindWindowW,GetSystemWindowsDirectoryW,NtClose,RegDeleteKeyW,NtOpenProcess,NtMapViewOfSection,SizeofResource,UnhookWindowsHookEx,GetFileSizeEx,SetFileTime,NtFreeVirtualMemory,GetKeyState,LdrUnloadDll,OleInitialize,NtOpenFile,RegQueryInfoKeyW,SetFilePointer,NtUnmapViewOfSection,NtQueryDirectoryFile,NtQueryAttributesFile,NtCreateMutant,NtOpenKey,OpenSCManagerW,FindResourceW,GetFileVersionInfoW,IsDebuggerPresent,0,benign
7ef3316642fa9506ccb7df599aa5b107ad45929bf45abcb430a3d94fec3e9f4c,LdrUnloadDll,GetSystemInfo,IsDebuggerPresent,GetSystemWindowsDirectoryW,NtClose,GetFileAttributesW,RemoveDirectoryA,NtMapViewOfSection,GetSystemMetrics,SizeofResource,GetFileSize,SetErrorMode,NtReadFile,CreateDirectoryW,DeleteFileW,NtWriteFile,LdrGetDllHandle,NtFreeVirtualMemory,NtAllocateVirtualMemory,LoadStringA,SetFilePointer,NtUnmapViewOfSection,NtCreateFile,NtQueryAttributesFile,NtProtectVirtualMemory,NtCreateSection,NtOpenKey,LoadResource,LdrGetProcedureAddress,SetEndOfFile,LdrLoadDll,NtTerminateProcess,FindResourceA,CreateProcessInternalW,NtQueryValueKey,NtOpenSection,GetForegroundWindow,SetFileTime,GetFileVersionInfoSizeW,GetVolumePathNamesForVolumeNameW,RegOpenKeyExW,ShellExecuteExW,GetFileInformationByHandle,RegOpenKeyExA,GetCursorPos,SetFilePointerEx,GetUserNameA,FindResourceExW,GetSystemTimeAsFileTime,GlobalMemoryStatusEx,CoInitializeEx,NtQueryInformationFile,DeviceIoControl,RegQueryValueExA,EnumWindows,RegCreateKeyExA,RegQueryValueExW,CreateActCtxW,NtDeviceIoControlFile,NtQuerySystemInformation,NtEnumerateValueKey,GetSystemDirectoryW,LoadStringW,GetVolumeNameForVolumeMountPointW,GetSystemDirectoryA,SHGetFolderPathW,SearchPathW,RegSetValueExA,GetDiskFreeSpaceExW,SendNotifyMessageA,CoUninitialize,RegCloseKey,NtDuplicateObject,NtSetInformationFile,SendNotifyMessageW,GetComputerNameW,GetFileSizeEx,CoCreateInstance,GetComputerNameA,FindFirstFileExW,GetFileInformationByHandleEx,NtOpenMutant,RegDeleteKeyA,GetNativeSystemInfo,GetSystemWindowsDirectoryA,DrawTextExW,NetShareEnum,FindWindowW,NtOpenProcess,DrawTextExA,RegEnumKeyW,GetKeyState,OleInitialize,NtOpenFile,NtQueryDirectoryFile,NtCreateMutant,FindResourceW,GetFileVersionInfoW,GetUserNameExW,GetFileAttributesExW,0,benign
444aa9dfb2b2effc28b955dbca49bc96134ed0b0fd82d182132d4714de5b96dd,NtOpenSection,GetForegroundWindow,WSARecv,GetFileVersionInfoSizeW,GetAdaptersAddresses,GetFileAttributesW,RegEnumKeyExA,RegOpenKeyExW,NtDelayExecution,SetErrorMode,RegOpenKeyExA,GetCursorPos,FindResourceExW,NtCreateFile,GetSystemTimeAsFileTime,GlobalMemoryStatusEx,LoadResource,SetFileAttributesW,NtQueryInformationFile,RegCreateKeyExW,NtOpenMutant,RegQueryValueExA,EnumWindows,OpenServiceW,NtQueryValueKey,getsockname,RegQueryValueExW,CreateActCtxW,WSASend,NtDeviceIoControlFile,NtReadFile,NtWriteFile,LdrGetDllHandle,NtQuerySystemInformation,NtSetValueKey,CreateThread,GetSystemDirectoryW,LoadStringW,DecryptMessage,setsockopt,SetUnhandledExceptionFilter,LdrGetProcedureAddress,NtOpenThread,NtOpenDirectoryObject,LdrLoadDll,UuidCreate,EncryptMessage,CreateToolhelp32Snapshot,CoUninitialize,RegCloseKey,GetBestInterfaceEx,GetNativeSystemInfo,NtSetInformationFile,WSAStartup,NtTerminateProcess,CryptCreateHash,GetSystemMetrics,NtCreateThreadEx,DrawTextExW,NtAllocateVirtualMemory,ReadProcessMemory,CreateDirectoryW,DeleteFileW,SHGetFolderPathW,GetComputerNameW,NtResumeThread,CryptAcquireContextA,CoInitializeEx,CoCreateInstance,RegEnumKeyExW,CryptAcquireContextW,CryptDecodeObjectEx,GetComputerNameA,FindFirstFileExW,RegEnumValueW,GetTempPathW,GetKeyboardState,SearchPathW,WSASocketW,NtDuplicateObject,GetShortPathNameW,GetSystemInfo,GetSystemWindowsDirectoryW,NtClose,CryptHashData,NtOpenProcess,NtCreateSection,NtMapViewOfSection,Module32FirstW,SizeofResource,NtFreeVirtualMemory,LdrUnloadDll,CertOpenStore,NtOpenFile,RegQueryInfoKeyW,NtUnmapViewOfSection,NtQueryDirectoryFile,Module32NextW,NtQueryAttributesFile,NtCreateMutant,0,benign
794dc0236114708b8e6c175f876b6b96c276d07f46b3e80bce3659257c13b3de,NtOpenSection,WSARecv,GetFileVersionInfoSizeW,GetAdaptersAddresses,GetFileAttributesW,RegOpenKeyExW,NtDelayExecution,SetErrorMode,RegOpenKeyExA,NtEnumerateValueKey,FindResourceExW,NtCreateFile,GetSystemTimeAsFileTime,LoadResource,RegCreateKeyExW,DeviceIoControl,NtQueryKey,IsDebuggerPresent,WSASocketW,getsockname,RegQueryValueExW,CreateActCtxW,WSASend,NtDeviceIoControlFile,NtReadFile,NtWriteFile,LdrGetDllHandle,NtQuerySystemInformation,NtSetValueKey,CreateThread,GetSystemDirectoryW,SetUnhandledExceptionFilter,NtProtectVirtualMemory,setsockopt,GlobalMemoryStatus,LoadStringW,WriteConsoleA,LdrGetProcedureAddress,NtOpenThread,NtEnumerateKey,NtOpenDirectoryObject,SetEndOfFile,LdrLoadDll,UuidCreate,CoUninitialize,RegCloseKey,GetBestInterfaceEx,NtDuplicateObject,NtSetInformationFile,NtCreateKey,WSAStartup,NtTerminateProcess,CryptCreateHash,GetSystemMetrics,NtCreateThreadEx,GetFileSize,NtAllocateVirtualMemory,SHGetFolderPathW,NtResumeThread,CryptAcquireContextA,CoInitializeEx,RegEnumKeyExW,CryptDecodeObjectEx,FindFirstFileExW,closesocket,RegEnumValueW,NtCreateSection,NtOpenMutant,GetFileType,CreateProcessInternalW,NtQueryValueKey,LdrUnloadDll,GetShortPathNameW,GetSystemInfo,CryptExportKey,GetSystemWindowsDirectoryW,NtClose,NtOpenProcess,CryptHashData,NtMapViewOfSection,RtlAddVectoredContinueHandler,NtFreeVirtualMemory,CertOpenStore,NtOpenFile,RegQueryInfoKeyW,SetFilePointer,NtUnmapViewOfSection,NtQueryDirectoryFile,NtQueryAttributesFile,NtCreateMutant,GetAddrInfoW,GetFileAttributesExW,bind,NtOpenKey,CertControlStore,GetFileVersionInfoW,NtOpenKeyEx,GetForegroundWindow,RegEnumKeyExA,GetCursorPos,0,benign
0c5a4bfb6ccae0a84d3f1109e664d233911c325fcefa8430cf2fa4fcdaf7bfa0,NtOpenSection,WSARecv,GetFileVersionInfoSizeW,GetAdaptersAddresses,GetFileAttributesW,RegOpenKeyExW,NtDelayExecution,SetErrorMode,RegOpenKeyExA,RtlAddVectoredExceptionHandler,NtCreateFile,GetSystemTimeAsFileTime,GlobalMemoryStatusEx,LoadResource,NtQueryInformationFile,RegCreateKeyExW,DeviceIoControl,NtQueryKey,NtEnumerateValueKey,NtQueryValueKey,getsockname,RegQueryValueExW,CreateActCtxW,WSASend,NtDeviceIoControlFile,NtReadFile,NtWriteFile,LdrGetDllHandle,NtQuerySystemInformation,NtSetValueKey,CreateThread,GetSystemDirectoryW,SetUnhandledExceptionFilter,NtProtectVirtualMemory,setsockopt,LoadStringW,LdrGetProcedureAddress,NtOpenThread,NtEnumerateKey,NtOpenDirectoryObject,SetEndOfFile,LdrLoadDll,UuidCreate,CoUninitialize,GetBestInterfaceEx,NtDuplicateObject,NtSetInformationFile,NtCreateKey,WSAStartup,CryptCreateHash,GetSystemMetrics,NtCreateThreadEx,GetFileSize,NtAllocateVirtualMemory,SHGetFolderPathW,NtResumeThread,CryptAcquireContextA,CoInitializeEx,RegEnumKeyExW,CryptDecodeObjectEx,closesocket,RegEnumValueW,NtCreateSection,NtOpenMutant,IsDebuggerPresent,CreateProcessInternalW,WSASocketW,LdrUnloadDll,GetShortPathNameW,GetSystemInfo,CryptExportKey,GetSystemWindowsDirectoryW,NtClose,NtOpenProcess,CryptHashData,NtMapViewOfSection,RtlAddVectoredContinueHandler,NtFreeVirtualMemory,CertOpenStore,NtOpenFile,RegQueryInfoKeyW,SetFilePointer,NtUnmapViewOfSection,NtQueryDirectoryFile,NtQueryAttributesFile,NtCreateMutant,GetAddrInfoW,GetFileAttributesExW,bind,NtOpenKey,CertControlStore,GetFileVersionInfoW,NtOpenKeyEx,GetForegroundWindow,NtReadVirtualMemory,GetCursorPos,FindResourceExW,SetFileAttributesW,EnumWindows,OpenServiceW,0,benign
22550c60e862e215324abea12341c0c3d7d1c36428174661a1507581a90f0de1,RegCreateKeyExW,LdrUnloadDll,CoUninitialize,RegCloseKey,NtQueryKey,NtDuplicateObject,GetShortPathNameW,GetSystemInfo,MessageBoxTimeoutW,NtResumeThread,GetSystemWindowsDirectoryW,NtClose,GetFileVersionInfoSizeW,NtOpenProcess,GetFileAttributesW,RegQueryValueExW,NtMapViewOfSection,GetVolumePathNamesForVolumeNameW,RegEnumKeyW,RtlAddVectoredContinueHandler,CoInitializeEx,CreateActCtxW,GetFileSize,RegOpenKeyExW,NtDelayExecution,SetErrorMode,NtDeviceIoControlFile,NtAllocateVirtualMemory,RegOpenKeyExA,ShellExecuteExW,LdrGetDllHandle,NtFreeVirtualMemory,GetNativeSystemInfo,NtQuerySystemInformation,CoCreateInstance,NtReadFile,NtOpenFile,SHGetFolderPathW,CreateThread,NtUnmapViewOfSection,RegQueryInfoKeyW,SetFilePointer,GetSystemDirectoryW,NtQueryDirectoryFile,RegEnumKeyExW,CryptAcquireContextW,SetUnhandledExceptionFilter,NtCreateFile,GetVolumeNameForVolumeMountPointW,GetSystemTimeAsFileTime,DeleteFileW,NtCreateSection,NtQueryAttributesFile,FindFirstFileExW,NtCreateMutant,NtProtectVirtualMemory,GlobalMemoryStatusEx,GetFileAttributesExW,RegEnumValueW,GlobalMemoryStatus,LoadStringW,NtOpenKey,NtOpenMutant,LdrGetProcedureAddress,CoInitializeSecurity,SetFilePointerEx,GetFileVersionInfoW,IsDebuggerPresent,NtOpenDirectoryObject,NtOpenKeyEx,LdrLoadDll,NtTerminateProcess,OleInitialize,UuidCreate,NtQueryInformationFile,CreateProcessInternalW,NtQueryValueKey,GetUserNameExW,NtOpenSection,GetForegroundWindow,NtSetValueKey,CreateJobObjectW,GetUserNameExA,GetAdaptersAddresses,SetInformationJobObject,FindResourceExW,InternetSetOptionA,LoadResource,SetFileAttributesW,DeviceIoControl,RegQueryValueExA,OpenServiceW,NetGetJoinInformation,NtWriteFile,NtEnumerateValueKey,setsockopt,RegDeleteValueW,socket,RegSetValueExW,NtEnumerateKey,0,benign
dacae06e162928db1837406be5d0c08d2948dcccf8bf690bb9c01ccc7a2de927,LdrUnloadDll,GetSystemInfo,IsDebuggerPresent,GetSystemWindowsDirectoryW,NtClose,GetFileAttributesW,RemoveDirectoryA,NtMapViewOfSection,GetSystemMetrics,SizeofResource,GetFileSize,SetErrorMode,NtReadFile,CreateDirectoryW,DeleteFileW,NtWriteFile,LdrGetDllHandle,NtFreeVirtualMemory,NtAllocateVirtualMemory,LoadStringA,SetFilePointer,NtUnmapViewOfSection,NtCreateFile,NtQueryAttributesFile,NtProtectVirtualMemory,NtCreateSection,NtOpenKey,LoadResource,LdrGetProcedureAddress,SetEndOfFile,LdrLoadDll,NtTerminateProcess,FindResourceA,CreateProcessInternalW,NtQueryValueKey,NtOpenSection,GetForegroundWindow,SetFileTime,GetFileVersionInfoSizeW,GetVolumePathNamesForVolumeNameW,RegOpenKeyExW,NtDelayExecution,ShellExecuteExW,GetFileInformationByHandle,RegOpenKeyExA,GetCursorPos,SetFilePointerEx,GetUserNameA,FindResourceExW,GetSystemTimeAsFileTime,GlobalMemoryStatusEx,CoInitializeEx,NtQueryInformationFile,RegSetValueExW,RegCreateKeyExW,DeviceIoControl,NtQueryKey,RegQueryValueExA,EnumWindows,RegCreateKeyExA,RegQueryValueExW,CreateActCtxW,NtQuerySystemInformation,CreateThread,GetSystemDirectoryW,LoadStringW,GetVolumeNameForVolumeMountPointW,GetSystemDirectoryA,SHGetFolderPathW,SearchPathW,RegSetValueExA,GetDiskFreeSpaceExW,SendNotifyMessageA,CoUninitialize,RegCloseKey,NtDuplicateObject,NtSetInformationFile,SendNotifyMessageW,GetComputerNameW,GetFileSizeEx,CoCreateInstance,GetComputerNameA,FindFirstFileExW,GetFileInformationByHandleEx,NtOpenMutant,RegDeleteKeyA,GetNativeSystemInfo,GetSystemWindowsDirectoryA,DrawTextExW,NetShareEnum,FindWindowW,NtOpenProcess,DrawTextExA,RegEnumKeyW,GetKeyState,OleInitialize,NtOpenFile,NtQueryDirectoryFile,NtCreateMutant,GetFileAttributesExW,0,benign
