iter	Passed	Remaining
0	790	78298
1	1599	78359
2	2383	77065
3	3156	75747
4	3941	74882
5	4728	74073
6	5524	73397
7	6337	72878
8	7108	71873
9	7898	71082
10	8681	70238
11	9475	69487
12	10233	68486
13	11051	67885
14	11840	67093
15	12661	66475
16	13461	65724
17	14239	64870
18	15053	64175
19	15868	63475
20	16647	62624
21	17509	62079
22	18347	61424
23	19236	60915
24	20107	60323
25	21001	59774
26	21891	59188
27	22770	58552
28	23667	57944
29	24549	57282
30	25436	56617
31	26317	55924
32	27189	55203
33	28039	54430
34	28961	53785
35	29856	53077
36	30738	52339
37	31672	51675
38	32558	50925
39	33431	50146
40	34284	49336
41	35138	48524
42	35988	47705
43	36855	46907
44	37734	46120
45	38625	45342
46	39529	44575
47	40395	43761
48	41274	42959
49	42176	42176
50	43020	41333
51	43894	40518
52	44806	39734
53	45725	38951
54	46598	38125
55	47439	37273
56	48303	36439
57	49191	35621
58	50093	34810
59	51002	34001
60	51860	33156
61	52727	32317
62	53580	31468
63	54422	30612
64	55341	29799
65	56231	28967
66	57108	28127
67	58004	27296
68	58902	26463
69	59734	25600
70	60573	24741
71	61478	23908
72	62343	23058
73	63218	22211
74	64064	21354
75	64902	20495
76	65801	19654
77	66693	18811
78	67562	17959
79	68442	17110
80	69292	16253
81	70178	15405
82	71056	14553
83	71914	13697
84	72802	12847
85	73684	11995
86	74545	11139
87	75389	10280
88	76218	9420
89	77105	8567
90	77980	7712
91	78832	6855
92	79666	5996
93	80528	5140
94	81407	4284
95	82198	3424
96	83091	2569
97	83979	1713
98	84868	857
99	85765	0
