hash,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,malware,type
071e8c3f8922e186e57548cd4c703a5d,112,274,158,215,274,158,215,298,76,208,76,172,117,172,117,172,76,117,35,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,117,60,81,60,81,208,35,215,35,208,240,117,172,60,81,60,81,225,35,60,81,35,225,172,60,81,60,81,60,81,172,117,76,172,117,172,117,35,111,81,140,208,240,117,71,297,135,171,215,35,208,56,71,1,trojan
33f8e6d08a6aae939f25a8e0d63dd523,82,208,187,208,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,208,172,117,16,208,297,8,199,264,274,158,215,274,158,215,208,260,87,260,65,14,65,240,117,208,187,208,240,117,39,35,171,172,117,208,35,215,35,208,240,117,35,60,81,60,81,172,35,60,81,60,81,31,60,81,208,187,208,274,158,266,208,60,81,60,81,240,117,71,297,135,171,215,35,1,pua
b68abd064e975e1c6d5f25e748663076,16,110,240,117,240,117,240,117,240,117,240,117,240,117,172,117,99,260,141,65,240,117,240,117,240,117,263,215,263,215,263,215,263,215,263,215,263,215,263,215,263,215,274,158,215,274,158,215,240,117,71,297,135,171,215,48,208,112,113,112,123,65,112,123,65,112,123,65,113,112,123,65,112,123,65,112,123,65,113,112,123,65,112,123,65,112,123,65,113,112,123,65,112,123,65,112,123,65,113,112,1,trojan
72049be7bd30ea61297ea624ae198067,82,208,187,208,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,208,16,240,117,228,208,187,228,240,117,82,198,86,82,274,37,240,117,240,117,262,228,275,172,240,275,172,274,158,215,172,117,215,37,158,215,240,117,82,240,117,240,117,240,117,240,117,228,187,215,274,158,215,274,158,215,240,117,71,297,135,171,215,228,215,208,302,208,302,187,208,302,228,302,1,trojan
c9b3700a77facf29172f32df6bc77f48,82,240,117,240,117,240,117,240,117,172,117,172,117,16,240,117,11,274,158,215,274,158,215,117,270,117,301,117,297,8,199,264,215,260,141,65,31,260,141,202,260,141,65,202,65,260,141,65,80,287,87,14,65,260,141,240,141,65,82,260,141,65,260,141,65,31,159,224,82,261,172,117,260,208,260,2,140,81,208,159,224,82,159,224,82,261,208,240,117,260,40,209,260,40,209,260,141,260,141,260,1,trojan
cc6217be863e606e49da90fee2252f52,117,208,117,208,117,240,117,240,117,208,228,215,274,158,215,274,158,215,240,117,71,297,135,171,215,208,187,20,34,215,208,187,86,215,240,91,89,192,89,133,89,248,297,135,171,8,178,215,18,194,240,117,215,117,31,56,71,56,172,117,240,117,260,141,65,194,117,240,117,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,112,117,260,141,65,260,141,65,260,141,65,9,117,260,65,1,trojan
f7a1a3c38809d807b3f5f4cc00b1e9b7,215,274,158,215,274,158,215,172,117,172,117,172,117,198,208,260,257,25,240,117,99,25,172,117,260,274,158,172,117,172,117,260,141,65,172,117,240,117,286,240,286,35,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,110,60,81,60,81,215,208,35,208,240,117,240,117,240,117,240,117,240,117,15,117,15,240,117,240,117,240,117,172,60,81,60,81,225,1,downloader
164b56522eb24164184460f8523ed7e2,82,240,117,240,117,240,117,240,117,240,117,172,117,172,117,16,31,86,112,271,111,81,140,286,194,286,297,252,215,117,297,93,264,215,271,111,81,140,286,194,286,297,252,215,297,93,264,215,274,158,215,274,158,215,240,117,71,297,135,171,215,212,253,79,215,245,210,65,80,2,81,140,108,80,159,240,159,232,50,215,261,82,240,208,187,208,198,172,117,172,117,35,172,117,275,240,80,60,215,35,1,adware
56ae1459ba61a14eb119982d6ec793d7,82,240,117,240,117,240,117,240,117,240,117,16,208,187,208,240,117,39,35,171,172,117,208,35,215,274,158,215,274,158,215,35,208,240,117,228,208,240,117,240,117,240,117,71,56,172,117,240,117,260,141,65,260,141,65,198,172,117,260,294,240,117,198,208,187,208,240,117,240,117,240,117,82,112,123,65,240,117,275,112,240,117,240,117,198,240,117,240,117,82,172,117,16,31,215,108,208,80,240,117,1,adware
c4148ca91c5246a8707a1ac1fd1e2e36,82,208,187,208,172,117,172,208,16,208,240,117,240,117,82,112,123,65,112,123,65,260,141,65,215,240,117,240,117,240,117,240,117,240,117,240,117,208,187,208,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,208,172,117,100,215,35,1,downloader
