iter	Passed	Remaining
0	30	30414
1	60	30194
2	87	29102
3	111	27777
4	135	26908
5	158	26269
6	184	26181
7	211	26254
8	237	26109
9	262	25985
10	287	25853
11	312	25692
12	338	25678
13	364	25690
14	390	25658
15	416	25636
16	445	25740
17	468	25551
18	489	25275
19	511	25053
20	533	24851
21	554	24629
22	574	24411
23	595	24221
24	615	23995
25	637	23889
26	667	24040
27	689	23951
28	711	23837
29	735	23776
30	761	23812
31	784	23737
32	807	23671
33	831	23631
34	856	23614
35	881	23597
36	905	23572
37	924	23416
38	946	23317
39	966	23206
40	985	23056
41	1004	22918
42	1024	22799
43	1045	22716
44	1070	22714
45	1101	22849
46	1135	23034
47	1164	23099
48	1194	23184
49	1220	23182
50	1249	23255
51	1280	23338
52	1315	23498
53	1344	23558
54	1379	23696
55	1406	23709
56	1431	23674
57	1456	23651
58	1481	23621
59	1504	23573
60	1525	23487
61	1544	23371
62	1565	23278
63	1587	23220
64	1606	23108
65	1630	23067
66	1651	22992
67	1674	22953
68	1695	22871
69	1716	22804
70	1738	22747
71	1758	22669
72	1779	22592
73	1799	22522
74	1820	22452
75	1842	22395
76	1862	22323
77	1882	22251
78	1902	22180
79	1926	22150
80	1946	22083
81	1968	22039
82	1988	21968
83	2007	21894
84	2028	21831
85	2051	21800
86	2070	21727
87	2092	21683
88	2116	21662
89	2137	21614
90	2162	21601
91	2187	21591
92	2206	21516
93	2228	21481
94	2249	21426
95	2269	21374
96	2290	21326
97	2314	21299
98	2333	21241
99	2353	21179
100	2373	21123
101	2395	21092
102	2415	21034
103	2436	20990
104	2455	20933
105	2475	20879
106	2496	20837
107	2517	20791
108	2537	20742
109	2556	20684
110	2574	20622
111	2603	20639
112	2627	20623
113	2647	20579
114	2667	20529
115	2687	20480
116	2709	20445
117	2730	20412
118	2751	20370
119	2771	20326
120	2792	20287
121	2819	20289
122	2839	20242
123	2859	20200
124	2879	20155
125	2898	20108
126	2918	20059
127	2937	20009
128	2956	19960
129	2976	19917
130	2998	19893
131	3019	19858
132	3039	19812
133	3059	19773
134	3079	19731
135	3099	19687
136	3117	19638
137	3137	19595
138	3156	19552
139	3175	19508
140	3194	19462
141	3217	19441
142	3238	19405
143	3256	19359
144	3277	19328
145	3298	19296
146	3318	19257
147	3337	19215
148	3357	19178
149	3378	19144
150	3397	19101
151	3416	19061
152	3440	19044
153	3460	19009
154	3478	18963
155	3499	18932
156	3519	18897
157	3537	18852
158	3555	18807
159	3573	18762
160	3592	18719
161	3610	18678
162	3630	18640
163	3649	18605
164	3704	18748
165	3724	18712
166	3742	18669
167	3761	18628
168	3781	18595
169	3799	18552
170	3818	18514
171	3837	18473
172	3855	18432
173	3876	18401
174	3894	18360
175	3917	18339
176	3936	18305
177	3956	18273
178	3976	18236
179	3996	18205
180	4016	18172
181	4038	18150
182	4057	18113
183	4076	18079
184	4095	18044
185	4115	18009
186	4137	17986
187	4159	17966
188	4178	17929
189	4199	17901
190	4218	17866
191	4238	17837
192	4257	17800
193	4276	17768
194	4298	17744
195	4317	17710
196	4336	17676
197	4358	17655
198	4380	17633
199	4402	17608
200	4424	17588
201	4444	17559
202	4466	17534
203	4485	17501
204	4506	17476
205	4525	17442
206	4544	17410
207	4564	17378
208	4585	17356
209	4606	17327
210	4624	17294
211	4645	17265
212	4664	17232
213	4683	17202
214	4701	17166
215	4720	17134
216	4739	17101
217	4758	17069
218	4781	17050
219	4802	17026
220	4826	17011
221	4845	16979
222	4863	16946
223	4882	16914
224	4902	16887
225	4923	16863
226	4942	16831
227	4961	16800
228	4980	16769
229	5003	16749
230	5023	16724
231	5045	16702
232	5064	16671
233	5083	16640
234	5102	16609
235	5121	16580
236	5140	16550
237	5160	16521
238	5180	16496
239	5202	16474
240	5224	16455
241	5245	16430
242	5264	16400
243	5283	16371
244	5305	16348
245	5325	16322
246	5346	16300
247	5367	16274
248	5386	16244
249	5404	16214
250	5426	16193
251	5446	16166
252	5468	16147
253	5488	16118
254	5506	16088
255	5527	16064
256	5546	16035
257	5568	16015
258	5588	15987
259	5608	15963
260	5631	15944
261	5652	15920
262	5670	15890
263	5689	15861
264	5709	15835
265	5729	15809
266	5747	15780
267	5768	15754
268	5785	15723
269	5805	15697
270	5827	15676
271	5850	15658
272	5869	15629
273	5888	15602
274	5907	15574
275	5927	15548
276	5947	15524
277	5966	15495
278	5985	15467
279	6003	15438
280	6022	15410
281	6044	15390
282	6065	15367
283	6085	15341
284	6105	15316
285	6124	15289
286	6144	15264
287	6164	15240
288	6186	15219
289	6204	15190
290	6225	15167
291	6244	15141
292	6268	15124
293	6287	15097
294	6307	15073
295	6326	15046
296	6344	15018
297	6364	14991
298	6382	14964
299	6401	14936
300	6420	14910
301	6440	14885
302	6459	14858
303	6480	14837
304	6500	14813
305	6520	14788
306	6539	14761
307	6560	14738
308	6580	14715
309	6602	14696
310	6623	14673
311	6642	14647
312	6661	14621
313	6682	14600
314	6710	14591
315	6730	14567
316	6747	14538
317	6767	14512
318	6786	14488
319	6809	14469
320	6827	14441
321	6847	14418
322	6866	14392
323	6886	14367
324	6905	14342
325	6928	14325
326	6948	14300
327	6967	14274
328	6988	14252
329	7007	14226
330	7026	14201
331	7045	14175
332	7064	14150
333	7083	14125
334	7102	14099
335	7123	14077
336	7146	14059
337	7165	14034
338	7186	14012
339	7206	13988
340	7225	13964
341	7244	13938
342	7264	13914
343	7285	13892
344	7304	13867
345	7324	13845
346	7342	13817
347	7364	13797
348	7384	13774
349	7403	13749
350	7423	13726
351	7442	13701
352	7461	13676
353	7481	13652
354	7499	13626
355	7518	13600
356	7538	13578
357	7558	13554
358	7581	13536
359	7603	13516
360	7624	13496
361	7643	13470
362	7662	13446
363	7681	13421
364	7701	13398
365	7720	13374
366	7739	13349
367	7759	13325
368	7780	13304
369	7805	13289
370	7827	13270
371	7848	13249
372	7870	13229
373	7891	13208
374	7910	13183
375	7930	13160
376	7948	13135
377	7968	13112
378	7988	13088
379	8008	13065
380	8061	13097
381	8080	13071
382	8098	13046
383	8119	13025
384	8139	13001
385	8159	12979
386	8182	12961
387	8202	12937
388	8221	12912
389	8240	12889
390	8262	12868
391	8284	12849
392	8304	12827
393	8326	12806
394	8344	12781
395	8364	12758
396	8383	12733
397	8402	12709
398	8422	12686
399	8441	12661
400	8462	12640
401	8485	12623
402	8505	12600
403	8525	12576
404	8544	12553
405	8564	12529
406	8582	12505
407	8602	12482
408	8622	12460
409	8643	12438
410	8663	12415
411	8684	12393
412	8707	12376
