iter	Passed	Remaining
0	23	23158
1	43	21868
2	63	21268
3	83	20904
4	104	20795
5	124	20588
6	144	20453
7	164	20385
8	184	20345
9	214	21218
10	241	21714
11	263	21716
12	287	21812
13	306	21583
14	326	21415
15	347	21396
16	366	21218
17	387	21128
18	406	21004
19	427	20964
20	449	20953
21	467	20798
22	488	20734
23	510	20773
24	535	20886
25	555	20801
26	574	20709
27	595	20668
28	614	20575
29	634	20523
30	655	20475
31	678	20523
32	696	20424
33	714	20296
34	732	20203
35	753	20169
36	772	20104
37	791	20030
38	813	20040
39	832	19976
40	853	19966
41	876	19989
42	902	20087
43	924	20084
44	948	20131
45	971	20139
46	989	20063
47	1010	20035
48	1028	19968
49	1047	19896
50	1067	19858
51	1085	19792
52	1107	19783
53	1124	19698
54	1141	19609
55	1158	19526
56	1174	19437
57	1193	19378
58	1209	19295
59	1227	19231
60	1246	19189
61	1263	19112
62	1281	19066
63	1299	19000
64	1319	18985
65	1341	18977
66	1359	18936
67	1377	18878
68	1394	18818
69	1411	18746
70	1428	18688
71	1448	18672
72	1465	18609
73	1483	18569
74	1503	18540
75	1524	18536
76	1543	18503
77	1564	18491
78	1582	18447
79	1599	18391
80	1616	18339
81	1633	18283
82	1649	18227
83	1666	18175
84	1685	18139
85	1701	18084
86	1721	18063
87	1742	18055
88	1761	18033
89	1782	18024
90	1803	18019
91	1822	17983
92	1838	17928
93	1854	17878
94	1871	17831
95	1893	17834
96	1910	17785
97	1927	17739
98	1944	17698
99	1967	17707
100	1985	17668
101	2002	17626
102	2019	17583
103	2036	17541
104	2053	17499
105	2070	17460
106	2087	17421
107	2104	17380
108	2121	17339
109	2138	17301
110	2155	17262
111	2173	17235
112	2193	17216
113	2210	17181
114	2227	17144
115	2244	17107
116	2262	17074
117	2280	17042
118	2300	17027
119	2320	17016
120	2337	16981
121	2355	16952
122	2372	16916
123	2393	16909
124	2411	16882
125	2429	16854
126	2447	16823
127	2464	16786
128	2480	16748
129	2499	16728
130	2517	16698
131	2535	16672
132	2553	16642
133	2569	16608
134	2588	16583
135	2608	16572
136	2627	16550
137	2644	16520
138	2662	16494
139	2679	16459
140	2696	16428
141	2714	16398
142	2730	16366
143	2747	16334
144	2765	16306
145	2787	16304
146	2805	16278
147	2826	16269
148	2844	16246
149	2862	16219
150	2880	16195
151	2904	16206
152	2927	16205
153	2944	16173
154	2962	16148
155	2979	16118
156	2997	16093
157	3014	16062
158	3031	16032
159	3052	16023
160	3071	16003
161	3090	15984
162	3107	15957
163	3124	15926
164	3143	15906
165	3161	15881
166	3180	15862
167	3198	15840
168	3214	15807
169	3230	15774
170	3246	15740
171	3268	15736
172	3288	15722
173	3308	15707
174	3328	15692
175	3345	15664
176	3362	15636
177	3380	15613
178	3397	15584
179	3414	15555
180	3431	15527
181	3449	15503
182	3467	15481
183	3490	15478
184	3507	15453
185	3526	15431
186	3542	15401
187	3562	15385
188	3580	15363
189	3599	15343
190	3616	15318
191	3634	15293
192	3652	15274
193	3669	15245
194	3686	15219
195	3707	15208
196	3726	15188
197	3745	15170
198	3764	15153
199	3783	15135
200	3802	15117
201	3821	15097
202	3838	15071
203	3855	15044
204	3873	15021
205	3899	15028
206	3922	15026
207	3941	15007
208	3959	14987
209	3977	14962
210	3994	14935
211	4011	14909
212	4029	14888
213	4046	14864
214	4064	14841
215	4082	14817
216	4100	14795
217	4121	14784
218	4139	14761
219	4156	14735
220	4172	14708
221	4189	14683
222	4207	14659
223	4226	14640
224	4242	14614
225	4260	14590
226	4277	14566
227	4297	14549
228	4318	14537
229	4356	14585
230	4392	14621
231	4410	14599
232	4427	14574
233	4445	14553
234	4463	14528
235	4480	14505
236	4498	14484
237	4517	14464
238	4538	14452
239	4557	14430
240	4576	14412
241	4593	14388
242	4610	14363
243	4627	14337
244	4644	14312
245	4662	14291
246	4680	14267
247	4696	14241
248	4714	14219
249	4731	14193
250	4752	14180
251	4773	14168
252	4791	14146
253	4810	14127
254	4828	14106
255	4844	14080
256	4861	14054
257	4879	14033
258	4900	14020
259	4929	14030
260	4946	14006
261	4963	13982
262	4984	13968
263	5003	13949
264	5020	13926
265	5039	13905
266	5056	13882
267	5073	13856
268	5093	13840
269	5109	13815
270	5127	13793
271	5143	13766
272	5161	13744
273	5183	13733
274	5201	13712
275	5219	13690
276	5236	13667
277	5255	13648
278	5272	13624
279	5289	13601
280	5308	13582
281	5326	13562
282	5348	13550
283	5366	13530
284	5383	13506
285	5406	13496
286	5423	13473
287	5440	13449
288	5457	13426
289	5475	13405
290	5491	13380
291	5508	13357
292	5526	13335
293	5543	13311
294	5561	13292
295	5578	13268
296	5595	13243
297	5614	13225
298	5634	13209
299	5651	13187
300	5667	13162
301	5684	13137
302	5701	13116
303	5719	13094
304	5736	13072
305	5756	13056
306	5773	13033
307	5791	13011
308	5808	12989
309	5827	12971
310	5847	12955
311	5865	12934
312	5883	12914
313	5901	12892
314	5922	12879
315	5952	12885
316	5970	12863
317	5988	12843
318	6007	12824
319	6023	12800
320	6045	12786
321	6064	12769
322	6081	12747
323	6098	12724
324	6116	12703
325	6133	12681
326	6151	12660
