iter	Passed	Remaining
0	515	51072
1	1001	49088
2	1488	48124
3	1975	47420
4	2459	46737
5	2940	46072
6	3420	45448
7	3900	44856
8	4377	44262
9	4853	43684
10	5329	43119
11	5803	42561
12	6279	42024
13	6754	41491
14	7230	40973
15	7705	40456
16	8178	39928
17	8650	39409
18	9126	38906
19	9607	38430
20	10084	37935
21	10563	37450
22	11043	36970
23	11521	36483
24	11993	35981
25	12466	35482
26	12939	34985
27	13418	34505
28	13891	34009
29	14362	33511
30	14833	33017
31	15311	32536
32	15785	32049
33	16260	31564
34	16732	31074
35	17213	30601
36	17687	30116
37	18163	29635
38	18638	29153
39	19117	28676
40	19589	28189
41	20060	27702
42	20539	27226
43	21010	26741
44	21482	26256
45	21955	25773
46	22433	25297
47	22913	24822
48	23391	24346
49	23867	23867
50	24342	23387
51	24814	22905
52	25289	22426
53	25760	21944
54	26232	21462
55	26714	20990
56	27186	20509
57	27656	20027
58	28127	19546
59	28599	19066
60	29075	18589
61	29557	18116
62	30034	17639
63	30513	17163
64	30987	16685
65	31467	16210
66	31944	15733
67	32425	15259
68	32907	14784
69	33382	14306
70	33868	13833
71	34344	13356
72	34822	12879
73	35295	12401
74	35765	11921
75	36239	11444
76	36718	10967
77	37196	10491
78	37669	10013
79	38142	9535
80	38618	9058
81	39089	8580
82	39565	8103
83	40041	7626
84	40549	7155
85	41022	6678
86	41499	6201
87	41977	5724
88	42452	5246
89	42926	4769
90	43403	4292
91	43873	3815
92	44349	3338
93	44821	2860
94	45300	2384
95	45776	1907
96	46255	1430
97	46734	953
98	47206	476
99	47679	0
