iter	Passed	Remaining
0	208	20648
1	373	18320
2	527	17058
3	673	16159
4	820	15590
5	979	15349
6	1136	15092
7	1285	14780
8	1443	14595
9	1594	14346
10	1746	14129
11	1885	13829
12	2035	13621
13	2176	13371
14	2325	13178
15	2471	12976
16	2627	12830
17	2766	12604
18	2906	12389
19	3046	12185
20	3198	12032
21	3347	11869
22	3489	11683
23	3629	11492
24	3770	11312
25	3913	11139
26	4059	10975
27	4205	10815
28	4349	10647
29	4485	10465
30	4629	10304
31	4768	10132
32	4907	9963
33	5044	9792
34	5188	9635
35	5336	9487
36	5473	9320
37	5616	9163
38	5756	9003
39	5894	8841
40	6042	8695
41	6190	8549
42	6334	8396
43	6472	8237
44	6611	8080
45	6756	7931
46	6898	7778
47	7035	7622
48	7175	7468
49	7323	7323
50	7480	7186
51	7633	7045
52	7789	6907
53	7933	6758
54	8078	6609
55	8226	6463
56	8371	6315
57	8513	6165
58	8669	6024
59	8832	5888
60	9004	5756
61	9146	5605
62	9290	5456
63	9429	5304
64	9576	5156
65	9725	5010
66	9871	4862
67	10012	4711
68	10160	4564
69	10338	4430
70	10481	4281
71	10626	4132
72	10777	3986
73	10920	3836
74	11069	3689
75	11221	3543
76	11368	3395
77	11511	3246
78	11655	3098
79	11794	2948
80	11939	2800
81	12081	2652
82	12225	2504
83	12367	2355
84	12513	2208
85	12656	2060
86	12797	1912
87	12939	1764
88	13079	1616
89	13228	1469
90	13384	1323
91	13533	1176
92	13676	1029
93	13818	882
94	13966	735
95	14112	588
96	14258	440
97	14394	293
98	14533	146
99	14674	0
