iter	Passed	Remaining
0	640	319614
1	1195	297780
2	1741	288554
3	2304	285740
4	2844	281601
5	3400	279957
6	3940	277543
7	4493	276344
8	5007	273202
9	5533	271132
10	6078	270234
11	6598	268354
12	7120	266753
13	7647	265474
14	8171	264222
15	8697	263095
16	9210	261681
17	9726	260464
18	10238	259193
19	10755	258124
20	11275	257183
21	11795	256280
22	12307	255252
23	12824	254354
24	13333	253340
25	13846	252426
26	14352	251434
27	14867	250627
28	15383	249854
29	15900	249107
30	16429	248557
31	16942	247789
32	17469	247222
33	17984	246492
34	18501	245806
35	19025	245215
36	19541	244530
37	20057	243856
38	20570	243151
39	21084	242477
40	21612	241956
41	22125	241274
42	22659	240828
43	23187	240305
44	23700	239636
45	24237	239210
46	24770	238743
47	25288	238128
48	25821	237663
49	26385	237465
50	26902	236849
51	27419	236227
52	27928	235546
53	28441	234902
54	28952	234251
55	29494	233851
56	30024	233351
57	30555	232854
58	31068	232221
59	31574	231548
60	32099	231013
61	32619	230442
62	33138	229866
63	33644	229201
64	34159	228608
65	34680	228048
66	35199	227483
67	35713	226885
68	36227	226291
69	36761	225819
70	37293	225334
71	37858	225048
72	38388	224546
73	38909	223994
74	39427	223424
75	39959	222930
76	40469	222321
77	40982	221727
78	41508	221204
79	42038	220700
80	42561	220164
81	43080	219606
82	43604	219074
83	44130	218552
84	44648	217990
85	45173	217464
86	45690	216896
87	46213	216364
88	46729	215794
89	47240	215206
90	47753	214626
91	48269	214062
92	48777	213465
93	49293	212905
94	49817	212379
95	50336	211832
96	50848	211257
97	51370	210724
98	51888	210172
99	52400	209602
100	52922	209071
101	53440	208522
102	53959	207979
103	54480	207443
104	54997	206894
105	55541	206446
106	56048	205861
107	56560	205293
108	57076	204741
109	57611	204259
110	58178	203886
111	58699	203351
112	59217	202807
113	59735	202262
114	60263	201750
115	60787	201226
116	61301	200671
117	61817	200119
118	62327	199553
119	62843	199004
120	63483	198844
121	64089	198572
122	64635	198111
123	65150	197553
124	65676	197030
125	66269	196703
126	66793	196172
127	67304	195604
128	67817	195039
129	68331	194482
130	68948	194212
131	69551	193900
132	70090	193408
133	70609	192857
134	71142	192348
135	71744	192021
136	72256	191452
137	72770	190891
138	73305	190384
139	73816	189813
140	74438	189527
141	75059	189235
