iter	Passed	Remaining
0	180	180135
1	231	115592
2	274	91335
3	319	79438
4	362	72132
5	406	67340
6	453	64400
7	500	62080
8	545	60031
9	587	58160
10	632	56892
11	677	55795
12	721	54769
13	760	53576
14	802	52682
15	843	51858
16	881	50946
17	930	50739
18	970	50088
19	1009	49469
20	1048	48900
21	1086	48307
22	1136	48290
23	1177	47887
24	1219	47564
25	1254	46999
26	1291	46549
27	1326	46034
28	1369	45870
29	1407	45524
30	1443	45127
31	1478	44731
32	1514	44389
33	1554	44158
34	1593	43941
35	1631	43694
36	1666	43380
37	1704	43146
38	1742	42925
39	1774	42585
40	1810	42355
41	1846	42109
42	1878	41800
43	1912	41553
44	1946	41308
45	1978	41033
46	2013	40831
47	2049	40649
48	2083	40441
49	2126	40396
50	2163	40257
51	2200	40110
52	2231	39869
53	2263	39652
54	2299	39508
55	2331	39296
56	2365	39132
57	2408	39111
58	2446	39026
59	2485	38939
60	2522	38823
61	2561	38747
62	2594	38592
63	2628	38437
64	2670	38421
65	2719	38486
66	2760	38438
67	2806	38462
68	2845	38388
69	2878	38242
70	2910	38080
71	2946	37980
72	2983	37885
73	3015	37736
74	3061	37756
75	3096	37642
76	3139	37637
77	3178	37567
78	3213	37467
79	3249	37373
80	3302	37471
81	3349	37502
82	3390	37456
83	3440	37513
84	3475	37408
85	3514	37351
86	3555	37312
87	3596	37269
88	3634	37200
89	3669	37106
90	3701	36972
91	3734	36861
92	3776	36826
93	3816	36785
94	3878	36949
95	3913	36854
96	3945	36732
97	3983	36663
98	4026	36644
99	4072	36655
100	4110	36589
101	4148	36526
102	4187	36465
103	4219	36350
104	4255	36273
105	4292	36200
106	4341	36229
107	4381	36191
108	4416	36098
109	4446	35976
110	4484	35919
111	4518	35827
112	4552	35732
113	4590	35677
114	4636	35682
115	4668	35579
116	4710	35551
117	4744	35465
118	4784	35420
119	4816	35322
120	4850	35235
121	4888	35179
122	4920	35082
123	4955	35011
124	4997	34983
125	5034	34923
126	5075	34887
127	5115	34849
128	5151	34782
129	5190	34738
130	5225	34664
131	5258	34580
132	5299	34543
133	5351	34582
134	5391	34544
135	5429	34496
136	5462	34407
137	5498	34347
138	5530	34255
139	5568	34206
140	5610	34182
141	5646	34117
142	5684	34068
143	5718	33990
144	5752	33919
145	5783	33830
146	5816	33753
147	5847	33663
148	5885	33615
149	5930	33607
150	5967	33553
151	6005	33505
152	6037	33424
153	6068	33337
154	6102	33266
155	6145	33246
156	6185	33212
157	6223	33164
158	6256	33092
159	6289	33019
160	6324	32960
161	6364	32922
162	6395	32842
163	6432	32792
164	6472	32756
165	6510	32707
166	6543	32638
167	6584	32608
168	6617	32540
169	6653	32483
170	6685	32409
171	6721	32359
172	6761	32320
173	6804	32300
174	6840	32246
175	6872	32176
176	6906	32115
177	6942	32058
178	6983	32031
179	7016	31965
180	7048	31895
181	7084	31843
182	7119	31786
183	7161	31758
184	7194	31695
185	7249	31725
186	7281	31656
187	7317	31603
188	7350	31541
189	7382	31472
190	7421	31434
191	7456	31377
192	7491	31322
193	7523	31257
194	7561	31213
195	7593	31147
196	7634	31117
197	7682	31116
198	7719	31070
199	7750	31002
200	7782	30935
201	7814	30869
202	7848	30815
203	7886	30772
204	7919	30712
205	7965	30701
206	7998	30640
207	8031	30582
208	8064	30521
209	8102	30479
210	8144	30453
211	8177	30395
212	8213	30346
213	8252	30309
214	8288	30261
215	8322	30207
216	8354	30146
217	8390	30098
218	8428	30057
219	8463	30006
220	8506	29982
221	8553	29974
222	8588	29924
223	8620	29862
224	8657	29818
225	8688	29754
226	8722	29700
227	8760	29663
228	8800	29628
229	8836	29584
230	8869	29527
231	8907	29486
232	8946	29449
233	8984	29409
234	9015	29348
235	9053	29308
236	9089	29262
237	9126	29220
238	9166	29187
239	9211	29171
240	9248	29126
241	9298	29125
242	9336	29083
243	9375	29047
244	9413	29009
245	9458	28991
246	9504	28976
247	9545	28943
248	9584	28907
249	9616	28849
250	9656	28815
251	9691	28765
252	9731	28731
253	9766	28685
254	9811	28665
255	9850	28627
256	9887	28585
257	9930	28559
258	9968	28518
259	10008	28486
260	10046	28444
261	10095	28435
262	10144	28426
263	10178	28376
264	10211	28321
265	10242	28264
266	10278	28218
267	10318	28182
268	10360	28155
269	10401	28122
270	10444	28096
271	10476	28041
272	10517	28008
273	10554	27966
