iter	Passed	Remaining
0	566	56111
1	1066	52235
2	1548	50060
3	2027	48665
4	2571	48859
5	3062	47972
6	3565	47371
7	4061	46702
8	4544	45950
9	5020	45182
10	5498	44485
11	5976	43828
12	6461	43239
13	6930	42571
14	7415	42019
15	7891	41431
16	8366	40849
17	8839	40269
18	9335	39797
19	9806	39225
20	10305	38769
21	10773	38197
22	11275	37748
23	11759	37236
24	12277	36831
25	12761	36320
26	13270	35879
27	13754	35369
28	14244	34873
29	14723	34353
30	15207	33849
31	15682	33325
32	16168	32826
33	16635	32292
34	17108	31773
35	17591	31273
36	18080	30786
37	18585	30324
38	19064	29818
39	19562	29343
40	20049	28852
41	20525	28344
42	20997	27834
43	21471	27327
44	21956	26836
45	22431	26332
46	22896	25819
47	23372	25320
48	23839	24812
49	24316	24316
50	24791	23818
51	25270	23326
52	25742	22827
53	26249	22360
54	26741	21879
55	27216	21384
56	27688	20888
57	28167	20397
58	28647	19907
59	29120	19413
60	29595	18921
61	30109	18454
62	30596	17969
63	31086	17486
64	31562	16995
65	32030	16500
66	32509	16012
67	32977	15519
68	33452	15029
69	33917	14536
70	34405	14052
71	34886	13567
72	35372	13082
73	35854	12597
74	36342	12114
75	36821	11627
76	37302	11142
77	37781	10656
78	38279	10175
79	38754	9688
80	39232	9202
81	39710	8717
82	40186	8230
83	40685	7749
84	41160	7263
85	41638	6778
86	42113	6292
87	42587	5807
88	43059	5321
89	43549	4838
90	44034	4355
91	44518	3871
92	44995	3386
93	45478	2902
94	45962	2419
95	46452	1935
96	46926	1451
97	47408	967
98	47880	483
99	48358	0
