iter	Passed	Remaining
0	134	134410
1	249	124666
2	348	115804
3	448	111582
4	542	107976
5	663	109969
6	776	110174
7	878	108978
8	981	108046
9	1077	106700
10	1189	106961
11	1291	106361
12	1394	105889
13	1488	104815
14	1589	104377
15	1725	106142
16	1829	105778
17	1935	105607
18	2032	104945
19	2133	104557
20	2249	104873
21	2347	104335
22	2445	103898
23	2547	103603
24	2664	103899
25	2777	104055
26	2877	103684
27	2991	103841
28	3098	103730
29	3201	103505
30	3312	103529
31	3411	103207
32	3513	102941
33	3626	103027
34	3741	103151
35	3866	103525
36	3984	103713
37	4096	103700
38	4207	103678
39	4328	103886
40	4442	103919
41	4537	103505
42	4648	103460
43	4767	103590
44	4870	103360
45	4986	103412
46	5108	103575
47	5217	103482
48	5318	103220
49	5417	102924
50	5540	103104
51	5654	103094
52	5756	102862
53	5864	102738
54	5973	102643
55	6092	102698
56	6200	102574
57	6301	102353
58	6410	102249
59	6520	102152
60	6656	102468
61	6760	102283
62	6859	102022
63	6965	101872
64	7077	101810
65	7217	102137
66	7350	102362
67	7458	102227
68	7558	101991
69	7662	101804
70	7776	101754
71	7883	101612
72	7998	101569
73	8101	101374
74	8206	101213
75	8313	101075
76	8409	100808
77	8513	100629
78	8615	100443
79	8714	100212
80	8818	100050
81	8926	99935
82	9036	99836
83	9136	99635
84	9242	99495
85	9356	99445
86	9458	99257
87	9550	98982
88	9660	98888
89	9759	98677
90	9869	98584
91	9979	98488
92	10078	98289
93	10183	98149
94	10288	98013
95	10395	97892
96	10491	97666
97	10592	97495
98	10695	97341
99	10798	97185
100	10899	97017
101	11003	96872
102	11111	96770
103	11207	96557
104	11316	96458
105	11420	96321
106	11548	96380
107	11653	96252
108	11759	96127
109	11864	95997
110	11977	95924
111	12081	95788
112	12189	95680
113	12302	95611
114	12435	95698
115	12549	95634
116	12648	95455
117	12748	95291
118	12855	95170
119	12950	94973
120	13050	94801
121	13156	94684
122	13250	94474
123	13349	94310
124	13460	94222
125	13576	94174
126	13688	94092
127	13790	93950
128	13886	93760
129	13993	93650
130	14099	93529
131	14197	93359
132	14300	93220
133	14406	93101
134	14503	92931
135	14619	92878
136	14730	92793
137	14827	92619
138	14920	92423
139	15025	92296
140	15139	92233
141	15239	92079
142	15385	92203
143	15489	92074
144	15587	91914
145	15693	91793
146	15795	91659
147	15919	91646
148	16033	91572
149	16143	91478
150	16250	91369
151	16377	91367
152	16478	91224
153	16581	91090
154	16683	90954
155	16802	90906
156	16911	90804
157	17040	90808
158	17153	90732
159	17272	90681
160	17389	90622
161	17505	90551
162	17607	90413
163	17711	90285
164	17806	90111
165	17908	89971
166	18006	89814
167	18124	89761
168	18244	89713
169	18356	89620
