iter	Passed	Remaining
0	214	214378
1	403	201200
2	603	200415
3	797	198602
4	1011	201384
5	1220	202272
6	1416	200964
7	1602	198753
8	1786	196706
9	1971	195184
10	2172	195360
11	2364	194636
12	2557	194180
13	2737	192822
14	2927	192215
15	3129	192466
16	3332	192715
17	3529	192550
18	3712	191702
19	3899	191091
20	4101	191213
21	4294	190914
22	4489	190726
23	4678	190277
24	4868	189855
25	5069	189925
26	5255	189392
27	5465	189727
28	5660	189536
29	5856	189375
30	6075	189907
31	6269	189661
32	6486	190066
33	6676	189691
34	6868	189379
35	7102	190200
36	7280	189494
37	7482	189415
38	7680	189247
39	7860	188658
40	8049	188282
41	8235	187849
42	8427	187567
43	8615	187194
44	8798	186722
45	8993	186517
46	9137	185269
47	9324	184943
48	9512	184612
49	9700	184300
50	9916	184532
51	10103	184200
52	10278	183650
53	10462	183279
54	10655	183089
55	10861	183085
56	11071	183165
57	11274	183107
58	11459	182766
59	11644	182432
60	11831	182123
61	12009	181692
62	12187	181268
63	12368	180893
64	12552	180561
65	12771	180731
66	12964	180536
67	13156	180318
68	13347	180093
69	13540	179896
70	13722	179553
71	13900	179167
72	14079	178796
73	14258	178422
74	14449	178207
75	14636	177944
76	14823	177686
77	15015	177493
78	15192	177120
79	15371	176769
80	15556	176498
81	15749	176312
82	15931	176013
83	16112	175703
84	16292	175385
85	16479	175143
86	16660	174839
87	16848	174612
88	17032	174346
89	17214	174056
90	17404	173856
91	17587	173585
92	17762	173227
93	17945	172968
94	18125	172672
95	18307	172395
96	18491	172140
97	18705	172170
98	18884	171870
99	19063	171567
100	19250	171351
101	19455	171281
102	19629	170950
103	19809	170668
104	20002	170501
105	20190	170286
106	20379	170086
107	20564	169848
108	20743	169561
109	20929	169336
110	21121	169165
111	21304	168916
112	21491	168700
113	21676	168467
114	21855	168192
115	22047	168019
116	22226	167739
117	22402	167450
118	22584	167204
119	22769	166973
120	22954	166752
121	23141	166545
122	23330	166345
123	23514	166121
124	23691	165838
125	23885	165683
126	24068	165445
127	24247	165185
128	24432	164968
129	24615	164737
130	24799	164511
131	24978	164249
132	25156	163990
133	25336	163741
134	25522	163531
135	25719	163394
136	25903	163171
137	26086	162949
138	26261	162667
139	26448	162466
140	26633	162259
141	26824	162079
142	27013	161889
143	27195	161663
144	27380	161451
145	27569	161260
146	27755	161056
147	27935	160820
148	28121	160613
149	28299	160361
150	28491	160192
151	28672	159962
152	28847	159699
153	29023	159438
154	29203	159207
155	29384	158978
156	29568	158763
157	29749	158536
158	29933	158328
159	30112	158091
160	30305	157925
161	30491	157727
162	30674	157513
163	30861	157315
164	31040	157082
165	31223	156870
166	31411	156680
167	31597	156483
168	31770	156221
169	31957	156026
170	32136	155797
171	32315	155564
172	32500	155363
173	32675	155115
174	32862	154924
175	33046	154718
176	33224	154485
177	33414	154309
178	33598	154100
179	33776	153868
180	33968	153701
181	34150	153488
182	34339	153305
183	34521	153094
184	34704	152889
185	34895	152714
186	35075	152493
187	35252	152258
188	35440	152073
189	35625	151875
190	35809	151674
191	35993	151474
192	36181	151288
193	36360	151065
194	36542	150853
195	36727	150658
196	36910	150452
197	37094	150252
198	37270	150016
199	37449	149799
200	37630	149587
201	37812	149376
202	38002	149201
203	38189	149013
204	38368	148796
205	38564	148641
206	38749	148448
207	38931	148237
208	39113	148031
209	39305	147864
210	39503	147716
211	39686	147512
212	39882	147358
213	40064	147153
214	40248	146952
215	40442	146790
216	40625	146588
217	40814	146409
218	40998	146208
219	41186	146026
220	41372	145834
221	41569	145680
222	41751	145474
223	41936	145280
224	42117	145071
225	42302	144877
226	42484	144670
227	42662	144453
228	42847	144257
229	43028	144051
230	43212	143854
231	43392	143643
232	43582	143466
233	43769	143279
234	43948	143067
235	44132	142869
236	44313	142662
237	44498	142469
238	44688	142293
239	44876	142109
240	45065	141928
241	45248	141728
242	45432	141533
243	45616	141336
244	45798	141133
245	46007	141014
246	46180	140786
247	46364	140587
248	46561	140433
249	46737	140212
250	46923	140022
251	47107	139827
252	47287	139619
253	47462	139397
254	47647	139205
255	47836	139023
256	48023	138837
257	48209	138648
258	48389	138441
259	48574	138250
260	48770	138090
261	48951	137886
262	49130	137676
263	49301	137446
264	49478	137232
265	49668	137054
266	49849	136853
267	50028	136644
268	50211	136449
269	50394	136252
270	50582	136069
271	50770	135884
272	50951	135683
273	51133	135485
274	51312	135278
275	51506	135110
276	51688	134913
277	51880	134741
278	52065	134550
279	52249	134355
280	52436	134169
281	52620	133977
282	52802	133778
283	52985	133583
284	53159	133365
285	53336	133154
286	53514	132948
287	53695	132747
288	53878	132551
289	54059	132352
290	54246	132168
291	54431	131976
292	54618	131793
293	54802	131601
294	54995	131429
295	55184	131249
296	55365	131049
297	55542	130841
298	55720	130636
299	55900	130435
300	56079	130230
301	56261	130035
302	56448	129850
303	56629	129652
304	56811	129455
305	56995	129263
306	57175	129062
307	57353	128858
308	57534	128661
309	57718	128469
310	57899	128272
311	58083	128082
312	58259	127873
313	58443	127683
314	58624	127485
315	58806	127290
316	58991	127101
317	59175	126910
318	59357	126715
319	59547	126538
320	59747	126381
321	59928	126185
322	60105	125978
323	60289	125790
324	60478	125609
325	60665	125425
326	60847	125230
327	61030	125038
328	61216	124852
329	61398	124656
330	61592	124486
331	61776	124298
332	61954	124095
333	62130	123888
334	62315	123701
335	62501	123515
336	62684	123321
337	62868	123133
338	63047	122933
339	63240	122761
340	63443	122607
341	63630	122423
342	63814	122233
343	63993	122033
344	64171	121832
345	64369	121669
346	64557	121487
347	64738	121290
348	64917	121091
349	65111	120921
350	65293	120728
351	65475	120534
352	65663	120352
353	65846	120160
354	66023	119958
355	66206	119766
356	66379	119558
357	66562	119365
358	66745	119175
359	66927	118982
360	67134	118833
361	67320	118647
362	67515	118476
363	67700	118289
364	67882	118096
365	68072	117917
366	68250	117718
367	68435	117529
368	68615	117333
369	68801	117149
370	68996	116977
371	69177	116783
372	69349	116574
373	69541	116397
374	69721	116201
375	69913	116026
376	70095	115834
377	70270	115631
378	70451	115435
379	70636	115248
380	70820	115059
381	71004	114870
382	71183	114674
383	71376	114500
384	71556	114305
385	71739	114113
386	71914	113911
387	72094	113715
388	72274	113520
389	72453	113325
390	72638	113137
391	72818	112942
392	72994	112742
393	73178	112553
394	73357	112357
395	73544	112173
396	73732	111991
397	73922	111812
398	74100	111614
399	74280	111421
400	74462	111228
401	74642	111035
402	74839	110865
403	75022	110676
404	75209	110493
405	75395	110308
406	75582	110124
407	75789	109969
408	75977	109786
409	76158	109593
410	76352	109419
411	76556	109260
412	76769	109112
413	76959	108932
414	77144	108745
415	77332	108562
416	77535	108401
417	77729	108225
418	77904	108025
419	78082	107827
420	78265	107638
421	78444	107443
422	78629	107255
423	78812	107066
424	78985	106863
425	79171	106677
426	79353	106486
427	79527	106284
428	79708	106091
429	79881	105889
430	80064	105700
431	80250	105514
432	80429	105319
433	80607	105123
434	80787	104930
435	80967	104738
436	81157	104558
437	81338	104366
438	81519	104174
439	81701	103983
440	81912	103829
441	82102	103649
442	82290	103466
443	82484	103291
444	82668	103103
445	82850	102913
446	83036	102727
447	83221	102540
448	83414	102363
449	83606	102185
450	83806	102016
451	84055	101908
452	84318	101815
453	84513	101639
454	84701	101455
455	84926	101315
456	85126	101145
457	85321	100970
458	85556	100840
459	85753	100667
460	85951	100494
461	86136	100305
462	86334	100132
463	86527	99954
464	86709	99762
465	86894	99574
466	87083	99390
467	87264	99197
468	87471	99035
469	87682	98876
470	87892	98716
471	88078	98528
472	88272	98350
473	88498	98207
474	88690	98025
475	88894	97858
476	89080	97670
477	89271	97488
478	89466	97310
479	89652	97123
480	89875	96975
481	90061	96788
482	90252	96605
483	90447	96427
484	90630	96236
485	90812	96044
486	90997	95855
487	91180	95664
488	91366	95476
489	91552	95289
490	91741	95104
491	91928	94918
492	92111	94727
493	92290	94532
494	92472	94340
495	92655	94150
496	92834	93955
497	93013	93760
498	93193	93567
499	93373	93373
500	93565	93192
501	93747	93000
502	93927	92806
503	94103	92610
504	94283	92416
505	94465	92225
506	94663	92049
507	94838	91851
508	95017	91657
509	95193	91460
510	95376	91270
511	95564	91084
512	95741	90888
513	95917	90692
514	96100	90502
515	96281	90310
516	96464	90120
517	96643	89926
518	96818	89729
519	97001	89539
520	97188	89353
521	97376	89168
522	97561	88980
523	97740	88787
524	97922	88596
525	98111	88412
526	98292	88220
527	98477	88033
528	98655	87839
529	98828	87640
530	99022	87460
531	99205	87270
532	99383	87077
533	99566	86887
534	99748	86697
535	99929	86505
536	100108	86313
537	100282	86116
538	100465	85926
539	100641	85731
540	100826	85543
541	101008	85354
542	101221	85190
543	101408	85004
544	101601	84823
545	101783	84633
546	101963	84441
547	102142	84248
548	102323	84058
549	102507	83870
550	102694	83683
551	102880	83497
552	103074	83317
553	103272	83140
554	103473	82964
555	103667	82784
556	103862	82605
557	104050	82420
558	104243	82238
559	104427	82050
560	104619	81867
561	104802	81678
562	104977	81483
563	105153	81288
564	105336	81099
565	105525	80915
566	105701	80720
567	105883	80531
