iter	Passed	Remaining
0	24	23987
1	45	22604
2	65	21927
3	86	21516
4	107	21408
5	130	21600
6	151	21518
7	173	21474
8	196	21629
9	218	21655
10	240	21660
11	262	21603
12	282	21437
13	300	21153
14	319	21009
15	339	20875
16	357	20656
17	377	20602
18	395	20441
19	417	20458
20	437	20394
21	456	20282
22	476	20222
23	494	20113
24	513	20034
25	532	19930
26	550	19850
27	570	19802
28	588	19712
29	608	19672
30	625	19567
31	649	19636
32	666	19538
33	684	19440
34	702	19377
35	719	19275
36	736	19179
37	754	19088
38	771	19007
39	788	18928
40	808	18909
41	826	18861
42	843	18774
43	865	18797
44	885	18790
45	907	18829
46	930	18860
47	952	18899
48	971	18858
49	990	18825
50	1012	18832
51	1029	18775
52	1047	18724
53	1065	18663
54	1083	18609
55	1103	18602
56	1123	18578
57	1140	18520
58	1157	18460
59	1175	18416
60	1195	18408
61	1213	18358
62	1231	18315
63	1248	18263
64	1267	18238
65	1285	18198
66	1307	18208
67	1327	18193
68	1349	18205
69	1366	18153
70	1384	18117
71	1405	18109
72	1422	18068
73	1440	18026
74	1461	18029
75	1480	17996
76	1497	17953
77	1521	17984
78	1540	17964
79	1558	17925
80	1576	17882
81	1593	17838
82	1610	17797
83	1627	17752
84	1645	17717
85	1663	17675
86	1683	17665
87	1701	17636
88	1719	17595
89	1741	17603
90	1760	17583
91	1778	17551
92	1795	17506
93	1812	17465
94	1829	17431
95	1846	17391
96	1864	17360
97	1883	17333
98	1905	17340
99	1925	17326
100	1942	17288
101	1965	17301
102	1983	17275
103	2000	17235
104	2017	17197
105	2035	17163
106	2052	17132
107	2070	17099
108	2087	17065
109	2105	17032
110	2122	16999
111	2139	16965
112	2161	16963
113	2179	16938
114	2196	16906
115	2214	16877
116	2232	16846
117	2249	16812
118	2266	16780
119	2283	16748
120	2301	16720
121	2325	16734
122	2344	16715
123	2361	16680
124	2380	16665
125	2400	16648
126	2417	16618
127	2435	16589
128	2452	16558
129	2471	16542
130	2490	16518
131	2508	16495
132	2525	16463
133	2543	16436
134	2562	16415
135	2579	16386
136	2599	16371
137	2617	16347
138	2635	16326
139	2653	16298
140	2670	16270
141	2687	16240
142	2705	16212
143	2722	16183
144	2740	16159
145	2757	16129
146	2774	16101
147	2792	16074
148	2811	16056
149	2830	16038
150	2849	16019
151	2866	15990
152	2886	15978
153	2911	15992
154	2929	15968
155	2945	15937
156	2963	15912
157	2981	15886
158	2998	15859
159	3015	15833
160	3035	15820
161	3084	15957
162	3103	15934
163	3118	15897
164	3138	15880
165	3156	15856
166	3174	15836
167	3193	15815
168	3211	15792
169	3228	15762
170	3245	15732
171	3267	15729
172	3286	15710
173	3304	15687
174	3324	15673
175	3343	15653
176	3360	15626
177	3379	15604
178	3397	15582
179	3414	15554
180	3431	15527
181	3449	15502
182	3467	15480
183	3489	15473
184	3507	15452
185	3525	15430
186	3542	15401
187	3561	15381
188	3579	15360
189	3598	15339
190	3615	15314
191	3632	15286
192	3650	15265
193	3667	15237
194	3687	15224
195	3706	15202
196	3724	15179
197	3741	15154
198	3757	15125
199	3776	15104
200	3793	15078
201	3811	15056
202	3827	15027
203	3846	15007
204	3864	14987
205	3883	14970
206	3910	14978
207	3929	14962
208	3947	14938
209	3964	14915
210	3981	14887
211	3998	14864
212	4017	14845
213	4034	14817
214	4052	14794
215	4069	14771
216	4091	14761
217	4110	14743
218	4127	14718
219	4144	14694
220	4161	14669
221	4179	14647
222	4198	14627
223	4216	14607
224	4233	14582
225	4251	14559
226	4268	14534
227	4286	14514
228	4306	14498
229	4328	14492
230	4349	14479
231	4367	14457
232	4385	14435
233	4404	14417
234	4421	14393
235	4438	14370
236	4456	14348
237	4475	14327
238	4493	14306
239	4510	14283
240	4532	14274
241	4551	14257
242	4568	14231
243	4585	14209
244	4602	14184
245	4621	14164
246	4639	14144
247	4656	14119
248	4674	14098
249	4691	14074
250	4709	14052
251	4727	14032
252	4747	14016
