iter	Passed	Remaining
0	198	198207
1	240	120084
2	282	93909
3	328	81849
4	367	73199
5	430	71388
6	474	67297
7	520	64565
8	566	62428
9	613	60735
10	658	59184
11	701	57724
12	743	56482
13	782	55141
14	819	53844
15	863	53106
16	926	53600
17	953	52045
18	983	50800
19	1011	49564
20	1039	48451
21	1068	47500
22	1105	46971
23	1134	46120
24	1163	45366
25	1188	44538
26	1216	43855
27	1250	43394
28	1289	43176
29	1320	42680
30	1345	42043
31	1372	41503
32	1403	41118
33	1428	40574
34	1453	40066
35	1479	39611
36	1507	39230
37	1536	38889
38	1562	38500
39	1588	38131
40	1615	37796
41	1641	37436
42	1666	37090
43	1692	36766
44	1720	36519
45	1751	36323
46	1777	36035
47	1803	35770
48	1832	35556
49	1860	35341
50	1885	35083
51	1915	34919
52	1945	34758
53	1972	34551
54	2002	34412
55	2031	34238
56	2059	34068
57	2085	33874
58	2110	33666
59	2139	33522
60	2174	33467
61	2207	33402
62	2233	33214
63	2261	33080
64	2287	32906
65	2313	32736
66	2340	32590
67	2366	32438
68	2393	32294
69	2421	32173
70	2447	32024
71	2472	31872
72	2499	31734
73	2524	31585
74	2550	31450
75	2574	31305
76	2608	31270
77	2637	31176
78	2664	31067
79	2692	30968
80	2719	30850
81	2746	30752
82	2775	30662
83	2800	30534
84	2830	30473
85	2860	30395
86	2888	30315
87	2916	30221
88	2941	30113
89	2966	29995
90	2992	29894
91	3020	29806
92	3076	30004
93	3103	29917
94	3129	29807
95	3154	29700
96	3185	29650
97	3210	29552
98	3240	29488
99	3265	29385
100	3295	29336
101	3323	29263
102	3349	29166
103	3374	29071
104	3399	28978
105	3425	28886
106	3454	28829
107	3483	28774
108	3509	28689
109	3539	28639
110	3563	28541
111	3589	28461
112	3614	28370
113	3640	28291
114	3666	28218
115	3691	28134
116	3721	28083
117	3748	28018
118	3785	28021
119	3810	27942
120	3836	27867
121	3861	27790
122	3886	27712
123	3911	27636
124	3942	27597
125	3970	27538
126	3994	27460
127	4020	27390
128	4046	27319
129	4071	27248
130	4096	27173
131	4129	27153
132	4158	27107
133	4188	27068
134	4217	27024
135	4243	26955
136	4272	26910
137	4297	26842
138	4322	26771
139	4346	26699
140	4375	26654
141	4402	26598
142	4427	26531
143	4455	26483
144	4480	26422
145	4506	26359
146	4531	26295
147	4556	26232
148	4581	26166
149	4612	26135
150	4637	26073
151	4662	26011
152	4687	25948
153	4711	25882
154	4739	25836
155	4768	25797
156	4800	25777
157	4835	25766
158	4862	25719
159	4888	25666
160	4915	25615
161	4944	25575
162	4970	25524
163	4997	25477
164	5026	25435
165	5054	25394
166	5080	25343
167	5105	25286
168	5135	25250
169	5160	25194
170	5184	25136
171	5219	25126
172	5244	25068
173	5272	25028
174	5304	25004
175	5329	24953
176	5355	24901
177	5381	24850
178	5407	24801
179	5432	24749
180	5460	24707
181	5487	24663
182	5520	24644
183	5545	24593
184	5570	24542
185	5599	24506
186	5625	24456
187	5651	24407
188	5676	24359
189	5706	24329
190	5736	24295
191	5760	24242
192	5790	24211
193	5817	24168
194	5842	24117
195	5866	24066
196	5893	24023
197	5921	23984
198	5951	23955
199	5976	23906
200	6005	23873
201	6031	23825
202	6055	23776
