iter	Passed	Remaining
0	23	23514
1	44	22169
2	65	21665
3	85	21364
4	106	21272
5	128	21288
6	149	21188
7	170	21156
8	194	21457
9	216	21440
10	236	21264
11	257	21160
12	275	20920
13	295	20806
14	314	20624
15	333	20479
16	351	20298
17	369	20172
18	387	20012
19	407	19991
20	428	19954
21	445	19807
22	464	19730
23	482	19621
24	500	19531
25	518	19408
26	536	19316
27	554	19236
28	572	19152
29	589	19072
30	606	18957
31	629	19054
32	647	18969
33	669	19011
34	687	18965
35	705	18881
36	722	18810
37	739	18719
38	756	18644
39	773	18567
40	793	18549
41	812	18534
42	831	18514
43	850	18480
44	867	18408
45	889	18441
46	913	18525
47	937	18586
48	958	18605
49	980	18626
50	998	18582
51	1016	18539
52	1037	18542
53	1058	18539
54	1075	18478
55	1092	18408
56	1109	18352
57	1127	18304
58	1143	18236
59	1159	18171
60	1178	18136
61	1194	18071
62	1212	18029
63	1233	18039
64	1252	18017
65	1270	17980
66	1287	17928
67	1304	17881
68	1322	17837
69	1342	17834
70	1362	17826
71	1384	17850
72	1407	17877
73	1432	17926
74	1458	17993
75	1476	17956
76	1495	17929
77	1517	17934
78	1535	17896
79	1552	17853
80	1569	17804
81	1586	17757
82	1603	17714
83	1620	17669
84	1644	17697
85	1668	17729
86	1688	17721
87	1708	17703
88	1726	17676
89	1746	17658
90	1766	17642
91	1784	17609
92	1803	17591
93	1821	17559
94	1839	17523
95	1859	17509
96	1877	17478
97	1898	17469
98	1921	17487
99	1941	17475
100	1959	17445
101	1977	17413
102	1996	17390
103	2015	17361
104	2033	17335
105	2053	17316
106	2073	17308
107	2094	17296
108	2111	17258
109	2129	17230
110	2148	17207
111	2165	17169
112	2182	17133
113	2200	17099
114	2217	17065
115	2234	17029
116	2251	16995
117	2269	16959
118	2289	16953
119	2307	16921
120	2325	16891
121	2356	16956
122	2374	16930
123	2391	16898
124	2409	16869
125	2428	16841
126	2447	16821
127	2465	16795
128	2483	16765
129	2506	16775
130	2525	16752
131	2545	16735
132	2563	16711
133	2582	16690
134	2602	16676
135	2622	16660
136	2646	16669
137	2666	16654
138	2685	16635
139	2703	16607
140	2725	16605
141	2743	16578
142	2761	16549
143	2778	16516
144	2796	16489
145	2813	16454
146	2830	16424
147	2847	16393
148	2865	16365
149	2883	16342
150	2901	16314
151	2920	16293
152	2951	16336
153	2968	16305
154	2986	16281
155	3003	16247
156	3020	16218
157	3037	16185
158	3053	16152
159	3070	16120
160	3087	16089
161	3105	16065
162	3123	16036
163	3141	16012
164	3160	15992
165	3182	15987
166	3202	15972
167	3220	15950
168	3238	15925
169	3255	15893
170	3272	15866
171	3291	15843
172	3309	15821
173	3327	15796
174	3347	15782
175	3369	15775
176	3387	15752
177	3444	15908
178	3462	15880
179	3479	15851
180	3496	15821
181	3513	15791
182	3533	15774
183	3550	15744
184	3566	15713
185	3589	15707
186	3606	15681
187	3629	15675
188	3650	15665
189	3668	15638
190	3685	15611
191	3702	15582
192	3720	15558
193	3737	15528
194	3754	15498
195	3771	15470
196	3789	15444
197	3808	15425
198	3829	15414
199	3848	15395
200	3866	15368
201	3883	15342
202	3900	15314
203	3917	15284
204	3937	15268
205	3957	15251
206	3974	15225
207	3992	15203
208	4009	15174
209	4026	15148
210	4047	15133
211	4065	15109
212	4084	15093
213	4102	15069
214	4123	15056
215	4144	15043
216	4162	15019
217	4180	14996
218	4197	14969
219	4214	14942
220	4233	14923
221	4254	14908
222	4271	14882
223	4289	14859
224	4307	14837
225	4327	14821
226	4346	14800
227	4367	14788
228	4384	14760
229	4401	14736
230	4419	14713
231	4438	14691
232	4457	14674
233	4475	14652
234	4492	14623
235	4508	14594
236	4526	14573
237	4543	14546
238	4585	14600
239	4619	14628
240	4643	14623
241	4662	14603
242	4680	14580
243	4696	14551
244	4713	14524
245	4730	14500
246	4748	14475
247	4764	14448
248	4781	14421
249	4798	14394
250	4813	14365
251	4831	14340
252	4865	14366
253	4891	14367
254	4934	14416
255	4961	14417
256	4980	14399
257	4998	14374
258	5015	14350
259	5033	14325
260	5049	14297
261	5066	14272
262	5087	14255
263	5107	14239
264	5125	14214
265	5145	14197
266	5162	14172
267	5179	14147
268	5198	14125
269	5215	14100
270	5232	14075
271	5249	14049
272	5266	14024
273	5284	14001
274	5302	13980
275	5323	13964
276	5341	13941
277	5360	13922
278	5381	13908
279	5399	13884
280	5416	13859
281	5434	13836
282	5451	13812
283	5469	13789
284	5485	13762
285	5504	13741
286	5524	13723
287	5541	13699
288	5559	13676
289	5576	13653
290	5598	13639
291	5616	13618
292	5635	13598
293	5653	13577
294	5672	13555
295	5688	13530
296	5705	13504
297	5725	13487
298	5742	13463
299	5759	13438
300	5776	13414
301	5793	13389
302	5810	13366
303	5827	13341
304	5845	13319
305	5862	13295
306	5878	13269
307	5895	13245
308	5913	13224
309	5933	13206
310	5952	13188
311	5974	13174
312	5992	13152
313	6009	13129
314	6027	13106
315	6044	13084
316	6062	13061
317	6080	13040
318	6098	13018
319	6117	12999
320	6135	12977
321	6156	12963
322	6175	12943
323	6192	12919
324	6209	12895
325	6227	12874
326	6244	12852
327	6264	12835
328	6281	12811
329	6299	12789
330	6315	12764
331	6337	12751
332	6356	12731
333	6378	12717
334	6397	12699
335	6415	12679
336	6434	12659
337	6453	12639
338	6469	12615
339	6486	12590
340	6503	12568
341	6522	12548
342	6542	12531
343	6570	12529
344	6590	12511
345	6608	12491
346	6627	12471
347	6646	12451
348	6665	12433
349	6685	12416
350	6703	12394
351	6721	12372
352	6739	12352
353	6759	12334
354	6776	12311
355	6798	12298
356	6816	12276
357	6833	12253
358	6850	12232
359	6867	12208
360	6884	12185
361	6901	12163
362	6917	12139
363	6934	12117
364	6963	12114
365	6984	12098
366	7001	12076
367	7018	12054
368	7038	12035
369	7057	12017
370	7073	11992
371	7090	11970
372	7107	11947
373	7124	11924
374	7142	11903
375	7165	11891
376	7183	11871
377	7202	11852
378	7221	11832
379	7239	11812
380	7260	11795
381	7278	11775
382	7297	11755
383	7315	11735
384	7335	11717
385	7353	11697
386	7375	11683
387	7399	11670
388	7417	11650
389	7436	11631
390	7460	11620
391	7482	11604
392	7501	11586
393	7524	11573
394	7545	11557
395	7572	11549
396	7594	11535
397	7613	11515
398	7631	11494
399	7655	11483
400	7680	11473
401	7704	11460
402	7723	11441
403	7745	11426
404	7763	11405
405	7785	11390
406	7807	11374
407	7828	11358
408	7847	11339
409	7869	11323
410	7892	11310
411	7912	11292
412	7931	11273
413	7959	11265
414	7990	11264
415	8007	11241
416	8022	11216
417	8038	11192
418	8053	11167
