iter	Passed	Remaining
0	184	184113
1	221	110533
2	257	85586
3	294	73363
4	327	65118
5	361	59966
6	400	56859
7	440	54621
8	476	52515
9	513	50807
10	546	49114
11	586	48263
12	622	47228
13	654	46127
14	686	45061
15	720	44302
16	752	43491
17	790	43134
18	863	44561
19	897	43971
20	927	43253
21	957	42569
22	1002	42564
23	1035	42123
24	1068	41655
25	1099	41175
26	1128	40658
27	1154	40076
28	1188	39806
29	1223	39553
30	1255	39246
31	1295	39200
32	1342	39345
33	1378	39164
34	1407	38808
35	1434	38422
36	1470	38275
37	1499	37949
38	1529	37693
39	1563	37527
40	1589	37187
41	1616	36861
42	1641	36533
43	1666	36214
44	1692	35926
45	1718	35634
46	1744	35366
47	1773	35167
48	1808	35091
49	1834	34854
50	1858	34590
51	1888	34423
52	1915	34229
53	1940	33989
54	1972	33888
55	2002	33750
56	2029	33580
57	2055	33378
58	2080	33178
59	2108	33025
60	2134	32855
61	2163	32724
62	2195	32660
63	2230	32614
64	2255	32438
65	2283	32315
66	2313	32215
67	2342	32110
68	2370	31984
69	2396	31839
70	2426	31749
71	2451	31597
72	2475	31439
73	2499	31279
74	2523	31124
75	2553	31045
76	2583	30962
77	2613	30888
78	2640	30789
79	2668	30686
80	2694	30568
81	2720	30460
82	2745	30331
83	2770	30210
84	2795	30089
85	2833	30110
86	2863	30046
87	2889	29949
88	2914	29835
89	2938	29715
90	2963	29602
91	2989	29505
92	3023	29489
93	3056	29460
94	3083	29378
95	3109	29281
96	3134	29182
97	3159	29081
98	3190	29039
99	3216	28944
100	3254	28964
101	3296	29017
102	3333	29027
103	3369	29033
104	3412	29086
105	3442	29031
106	3470	28962
107	3496	28880
108	3529	28849
109	3561	28813
110	3585	28719
111	3612	28639
112	3638	28558
113	3663	28473
114	3692	28418
115	3720	28352
116	3751	28309
117	3778	28244
118	3810	28210
119	3845	28197
120	3870	28119
121	3896	28045
122	3922	27965
123	3950	27907
124	3978	27848
125	4004	27774
126	4034	27734
127	4060	27662
128	4085	27585
129	4110	27508
130	4135	27435
131	4162	27370
132	4191	27322
133	4218	27265
134	4283	27445
135	4311	27390
136	4345	27370
137	4373	27315
138	4403	27273
139	4429	27209
140	4458	27160
141	4484	27097
142	4510	27033
143	4545	27019
144	4576	26982
145	4610	26969
146	4649	26982
147	4683	26964
148	4709	26895
149	4735	26833
150	4759	26762
151	4785	26695
152	4809	26627
153	4843	26607
154	4873	26568
155	4900	26513
156	4925	26445
157	4954	26401
158	4980	26342
159	5005	26277
160	5029	26207
161	5061	26182
162	5089	26134
163	5116	26083
164	5142	26022
165	5167	25962
166	5192	25899
167	5217	25839
168	5249	25812
169	5279	25775
170	5308	25733
171	5336	25688
172	5362	25633
173	5387	25574
174	5418	25542
175	5442	25482
176	5471	25440
177	5502	25411
178	5537	25397
179	5564	25350
180	5591	25300
181	5617	25248
182	5646	25208
183	5679	25188
184	5707	25144
185	5741	25127
186	5767	25074
187	5794	25029
188	5821	24981
189	5854	24958
190	5882	24918
191	5907	24859
192	5935	24818
193	5961	24766
194	5986	24711
195	6010	24655
196	6038	24613
197	6065	24569
198	6094	24532
199	6120	24480
200	6151	24451
201	6182	24423
202	6209	24379
203	6236	24336
204	6273	24327
205	6303	24297
206	6343	24303
207	6376	24281
208	6411	24264
209	6437	24218
210	6464	24173
211	6490	24125
212	6528	24121
213	6561	24100
214	6590	24063
215	6618	24024
216	6648	23990
217	6678	23957
218	6704	23910
219	6732	23869
220	6763	23841
221	6790	23796
222	6821	23769
223	6849	23729
224	6889	23730
225	6914	23681
226	6938	23629
227	6963	23577
228	6989	23533
229	7015	23485
230	7043	23447
231	7069	23403
232	7096	23362
233	7126	23329
234	7153	23287
235	7179	23243
236	7207	23203
237	7233	23159
238	7260	23118
239	7298	23112
240	7325	23070
241	7349	23021
242	7377	22983
243	7405	22943
244	7432	22905
245	7457	22856
246	7492	22842
247	7521	22806
248	7545	22757
249	7569	22709
250	7594	22662
251	7619	22616
252	7643	22568
253	7672	22533
254	7698	22492
255	7730	22467
256	7760	22435
257	7785	22390
258	7809	22342
259	7833	22295
260	7860	22257
261	7899	22250
262	7930	22223
263	7956	22182
264	7980	22135
265	8006	22094
266	8030	22047
267	8057	22007
268	8081	21961
269	8105	21914
270	8129	21868
271	8160	21840
272	8185	21796
273	8212	21759
274	8236	21714
275	8266	21683
276	8295	21652
277	8327	21628
278	8352	21584
279	8382	21555
280	8411	21523
281	8440	21489
282	8465	21447
283	8498	21425
284	8532	21405
285	8562	21375
286	8590	21342
287	8621	21313
288	8647	21275
289	8677	21244
290	8702	21203
291	8728	21163
292	8756	21130
293	8783	21091
294	8810	21056
295	8868	21092
296	8900	21066
297	8930	21037
298	8957	20999
299	8981	20956
300	9005	20914
301	9036	20885
302	9063	20848
303	9088	20806
304	9112	20765
305	9137	20724
306	9162	20683
307	9189	20647
308	9219	20616
309	9253	20596
310	9278	20556
311	9309	20527
312	9340	20502
313	9366	20462
314	9392	20425
315	9418	20387
316	9446	20353
317	9481	20334
318	9507	20296
319	9536	20265
320	9561	20224
321	9591	20195
322	9620	20163
323	9645	20124
324	9669	20083
325	9696	20047
326	9725	20016
327	9750	19976
328	9775	19936
329	9800	19898
330	9828	19865
331	9856	19831
332	9880	19790
333	9907	19756
334	9954	19761
335	9984	19732
336	10011	19695
337	10036	19657
338	10063	19621
339	10087	19582
340	10111	19541
341	10136	19502
342	10165	19472
343	10193	19439
344	10217	19399
345	10249	19372
346	10273	19333
347	10302	19302
348	10327	19264
349	10361	19241
350	10391	19213
351	10416	19175
352	10443	19140
353	10472	19111
354	10498	19074
355	10527	19045
356	10552	19006
357	10582	18977
358	10615	18954
359	10641	18918
360	10666	18879
361	10695	18849
362	10719	18810
363	10744	18774
364	10772	18741
365	10800	18709
366	10833	18684
367	10861	18653
368	10886	18616
369	10915	18586
370	10959	18580
371	10983	18542
372	11010	18508
373	11036	18472
374	11064	18440
375	11089	18403
376	11116	18370
377	11141	18333
378	11166	18296
379	11192	18262
380	11217	18225
381	11252	18203
382	11279	18171
383	11308	18139
384	11334	18106
385	11363	18074
386	11398	18054
387	11427	18024
388	11457	17996
389	11491	17974
390	11522	17946
391	11549	17913
392	11578	17882
