iter	Passed	Remaining
0	58	5775
1	111	5466
2	160	5189
3	209	5027
4	258	4916
5	315	4937
6	374	4970
7	424	4880
8	477	4831
9	535	4818
10	595	4822
11	648	4757
12	713	4775
13	768	4723
14	825	4675
15	902	4738
16	965	4711
17	1028	4685
18	1093	4662
19	1168	4672
20	1276	4801
21	1334	4732
22	1426	4775
23	1515	4797
24	1578	4735
25	1660	4725
26	1730	4678
27	1789	4602
28	1859	4553
29	1918	4477
30	1998	4448
31	2068	4396
32	2243	4555
33	2333	4529
34	2427	4508
35	2504	4453
36	2578	4389
37	2669	4355
38	2839	4441
39	2933	4399
40	3106	4470
41	3201	4420
42	3330	4414
43	3451	4392
44	3683	4502
45	3763	4417
46	3832	4321
47	3958	4288
48	4051	4217
49	4226	4226
50	4396	4224
51	4563	4212
52	4704	4172
53	4779	4071
54	4945	4046
55	5036	3956
56	5203	3925
57	5327	3857
58	5494	3818
59	5556	3704
60	5651	3613
61	5819	3566
62	5909	3470
63	6079	3419
64	6244	3362
65	6310	3250
66	6476	3190
67	6640	3124
68	6706	3012
69	6828	2926
70	6963	2844
71	7124	2770
72	7188	2658
73	7263	2552
74	7350	2450
75	7431	2346
76	7491	2237
77	7582	2138
78	7714	2050
79	7835	1958
80	8006	1878
81	8076	1772
82	8245	1688
83	8316	1584
84	8441	1489
85	8543	1390
86	8714	1302
87	8837	1205
88	9003	1112
89	9171	1019
90	9250	914
91	9375	815
92	9429	709
93	9486	605
94	9658	508
95	9731	405
96	9854	304
97	9943	202
98	10066	101
99	10238	0
