iter	Passed	Remaining
0	24	24234
1	47	23685
2	70	23500
3	94	23474
4	117	23362
5	139	23152
6	161	22941
7	184	22928
8	212	23378
9	233	23140
10	256	23020
11	279	22993
12	299	22766
13	322	22690
14	343	22549
15	362	22303
16	383	22161
17	406	22191
18	427	22075
19	478	23456
20	498	23241
21	519	23073
22	539	22896
23	558	22698
24	578	22573
25	597	22397
26	620	22355
27	638	22181
28	658	22058
29	684	22129
30	705	22042
31	726	21979
32	745	21839
33	764	21725
34	785	21646
35	805	21576
36	826	21508
37	845	21403
38	863	21283
39	883	21206
40	908	21255
41	934	21309
42	958	21333
43	984	21385
44	1008	21411
45	1029	21352
46	1051	21325
47	1069	21220
48	1086	21093
49	1105	21000
50	1126	20964
51	1145	20881
52	1163	20795
53	1180	20683
54	1202	20661
55	1222	20611
56	1247	20633
57	1270	20627
58	1291	20602
59	1311	20552
60	1330	20486
61	1352	20468
62	1372	20416
63	1389	20327
64	1407	20252
65	1425	20172
66	1443	20102
67	1463	20058
68	1482	20000
69	1499	19922
70	1518	19869
71	1540	19854
72	1557	19781
73	1576	19732
74	1596	19684
75	1613	19619
76	1632	19566
77	1655	19564
78	1682	19609
79	1706	19622
80	1723	19557
81	1742	19511
82	1761	19460
83	1781	19428
84	1808	19462
85	1835	19507
86	1867	19602
87	1889	19584
88	1921	19665
89	1944	19664
90	1965	19636
91	1984	19586
92	2003	19538
93	2021	19485
94	2039	19429
95	2056	19370
96	2075	19323
97	2093	19270
98	2115	19250
99	2140	19266
100	2166	19281
101	2185	19239
102	2205	19208
103	2224	19160
104	2241	19103
105	2258	19046
106	2275	18987
107	2291	18928
108	2312	18904
109	2334	18884
110	2353	18848
111	2373	18822
112	2392	18778
113	2409	18726
114	2428	18688
115	2446	18646
116	2465	18608
117	2484	18569
118	2503	18535
119	2524	18511
120	2545	18489
121	2575	18533
122	2600	18544
123	2624	18541
124	2644	18510
125	2667	18501
126	2691	18498
127	2708	18449
128	2727	18414
129	2748	18391
130	2765	18348
131	2786	18323
132	2807	18302
133	2827	18270
134	2848	18250
135	2866	18212
136	2885	18176
137	2911	18187
138	2930	18154
139	2952	18134
140	2971	18100
141	2990	18066
142	3011	18048
143	3030	18016
144	3049	17984
145	3070	17959
146	3088	17923
147	3108	17896
148	3132	17891
149	3152	17866
150	3171	17833
151	3191	17802
152	3210	17775
153	3231	17750
154	3252	17731
155	3269	17689
156	3289	17660
157	3309	17634
158	3371	17834
159	3393	17817
160	3415	17796
161	3435	17769
162	3457	17755
163	3479	17734
164	3497	17700
165	3515	17663
166	3535	17635
167	3556	17613
168	3574	17576
169	3594	17550
170	3611	17507
171	3632	17486
172	3654	17470
173	3678	17463
174	3697	17431
175	3716	17398
176	3734	17366
177	3752	17330
178	3769	17290
179	3787	17253
180	3804	17214
181	3821	17177
182	3839	17140
183	3862	17129
184	3885	17117
185	3911	17118
186	3938	17124
187	3959	17100
188	3982	17089
189	4001	17057
190	4019	17026
191	4037	16990
192	4058	16969
193	4077	16940
194	4094	16904
195	4112	16871
196	4130	16838
197	4149	16808
198	4167	16776
199	4188	16752
200	4206	16720
201	4225	16692
202	4243	16661
203	4260	16625
204	4283	16613
205	4301	16578
206	4319	16546
207	4339	16523
208	4359	16498
209	4376	16464
210	4392	16425
211	4410	16392
212	4430	16369
213	4448	16338
214	4469	16320
215	4490	16298
216	4512	16280
217	4532	16258
218	4552	16234
219	4572	16213
220	4589	16178
221	4608	16149
222	4626	16120
223	4646	16097
224	4664	16066
225	4680	16030
226	4697	15997
227	4720	15982
228	4737	15950
229	4755	15921
230	4774	15893
231	4790	15859
232	4807	15826
233	4825	15795
234	4842	15762
235	4858	15727
236	4875	15697
237	4892	15664
238	4910	15634
239	4941	15649
240	4961	15624
241	4979	15595
242	4995	15563
243	5012	15531
244	5030	15501
245	5048	15473
246	5067	15448
247	5083	15415
248	5102	15389
249	5121	15365
250	5142	15345
251	5168	15341
252	5186	15314
253	5207	15294
254	5229	15277
255	5245	15245
256	5262	15214
257	5281	15189
258	5298	15159
259	5315	15129
260	5332	15097
261	5351	15074
262	5374	15060
263	5398	15049
264	5415	15020
265	5434	14994
266	5451	14967
267	5468	14936
268	5487	14912
269	5504	14882
270	5521	14853
271	5538	14822
272	5555	14793
273	5577	14777
274	5595	14752
275	5617	14734
276	5635	14708
277	5658	14695
278	5676	14669
279	5693	14640
280	5710	14611
281	5729	14587
282	5747	14560
283	5765	14535
284	5784	14511
285	5804	14490
286	5822	14465
287	5839	14437
288	5856	14408
289	5874	14383
290	5894	14360
291	5913	14337
292	5941	14336
293	5962	14317
294	5980	14292
295	6001	14272
296	6020	14251
297	6038	14224
298	6057	14201
299	6075	14175
300	6092	14148
301	6111	14125
302	6129	14100
303	6147	14074
304	6164	14047
305	6181	14019
306	6198	13992
307	6216	13967
308	6235	13944
309	6256	13926
310	6274	13900
311	6291	13874
312	6309	13848
313	6326	13821
314	6348	13805
315	6374	13797
316	6395	13779
317	6414	13756
318	6434	13736
319	6456	13720
320	6473	13693
321	6492	13670
322	6510	13644
323	6526	13618
324	6543	13591
325	6561	13565
326	6579	13540
327	6600	13523
328	6618	13497
329	6638	13477
330	6658	13457
331	6678	13437
332	6695	13410
333	6712	13384
334	6730	13360
335	6747	13334
336	6764	13309
337	6783	13285
338	6802	13264
339	6823	13245
340	6845	13228
