iter	Passed	Remaining
0	193	192950
1	236	118065
2	297	98860
3	346	86215
4	386	76908
5	429	71212
6	472	66959
7	517	64195
8	570	62864
9	609	60341
10	640	57545
11	673	55475
12	708	53806
13	737	51958
14	774	50827
15	813	50010
16	851	49208
17	887	48400
18	969	50078
19	1004	49197
20	1038	48421
21	1077	47880
22	1115	47390
23	1148	46697
24	1176	45901
25	1207	45230
26	1245	44893
27	1286	44677
28	1333	44652
29	1373	44410
30	1399	43759
31	1426	43155
32	1452	42560
33	1477	41985
34	1502	41432
35	1527	40910
36	1557	40543
37	1587	40180
38	1612	39721
39	1636	39285
40	1673	39135
41	1708	38959
42	1738	38699
43	1774	38552
44	1803	38264
45	1827	37907
46	1852	37572
47	1878	37260
48	1906	37003
49	1933	36730
50	1957	36421
51	1988	36254
52	2018	36075
53	2043	35796
54	2071	35588
55	2099	35385
56	2128	35208
57	2155	35010
58	2185	34856
59	2226	34882
60	2255	34714
61	2284	34559
62	2308	34335
63	2336	34176
64	2361	33967
65	2386	33777
66	2412	33600
67	2440	33454
68	2470	33336
69	2494	33137
70	2519	32971
71	2543	32788
72	2567	32601
73	2592	32441
74	2615	32252
75	2638	32078
76	2670	32011
77	2698	31902
78	2726	31787
79	2753	31663
80	2783	31578
81	2810	31465
82	2835	31330
83	2861	31200
84	2889	31109
85	2922	31063
86	2954	31005
87	2982	30909
88	3010	30810
89	3037	30713
90	3065	30617
91	3105	30648
92	3144	30671
93	3176	30615
94	3208	30565
95	3242	30536
96	3271	30458
97	3296	30341
98	3327	30286
99	3354	30192
100	3381	30099
101	3405	29981
102	3429	29869
103	3454	29763
104	3478	29650
105	3503	29545
106	3530	29461
107	3560	29406
108	3585	29308
109	3609	29203
110	3633	29102
111	3658	29008
112	3683	28910
113	3707	28813
114	3735	28745
115	3760	28661
116	3801	28687
117	3826	28603
118	3855	28540
119	3880	28457
120	3905	28371
121	3929	28281
122	3954	28194
123	3978	28107
124	4007	28050
125	4035	27992
126	4060	27909
127	4084	27827
128	4109	27744
129	4137	27690
130	4164	27624
131	4189	27546
132	4220	27513
133	4252	27480
134	4278	27415
135	4302	27335
136	4329	27275
137	4354	27202
138	4379	27129
139	4404	27053
140	4430	26993
141	4459	26944
142	4483	26870
143	4510	26815
144	4537	26753
145	4562	26685
146	4588	26623
147	4615	26568
148	4640	26502
149	4671	26470
150	4698	26415
151	4722	26348
152	4747	26279
153	4773	26221
154	4805	26197
155	4832	26143
156	4855	26073
157	4911	26171
158	4944	26152
159	4968	26086
160	4993	26021
161	5020	25972
162	5046	25914
163	5073	25862
164	5098	25803
165	5131	25781
166	5159	25738
167	5184	25676
168	5217	25652
169	5245	25611
170	5273	25563
171	5300	25515
172	5323	25450
173	5352	25408
174	5383	25378
175	5407	25316
176	5432	25258
177	5456	25197
178	5480	25136
179	5506	25085
180	5533	25036
181	5557	24978
182	5590	24958
183	5616	24906
184	5640	24848
185	5668	24806
186	5693	24751
187	5719	24701
188	5743	24643
189	5767	24587
190	5797	24556
191	5831	24542
192	5857	24492
193	5882	24441
194	5907	24387
195	5933	24337
196	5958	24289
197	5983	24236
198	6011	24195
199	6034	24139
200	6068	24122
201	6093	24073
202	6122	24035
203	6148	23989
204	6175	23949
205	6203	23909
206	6232	23876
207	6264	23853
208	6300	23844
209	6325	23796
210	6350	23745
211	6375	23697
212	6399	23646
213	6426	23602
214	6452	23560
215	6476	23507
216	6503	23466
217	6536	23446
218	6561	23399
219	6586	23352
220	6614	23317
221	6639	23268
222	6663	23218
223	6688	23172
224	6713	23124
225	6738	23077
226	6766	23041
227	6794	23005
228	6820	22964
229	6853	22943
230	6877	22893
231	6901	22845
232	6927	22805
233	6951	22755
234	6975	22708
235	7003	22670
236	7028	22628
237	7053	22581
238	7077	22534
239	7108	22509
240	7136	22476
241	7160	22427
242	7187	22392
243	7214	22353
244	7246	22331
245	7275	22299
246	7309	22282
247	7334	22241
248	7359	22195
249	7383	22151
250	7407	22104
251	7436	22073
252	7461	22030
253	7489	21995
254	7515	21957
255	7542	21919
256	7571	21889
257	7595	21844
258	7619	21799
259	7646	21762
260	7672	21723
261	7697	21683
262	7722	21641
263	7746	21595
264	7770	21552
265	7798	21517
266	7822	21474
267	7851	21443
268	7893	21450
269	7918	21408
270	7942	21365
271	7965	21320
272	7989	21275
273	8017	21244
274	8042	21202
275	8071	21172
276	8102	21148
277	8137	21132
278	8162	21094
279	8189	21058
280	8215	21020
281	8240	20982
282	8265	20942
283	8292	20906
284	8334	20909
285	8369	20893
286	8394	20855
287	8421	20819
288	8447	20782
289	8476	20752
290	8499	20709
291	8523	20667
292	8553	20639
293	8580	20603
294	8608	20572
295	8632	20531
296	8657	20492
297	8683	20455
298	8708	20416
299	8732	20376
300	8756	20335
301	8782	20298
302	8814	20275
303	8839	20236
304	8863	20196
305	8889	20161
306	8925	20148
307	8950	20110
308	8979	20079
309	9011	20058
310	9037	20022
311	9069	19999
312	9097	19967
313	9122	19930
314	9149	19896
315	9174	19858
316	9201	19825
317	9229	19793
318	9256	19759
319	9284	19730
320	9310	19694
321	9343	19673
322	9370	19641
323	9395	19603
324	9420	19565
325	9446	19531
326	9476	19503
327	9501	19466
328	9526	19428
329	9551	19393
330	9579	19360
331	9607	19330
332	9631	19291
333	9659	19261
334	9689	19233
335	9716	19202
336	9742	19166
337	9766	19129
338	9795	19099
339	9821	19065
340	9846	19028
341	9871	18992
342	9903	18968
343	9942	18959
344	9967	18923
345	9997	18897
346	10022	18860
347	10050	18830
348	10078	18800
349	10109	18775
350	10135	18740
351	10162	18708
352	10186	18670
353	10210	18632
354	10234	18595
355	10262	18565
356	10285	18525
357	10316	18500
358	10352	18484
359	10383	18459
360	10408	18424
361	10436	18393
362	10460	18356
363	10483	18317
364	10510	18285
365	10537	18253
366	10570	18231
367	10597	18200
368	10622	18164
369	10648	18131
370	10672	18095
371	10697	18058
372	10722	18024
373	10746	17987
374	10769	17949
375	10798	17921
376	10827	17892
377	10851	17855
378	10876	17820
379	10901	17786
380	10927	17753
381	10979	17763
382	11006	17730
383	11067	17754
384	11098	17729
385	11123	17694
386	11149	17660
387	11176	17629
388	11199	17591
389	11225	17558
390	11249	17522
391	11275	17488
392	11305	17461
393	11334	17432
394	11359	17398
395	11388	17370
396	11418	17342
397	11446	17313
398	11473	17281
399	11505	17257
400	11532	17227
401	11556	17191
402	11581	17156
403	11605	17121
404	11630	17086
405	11655	17052
406	11682	17020
407	11706	16985
408	11736	16959
409	11760	16923
410	11787	16892
411	11810	16856
412	11837	16825
413	11861	16789
414	11889	16759
415	11913	16724
416	11937	16689
417	11981	16682
418	12013	16658
419	12037	16623
420	12065	16593
421	12091	16561
422	12117	16529
423	12146	16500
424	12173	16469
425	12197	16434
426	12220	16399
427	12244	16363
428	12268	16328
429	12291	16293
430	12316	16259
431	12341	16227
432	12370	16198
433	12396	16166
434	12426	16140
435	12451	16107
436	12475	16072
437	12499	16038
438	12523	16004
439	12547	15969
440	12570	15934
441	12599	15905
442	12624	15872
443	12648	15839
444	12672	15805
445	12697	15771
446	12721	15737
447	12744	15703
448	12768	15669
449	12792	15634
450	12820	15605
451	12847	15576
452	12872	15543
