iter	Passed	Remaining
0	28	1417
1	48	1162
2	85	1333
3	155	1785
4	225	2030
5	307	2252
6	382	2351
7	453	2380
8	525	2394
9	596	2385
10	680	2413
11	762	2414
12	840	2391
13	915	2353
14	993	2318
15	1077	2288
16	1150	2232
17	1221	2171
18	1295	2114
19	1368	2053
20	1452	2006
21	1529	1946
22	1601	1879
23	1678	1818
24	1752	1752
25	1828	1687
26	1903	1621
27	1980	1556
28	2059	1491
29	2135	1423
30	2211	1355
31	2291	1288
32	2365	1218
33	2435	1146
34	2506	1074
35	2585	1005
36	2656	933
37	2735	863
38	2810	792
39	2882	720
40	2961	650
41	3042	579
42	3122	508
43	3192	435
44	3266	362
45	3344	290
46	3419	218
47	3491	145
48	3565	72
49	3653	0
