iter	Passed	Remaining
0	107	5259
1	191	4605
2	278	4358
3	361	4153
4	443	3987
5	522	3831
6	600	3687
7	678	3559
8	755	3442
9	834	3339
10	916	3248
11	993	3144
12	1076	3063
13	1156	2973
14	1233	2877
15	1315	2794
16	1392	2703
17	1469	2612
18	1549	2528
19	1631	2446
20	1715	2368
21	1798	2289
22	1878	2205
23	1956	2120
24	2038	2038
25	2126	1962
26	2211	1883
27	2294	1802
28	2373	1718
29	2454	1636
30	2544	1559
31	2626	1477
32	2709	1395
33	2794	1314
34	2876	1232
35	2962	1152
36	3075	1080
37	3156	996
38	3241	914
39	3324	831
40	3411	748
41	3496	665
42	3581	583
43	3663	499
44	3749	416
45	3838	333
46	3916	249
47	3995	166
48	4075	83
49	4165	0
