iter	Passed	Remaining
0	197	19515
1	345	16922
2	489	15818
3	634	15234
4	783	14884
5	955	14968
6	1099	14606
7	1240	14271
8	1390	14055
9	1534	13813
10	1687	13651
11	1829	13414
12	1974	13215
13	2120	13027
14	2266	12841
15	2411	12658
16	2549	12448
17	2688	12249
18	2834	12083
19	2974	11897
20	3121	11741
21	3259	11556
22	3399	11380
23	3537	11202
24	3677	11031
25	3821	10875
26	3960	10707
27	4102	10550
28	4240	10382
29	4380	10222
30	4523	10068
31	4665	9913
32	4809	9764
33	4952	9613
34	5096	9465
35	5241	9317
36	5381	9163
37	5518	9003
38	5654	8843
39	5791	8686
40	5937	8544
41	6073	8387
42	6210	8232
43	6350	8082
44	6487	7928
45	6628	7780
46	6765	7629
47	6902	7478
48	7042	7330
49	7182	7182
50	7331	7043
51	7468	6893
52	7605	6744
53	7745	6597
54	7885	6451
55	8029	6308
56	8167	6161
57	8305	6014
58	8445	5868
59	8587	5724
60	8739	5587
61	8876	5440
62	9014	5294
63	9150	5146
64	9289	5001
65	9433	4859
66	9579	4718
67	9726	4577
68	9865	4432
69	10001	4286
70	10147	4144
71	10283	3999
72	10450	3865
73	10588	3720
74	10726	3575
75	10865	3431
76	11004	3287
77	11138	3141
78	11273	2996
79	11410	2852
80	11556	2710
81	11694	2567
82	11837	2424
83	11974	2280
84	12115	2138
85	12265	1996
86	12406	1853
87	12544	1710
88	12682	1567
89	12822	1424
90	12964	1282
91	13107	1139
92	13247	997
93	13386	854
94	13527	711
95	13671	569
96	13809	427
97	13951	284
98	14089	142
99	14234	0
