iter	Logloss	Precision
0	0.4586861653	0.9857293662
5	0.08295513277	0.9873343497
10	0.0443193868	0.9876128326
15	0.03299145091	0.9886590278
20	0.0285914539	0.9889714509
25	0.02726611976	0.9894366197
30	0.02591347129	0.9903654095
35	0.0249494347	0.9908314395
40	0.02428331595	0.9910255908
45	0.02362072366	0.9909867544
50	0.02326659963	0.9911032726
55	0.02248308276	0.9916085013
60	0.02228272372	0.9916473864
65	0.02208387222	0.9918029572
70	0.02192755044	0.9919196674
75	0.02147080225	0.9919585769
80	0.02114737188	0.9923478397
85	0.02085089405	0.9924254317
90	0.02024460442	0.9924646782
95	0.02003189434	0.9925818353
99	0.01995165062	0.9926207952
