iter	Passed	Remaining
0	291	28827
1	475	23304
2	666	21553
3	844	20260
4	1058	20116
5	1237	19389
6	1409	18727
7	1577	18141
8	1755	17746
9	1930	17377
10	2104	17030
11	2280	16726
12	2456	16440
13	2624	16122
14	2790	15813
15	2958	15533
16	3127	15268
17	3287	14977
18	3458	14743
19	3622	14491
20	3791	14264
21	3952	14013
22	4116	13782
23	4274	13534
24	4432	13297
25	4606	13111
26	4779	12921
27	4938	12698
28	5102	12492
29	5267	12291
30	5436	12101
31	5599	11899
32	5758	11691
33	5918	11488
34	6088	11308
35	6259	11127
36	6424	10939
37	6583	10740
38	6747	10553
39	6911	10367
40	7083	10193
41	7246	10006
42	7409	9822
43	7568	9632
44	7733	9451
45	7904	9278
46	8066	9096
47	8224	8909
48	8387	8729
49	8553	8553
50	8719	8377
51	8888	8205
52	9078	8051
53	9246	7876
54	9404	7694
55	9579	7526
56	9762	7364
57	9919	7183
58	10082	7006
59	10238	6825
60	10401	6650
61	10558	6471
62	10718	6295
63	10877	6118
64	11040	5944
65	11207	5773
66	11364	5597
67	11522	5422
68	11683	5249
69	11841	5074
70	12007	4904
71	12175	4734
72	12338	4563
73	12501	4392
74	12662	4220
75	12826	4050
76	12990	3880
77	13157	3711
78	13316	3539
79	13474	3368
80	13644	3200
81	13803	3030
82	13965	2860
83	14125	2690
84	14295	2522
85	14459	2353
86	14620	2184
87	14780	2015
88	14944	1847
89	15107	1678
90	15280	1511
91	15437	1342
92	15600	1174
93	15763	1006
94	15924	838
95	16095	670
96	16258	502
97	16417	335
98	16578	167
99	16745	0
