iter	Passed	Remaining
0	99	24857
1	184	22844
2	259	21348
3	336	20680
4	412	20211
5	489	19895
6	561	19500
7	630	19071
8	702	18814
9	774	18579
10	850	18472
11	915	18156
12	981	17893
13	1051	17718
14	1118	17521
15	1189	17389
16	1254	17189
17	1325	17082
18	1394	16956
19	1459	16788
20	1538	16772
21	1606	16652
22	1679	16571
23	1743	16419
24	1813	16317
25	1887	16263
26	1952	16126
27	2019	16012
28	2088	15913
29	2155	15804
30	2224	15712
31	2295	15635
32	2360	15519
33	2425	15407
34	2489	15293
35	2563	15236
36	2626	15122
37	2690	15010
38	2754	14903
39	2821	14812
40	2892	14745
41	2955	14637
42	3023	14554
43	3091	14475
44	3161	14401
45	3240	14372
46	3308	14290
47	3377	14212
48	3441	14118
49	3508	14033
50	3579	13965
51	3646	13884
52	3709	13789
53	3774	13700
54	3845	13635
55	3918	13575
56	3981	13481
57	4045	13392
58	4119	13334
59	4195	13285
60	4264	13213
61	4332	13137
62	4401	13065
63	4470	12993
64	4535	12907
65	4606	12841
66	4674	12768
67	4739	12684
68	4808	12613
69	4880	12550
70	4955	12492
71	5017	12405
72	5081	12321
73	5150	12249
74	5216	12172
75	5286	12102
76	5350	12020
77	5444	12006
78	5512	11932
79	5575	11848
80	5649	11787
81	5717	11713
82	5784	11639
83	5847	11555
84	5914	11481
85	5988	11420
86	6053	11341
87	6127	11279
88	6192	11201
89	6258	11126
90	6333	11066
91	6399	10991
92	6463	10911
93	6535	10846
94	6601	10770
95	6673	10705
96	6736	10625
97	6805	10555
98	6870	10478
99	6940	10411
100	7021	10358
101	7088	10285
102	7151	10206
103	7215	10129
104	7283	10058
105	7358	9996
106	7421	9918
107	7484	9840
108	7551	9767
109	7616	9693
110	7684	9623
111	7747	9546
112	7814	9474
113	7878	9398
114	7941	9322
115	8010	9253
116	8078	9182
117	8141	9107
118	8204	9032
119	8270	8959
120	8349	8901
121	8417	8831
122	8488	8765
123	8554	8692
124	8619	8619
125	8695	8557
126	8758	8483
127	8821	8408
128	8891	8340
129	8955	8266
130	9025	8198
131	9093	8128
132	9157	8055
133	9225	7986
134	9297	7920
135	9373	7857
136	9441	7787
137	9504	7713
138	9566	7639
139	9631	7567
140	9700	7499
141	9763	7425
142	9825	7352
143	9895	7283
144	9960	7212
145	10028	7143
146	10091	7071
147	10157	7000
148	10221	6928
149	10287	6858
150	10361	6793
151	10434	6727
152	10499	6656
153	10562	6584
154	10624	6511
155	10697	6446
156	10761	6374
157	10828	6305
158	10892	6234
159	10987	6180
160	11056	6111
161	11120	6040
162	11187	5971
163	11254	5901
164	11318	5830
165	11392	5765
166	11460	5695
167	11529	5627
168	11593	5556
169	11661	5487
170	11739	5423
171	11804	5353
172	11867	5282
173	11932	5211
174	11998	5142
175	12068	5074
176	12130	5003
177	12194	4932
178	12260	4863
179	12324	4792
180	12395	4725
181	12461	4655
182	12527	4586
183	12590	4516
184	12653	4445
185	12720	4377
186	12785	4307
187	12852	4238
188	12916	4168
189	12979	4098
190	13053	4032
191	13117	3962
192	13180	3892
193	13243	3822
194	13309	3754
195	13385	3687
196	13450	3618
197	13513	3549
198	13583	3481
199	13654	3413
200	13727	3346
201	13791	3277
202	13861	3209
203	13930	3141
204	13995	3072
205	14065	3004
206	14131	2935
207	14196	2866
208	14259	2797
209	14322	2728
210	14399	2661
211	14470	2593
212	14538	2525
213	14602	2456
214	14670	2388
215	14742	2320
216	14805	2251
217	14869	2182
218	14935	2114
219	15001	2045
220	15070	1977
221	15134	1908
222	15204	1840
223	15280	1773
224	15350	1705
225	15427	1638
226	15493	1569
227	15556	1501
228	15619	1432
229	15686	1364
230	15760	1296
231	15829	1228
232	15902	1160
233	15976	1092
234	16049	1024
235	16119	956
236	16214	889
237	16277	820
238	16344	752
239	16421	684
240	16496	616
241	16566	547
242	16638	479
243	16704	410
244	16767	342
245	16840	273
246	16914	205
247	16984	136
248	17051	68
249	17124	0
