iter	Passed	Remaining
0	120	29977
1	214	26608
2	309	25473
3	407	25064
4	499	24476
5	590	23999
6	677	23532
7	759	22962
8	838	22453
9	924	22191
10	1005	21851
11	1082	21464
12	1159	21130
13	1237	20865
14	1314	20596
15	1395	20414
16	1469	20137
17	1543	19891
18	1624	19745
19	1701	19569
20	1778	19395
21	1849	19170
22	1930	19049
23	2003	18870
24	2080	18726
25	2164	18647
26	2243	18529
27	2322	18417
28	2395	18258
29	2472	18128
30	2553	18037
31	2623	17874
32	2700	17757
33	2772	17612
34	2848	17497
35	2931	17425
36	3005	17302
37	3075	17158
38	3144	17012
39	3214	16874
40	3300	16826
41	3374	16713
42	3450	16611
43	3522	16493
44	3598	16392
45	3683	16337
46	3755	16219
47	3827	16106
48	3897	15987
49	3973	15893
50	4054	15821
51	4130	15728
52	4207	15639
53	4280	15534
54	4353	15436
55	4436	15369
56	4511	15276
57	4588	15190
58	4661	15089
59	4733	14990
60	4809	14902
61	4882	14805
62	4985	14799
63	5059	14704
64	5131	14605
65	5213	14533
66	5282	14427
67	5363	14355
68	5434	14254
69	5505	14157
70	5587	14087
71	5663	14002
72	5738	13913
73	5815	13831
74	5892	13749
75	5972	13674
76	6047	13588
77	6120	13496
78	6189	13396
79	6259	13301
80	6344	13237
81	6419	13151
82	6495	13068
83	6568	12979
84	6639	12888
85	6717	12809
86	6792	12726
87	6863	12635
88	6939	12553
89	7017	12475
90	7091	12391
91	7162	12300
92	7235	12214
93	7305	12123
94	7375	12034
95	7456	11961
96	7527	11873
97	7598	11786
98	7671	11700
99	7747	11621
100	7829	11550
101	7904	11469
102	7985	11397
103	8064	11321
104	8136	11236
105	8212	11157
106	8290	11079
107	8363	10996
108	8435	10911
109	8507	10828
110	8588	10754
111	8661	10672
112	8734	10589
113	8807	10507
114	8877	10421
115	8954	10344
116	9028	10262
117	9106	10186
118	9175	10101
119	9248	10019
120	9323	9940
121	9401	9863
122	9475	9783
123	9549	9703
124	9622	9622
125	9700	9546
126	9769	9461
127	9840	9378
128	9911	9297
129	9986	9218
130	10066	9144
131	10142	9067
132	10215	8986
133	10290	8907
134	10399	8858
135	10485	8789
136	10560	8710
137	10633	8630
138	10707	8550
139	10778	8469
140	10859	8395
141	10931	8314
142	11000	8231
143	11075	8152
144	11147	8072
145	11228	7998
146	11299	7917
147	11374	7839
148	11450	7761
149	11526	7684
150	11601	7606
151	11672	7525
152	11744	7445
153	11814	7364
154	11885	7284
155	11966	7210
156	12038	7131
157	12112	7053
158	12182	6972
159	12256	6894
160	12340	6821
161	12420	6747
162	12502	6673
163	12571	6592
164	12641	6512
165	12721	6437
166	12795	6359
167	12867	6280
168	12941	6202
169	13010	6122
170	13087	6046
171	13163	5969
172	13236	5891
173	13311	5814
174	13385	5736
175	13458	5658
176	13529	5579
177	13601	5501
178	13671	5422
179	13742	5344
180	13824	5270
181	13894	5191
182	13964	5112
183	14040	5036
184	14111	4958
185	14196	4884
186	14267	4806
187	14337	4728
188	14408	4650
189	14479	4572
190	14553	4495
191	14622	4417
192	14697	4340
193	14769	4263
194	14841	4186
195	14926	4112
196	14998	4035
197	15070	3957
198	15171	3888
199	15247	3811
200	15327	3736
201	15397	3658
202	15466	3580
203	15536	3503
204	15612	3427
205	15685	3350
206	15758	3273
207	15830	3196
208	15899	3119
209	15970	3041
210	16048	2966
211	16120	2889
212	16194	2813
213	16266	2736
214	16336	2659
215	16420	2584
216	16491	2507
217	16559	2430
218	16627	2353
219	16703	2277
220	16778	2201
221	16850	2125
222	16922	2048
223	16999	1973
224	17068	1896
225	17144	1820
226	17223	1745
227	17292	1668
228	17365	1592
229	17441	1516
230	17524	1441
231	17593	1365
232	17669	1289
233	17740	1213
234	17812	1136
235	17893	1061
236	17963	985
237	18033	909
238	18104	833
239	18182	757
240	18268	682
241	18343	606
242	18414	530
243	18486	454
244	18567	378
245	18651	303
246	18723	227
247	18802	151
248	18875	75
249	18950	0
