iter	Passed	Remaining
0	473	46880
1	909	44561
2	1342	43395
3	1773	42558
4	2200	41809
5	2634	41277
6	3063	40703
7	3489	40129
8	3924	39684
9	4351	39165
10	4790	38759
11	5233	38381
12	5681	38025
13	6110	37537
14	6546	37095
15	6976	36624
16	7409	36176
17	7843	35733
18	8273	35271
19	8703	34812
20	9137	34375
21	9566	33916
22	9988	33441
23	10415	32982
24	10838	32516
25	11271	32079
26	11698	31628
27	12127	31185
28	12556	30740
29	12978	30283
30	13407	29843
31	13831	29391
32	14257	28946
33	14685	28506
34	15109	28059
35	15539	27626
36	15962	27179
37	16388	26739
38	16812	26296
39	17236	25855
40	17664	25419
41	18090	24981
42	18513	24541
43	18943	24109
44	19366	23670
45	19801	23245
46	20228	22810
47	20656	22377
48	21080	21940
49	21511	21511
50	21965	21104
51	22387	20665
52	22810	20227
53	23234	19792
54	23659	19358
55	24088	18926
56	24513	18492
57	24936	18057
58	25359	17622
59	25787	17191
60	26217	16761
61	26640	16327
62	27068	15897
63	27499	15468
64	27924	15036
65	28356	14608
66	28782	14176
67	29214	13747
68	29640	13316
69	30065	12885
70	30493	12455
71	30917	12023
72	31344	11593
73	31770	11162
74	32194	10731
75	32623	10302
76	33050	9872
77	33472	9440
78	33898	9011
79	34321	8580
80	34749	8151
81	35174	7721
82	35610	7293
83	36049	6866
84	36477	6437
85	36904	6007
86	37328	5577
87	37754	5148
88	38180	4718
89	38605	4289
90	39033	3860
91	39462	3431
92	39889	3002
93	40313	2573
94	40737	2144
95	41177	1715
96	41600	1286
97	42022	857
98	42445	428
99	42905	0
