iter	Passed	Remaining
0	625	311966
1	1159	288815
2	1694	280700
3	2228	276392
4	2760	273295
5	3296	271426
6	3831	269881
7	4355	267892
8	4870	265709
9	5392	264231
10	5919	263131
11	6439	261865
12	6961	260776
13	7487	259918
14	8006	258882
15	8527	257965
16	9045	257002
17	9570	256271
18	10084	255289
19	10623	254960
20	11143	254185
21	11657	253278
22	12170	252400
23	12690	251697
24	13200	250811
25	13716	250067
26	14225	249203
27	14740	248484
28	15252	247715
29	15759	246906
30	16277	246269
31	16788	245535
32	17306	244910
33	17817	244198
34	18321	243416
35	18837	242800
36	19346	242096
37	19859	241450
38	20369	240777
39	20878	240104
40	21391	239485
41	21911	238935
42	22417	238253
43	22927	237608
44	23443	237043
45	23967	236543
46	24480	235951
47	24996	235388
48	25509	234793
49	26021	234196
50	26536	233626
51	27043	232988
52	27551	232364
53	28064	231789
54	28577	231215
55	29094	230679
56	29601	230064
57	30117	229514
58	30647	229079
59	31155	228474
60	31672	227939
61	32183	227363
62	32691	226764
63	33197	226160
64	33704	225562
65	34222	225038
66	34731	224458
67	35239	223876
68	35760	223375
69	36271	222808
70	36783	222255
71	37295	221701
72	37808	221153
73	38328	220647
74	38840	220094
75	39352	219543
76	39866	219006
77	40375	218441
78	40885	217881
79	41406	217382
80	41924	216869
81	42434	216310
82	42945	215764
83	43458	215224
84	43965	214655
85	44477	214112
86	44985	213552
87	45507	213058
88	46019	212516
89	46528	211961
90	47039	211418
91	47544	210850
92	48052	210295
93	48564	209758
94	49074	209211
95	49591	208696
96	50099	208146
97	50607	207592
98	51116	207045
99	51628	206514
100	52144	205997
101	52656	205465
102	53165	204919
103	53673	204373
104	54182	203828
105	54703	203330
106	55208	202774
107	55718	202237
108	56237	201733
109	56749	201204
110	57261	200674
111	57770	200132
112	58282	199604
113	58805	199115
114	59321	198598
115	59841	198095
116	60351	197562
117	60860	197021
118	61366	196477
119	61874	195934
120	62391	195423
121	62902	194893
122	63410	194355
123	63922	193828
124	64427	193282
125	64940	192758
126	65446	192216
127	65953	191677
128	66463	191146
129	66970	190609
130	67487	190097
131	68005	189592
132	68522	189080
133	69036	188563
134	69576	188114
135	70105	187634
136	70613	187099
137	71125	186574
138	71632	186038
139	72140	185504
140	72654	184984
141	73168	184467
142	73678	183938
143	74184	183399
144	74697	182880
145	75211	182362
146	75720	181831
147	76225	181292
148	76738	180774
149	77252	180255
150	77767	179740
151	78277	179214
152	78785	178682
153	79309	178188
154	79825	177676
155	80346	177175
156	80859	176654
157	81367	176124
158	81880	175604
159	82386	175071
160	82901	174556
161	83412	174033
162	83923	173510
163	84431	172981
164	84940	172454
165	85456	171942
166	85964	171414
167	86476	170893
168	86991	170379
169	87499	169851
170	88011	169331
171	88525	168816
172	89058	168336
173	89572	167820
174	90083	167298
175	90599	166785
176	91108	166260
177	91616	165733
178	92130	165217
179	92643	164699
180	93167	164200
181	93678	163679
182	94191	163161
183	94709	162653
184	95223	162137
185	95743	161631
186	96257	161115
187	96770	160597
188	97284	160081
189	97799	159567
190	98317	159058
191	98833	158545
192	99345	158026
193	99860	157512
194	100370	156989
195	100883	156472
196	101395	155953
197	101906	155433
198	102422	154921
199	102936	154405
200	103452	153891
201	103971	153383
202	104487	152870
203	104997	152349
204	105509	151830
205	106024	151316
206	106543	150808
207	107054	150288
208	107565	149767
209	108079	149252
