iter	Logloss	Precision
0	0.2649510335	0.9874147259
5	0.03594645911	0.9885851018
10	0.0283151385	0.9905263572
15	0.0242702469	0.9906887204
20	0.02298360356	0.9911170505
25	0.02172072447	0.9912349658
30	0.02105333584	0.9915077649
35	0.02020924835	0.9917030396
40	0.01943233486	0.9921321794
45	0.01783094324	0.9931072512
50	0.01767913868	0.9933036594
55	0.01759366872	0.9933041869
60	0.01714500177	0.9934609627
65	0.0169703327	0.9934609627
70	0.01672364849	0.9936958235
75	0.01631043854	0.9937741351
80	0.01595037249	0.993852459
85	0.01571513863	0.9941266901
90	0.01497489786	0.9943618657
95	0.01444078989	0.9945969396
99	0.01421471244	0.9945969396
