iter	Passed	Remaining
0	768	383517
1	1308	325800
2	1840	304827
3	2379	295076
4	2909	288057
5	3437	283058
6	3955	278557
7	4481	275596
8	5005	273075
9	5519	270434
10	6035	268304
11	6551	266407
12	7071	264903
13	7595	263661
14	8107	262144
15	8631	261098
16	9143	259795
17	9653	258506
18	10168	257435
19	10683	256409
20	11196	255396
21	11706	254358
22	12212	253272
23	12717	252238
24	13225	251277
25	13735	250404
26	14244	249540
27	14758	248779
28	15272	248041
29	15788	247357
30	16440	248732
31	16954	247959
32	17468	247201
33	17984	246489
34	18494	245716
35	19006	244976
36	19527	244355
37	20046	243728
38	20558	243007
39	21065	242248
40	21580	241596
41	22086	240852
42	22598	240170
43	23105	239452
44	23612	238748
45	24132	238181
46	24644	237535
47	25153	236863
48	25668	236254
49	26180	235622
50	26699	235060
51	27213	234456
52	27726	233846
53	28236	233209
54	28745	232579
55	29257	231969
56	29771	231384
57	30290	230835
58	30803	230245
59	31311	229620
60	31828	229060
61	32339	228463
62	32848	227854
63	33360	227267
64	33869	226664
65	34385	226108
66	34893	225507
67	35406	224936
68	35913	224326
69	36420	223725
70	36934	223168
71	37442	222572
72	37949	221978
73	38461	221410
74	38970	220834
75	39492	220324
76	40007	219783
77	40520	219225
78	41029	218649
79	41538	218075
80	42049	217516
81	42557	216937
82	43071	216392
83	43589	215872
84	44099	215307
85	44616	214782
86	45256	214840
87	45764	214262
88	46278	213713
89	46787	213144
90	47306	212618
91	47819	212071
92	48333	211523
93	48839	210944
94	49348	210379
95	49871	209875
96	50391	209359
97	50904	208814
98	51413	208250
99	51921	207686
100	52434	207142
101	52946	206593
102	53453	206031
103	53971	205507
104	54479	204948
105	54992	204407
106	55499	203842
107	56006	203283
108	56513	202721
109	57024	202176
110	57537	201640
111	58050	201103
112	58563	200567
113	59073	200021
114	59581	199470
115	60097	198944
116	60606	198396
117	61125	197879
118	61634	197333
119	62152	196817
120	62670	196297
121	63283	196075
122	63803	195560
123	64312	195011
124	64820	194462
125	65333	193927
126	65847	193395
127	66355	192845
128	66866	192307
129	67376	191764
130	67886	191222
131	68398	190687
132	68911	190153
133	69420	189611
134	69932	189076
135	70446	188549
136	70955	188005
137	71463	187461
138	71969	186913
139	72477	186370
140	72995	185854
141	73505	185317
142	74017	184783
143	74525	184244
144	75040	183718
145	75557	183200
146	76063	182656
147	76570	182114
148	77080	181579
149	77682	181260
150	78200	180740
151	78717	180222
152	79228	179688
153	79734	179144
154	80244	178608
155	80759	178084
156	81274	177561
157	81780	177019
158	82290	176484
159	82799	175949
160	83310	175418
161	83825	174895
162	84340	174372
163	84850	173840
164	85365	173318
165	85881	172797
166	86392	172268
167	86902	171735
168	87411	171203
169	87923	170674
170	88439	170155
171	88950	169627
172	89460	169095
173	89971	168567
174	90481	168037
175	90999	167521
176	91513	166998
177	92116	166637
178	92629	166111
179	93138	165580
180	93656	165063
181	94168	164536
182	94679	164006
183	95191	163481
184	95706	162960
185	96226	162446
186	96735	161914
187	97249	161393
188	97760	160865
189	98270	160336
190	98788	159819
191	99302	159297
192	99820	158782
193	100332	158256
194	100844	157731
195	101362	157215
196	101875	156691
197	102388	156168
198	102900	155642
199	103410	155115
200	103925	154595
201	104442	154078
202	104951	153550
203	105462	153024
204	106104	152686
205	106618	152164
206	107126	151633
207	107634	151102
208	108147	150577
209	108663	150058
210	109184	149546
211	109696	149021
212	110208	148496
213	110717	147968
214	111232	147447
215	111749	146929
216	112273	146420
217	112791	145904
218	113307	145384
219	113816	144857
220	114331	144337
221	114843	143812
222	115359	143293
223	115872	142771
224	116384	142247
225	116900	141728
226	117413	141207
227	117928	140686
228	118440	140162
229	118951	139638
230	119470	139123
231	119984	138602
232	120496	138079
233	121140	137706
234	121648	137178
235	122164	136658
236	122672	136130
237	123187	135610
238	123700	135087
239	124216	134567
240	124733	134049
241	125244	133525
242	125755	133000
243	126264	132474
244	126776	131950
245	127293	131433
246	127806	130910
247	128319	130389
248	128837	129872
249	129347	129347
250	129867	128833
251	130379	128309
252	130894	127789
253	131404	127265
254	131911	126738
255	132427	126220
256	132941	125699
257	133455	125179
258	133964	124654
259	134477	124133
260	134990	123612
261	135505	123092
262	136019	122572
263	136648	122155
264	137162	121634
265	137680	121117
266	138192	120594
267	138705	120073
268	139217	119551
269	139727	119026
270	140246	118511
271	140756	117987
272	141270	117467
273	141785	116947
274	142297	116424
275	142813	115906
276	143328	115387
277	143845	114869
278	144354	114345
279	144866	113823
280	145386	113308
281	145894	112783
282	146405	112261
283	146926	111746
284	147438	111225
285	147955	110708
286	148474	110191
287	148988	109671
288	149509	109157
289	150019	108634
290	150532	108114
291	151044	107593
292	151638	107129
293	152151	106609
294	152665	106089
295	153185	105573
296	153694	105050
297	154206	104529
298	154717	104007
299	155227	103484
300	155742	102965
301	156250	102442
302	156766	101923
303	157279	101404
304	157787	100880
305	158305	100363
306	158817	99842
307	159326	99320
308	159835	98797
309	160347	98277
310	160863	97759
311	161383	97243
312	161900	96726
313	162410	96204
314	162937	95693
315	163460	95179
316	163972	94659
317	164490	94142
318	165010	93626
319	165523	93106
320	166040	92589
321	166556	92071
322	167076	91555
323	167688	91090
324	168197	90567
325	168710	90048
326	169222	89527
327	169734	89007
328	170248	88487
329	170760	87967
330	171278	87450
331	171791	86930
332	172303	86410
333	172818	85891
334	173332	85372
335	173848	84854
336	174356	84332
337	174874	83815
338	175388	83296
339	175898	82775
340	176415	82258
341	176926	81738
342	177436	81217
343	177947	80697
344	178457	80176
345	178970	79657
346	179480	79137
347	179990	78616
348	180506	78098
349	181014	77577
350	181529	77059
351	182041	76540
352	182550	76019
353	183066	75502
354	183689	75028
355	184203	74509
356	184714	73989
357	185230	73471
358	185739	72950
359	186252	72431
360	186775	71916
361	187283	71395
362	187794	70875
363	188306	70356
364	188816	69836
365	189333	69318
366	189843	68798
367	190354	68279
368	190865	67760
369	191375	67239
370	191893	66723
371	192405	66203
372	192918	65685
373	193429	65166
374	193947	64649
375	194466	64132
376	194983	63615
377	195493	63095
378	196015	62580
379	196532	62062
380	197052	61546
381	197564	61027
382	198200	60546
383	198715	60028
384	199227	59509
385	199748	58993
386	200262	58474
387	200776	57956
388	201286	57436
389	201799	56917
390	202317	56400
391	202832	55882
392	203344	55363
393	203858	54845
394	204366	54325
395	204881	53807
396	205391	53287
397	205907	52770
398	206417	52251
399	206943	51735
400	207464	51219
401	207984	50702
402	208497	50184
403	209008	49665
404	209521	49146
405	210040	48630
406	210553	48111
407	211064	47593
408	211578	47075
409	212090	46556
410	212613	46040
411	213127	45522
412	213636	45003
413	214145	44484
414	214656	43965
415	215179	43449
416	215802	42953
417	216311	42434
418	216822	41915
419	217332	41396
420	217846	40878
421	218355	40359
422	218867	39841
423	219384	39323
424	219895	38805
425	220419	38288
426	220936	37771
427	221445	37252
428	221956	36734
429	222465	36215
430	222981	35697
431	223492	35179
432	224001	34660
433	224517	34143
434	225029	33625
435	225547	33107
436	226058	32589
437	226570	32071
438	227082	31553
439	227591	31035
440	228110	30518
441	228623	30000
442	229134	29482
443	229642	28963
444	230154	28446
445	230679	27929
446	231190	27411
447	231829	26908
448	232338	26390
449	232848	25872
450	233365	25354
451	233899	24838
452	234412	24320
453	234922	23802
454	235437	23285
455	235967	22768
456	236488	22251
457	237010	21734
458	237527	21217
459	238039	20699
460	238552	20181
461	239062	19663
462	239582	19145
463	240098	18628
464	240612	18110
465	241129	17593
466	241640	17075
467	242152	16557
468	242667	16039
469	243179	15522
470	243698	15004
471	244208	14486
472	244717	13969
473	245229	13451
474	245736	12933
475	246253	12416
476	246763	11898
477	247389	11386
478	247904	10868
479	248414	10350
480	248930	9832
481	249440	9315
482	249954	8797
483	250466	8279
484	250976	7762
485	251490	7244
486	252000	6726
487	252517	6209
488	253029	5691
489	253542	5174
490	254059	4656
491	254577	4139
492	255090	3621
493	255602	3104
494	256116	2587
495	256633	2069
496	257148	1552
497	257659	1034
498	258170	517
499	258684	0
