iter	Passed	Remaining
0	124	124817
1	239	119451
2	353	117421
3	463	115394
4	567	112893
5	684	113388
6	789	112024
7	897	111279
8	1010	111303
9	1126	111475
10	1242	111720
11	1350	111211
12	1467	111446
13	1572	110773
14	1677	110164
15	1797	110552
16	1906	110230
17	2020	110204
18	2128	109898
19	2246	110092
20	2368	110403
21	2473	109970
22	2584	109774
23	2694	109559
24	2804	109385
25	2919	109371
26	3030	109211
27	3149	109334
28	3259	109139
29	3371	109000
30	3491	109124
31	3603	109014
32	3715	108862
33	3830	108843
34	3947	108838
35	4071	109022
36	4185	108948
37	4302	108923
38	4414	108773
39	4537	108891
40	4657	108942
41	4766	108717
42	4871	108408
43	4989	108417
44	5099	108232
45	5219	108246
46	5331	108110
47	5449	108087
48	5551	107751
49	5658	107508
50	5836	108607
51	5943	108362
52	6057	108232
53	6171	108118
54	6290	108087
55	6402	107928
56	6507	107661
57	6613	107408
58	6728	107314
59	6839	107151
60	6957	107100
61	7071	106989
62	7177	106752
63	7285	106555
64	7383	106209
65	7507	106236
66	7624	106176
67	7733	105998
68	7840	105784
69	7947	105584
70	8062	105499
71	8180	105432
72	8289	105269
73	8390	104998
74	8505	104903
75	8621	104813
76	8728	104631
77	8835	104435
78	8948	104328
79	9055	104140
80	9168	104022
81	9285	103948
82	9400	103861
83	9505	103658
84	9624	103603
85	9736	103474
86	9846	103335
87	9950	103121
88	10060	102979
89	10161	102741
90	10276	102649
91	10387	102515
92	10496	102369
93	10610	102265
94	10726	102185
95	10844	102119
96	10949	101929
97	11067	101864
98	11178	101735
99	11301	101710
100	11412	101582
101	11514	101375
102	11624	101235
103	11727	101038
104	11836	100891
105	11945	100747
106	12065	100698
107	12174	100550
108	12289	100457
109	12396	100298
110	12506	100161
111	12612	100000
112	12719	99844
113	12831	99729
114	12946	99628
115	13062	99544
116	13168	99382
117	13280	99264
118	13395	99168
119	13499	98993
120	13610	98874
121	13722	98754
122	13823	98564
123	13932	98427
124	14046	98322
125	14151	98161
126	14273	98115
127	14381	97972
128	14488	97822
129	14599	97704
130	14719	97641
131	14821	97463
132	14932	97341
133	15042	97217
134	15146	97050
135	15256	96923
136	15377	96866
137	15478	96681
138	15586	96549
139	15691	96391
140	15808	96310
141	15918	96184
142	16024	96036
143	16133	95902
144	16250	95819
145	16366	95731
146	16469	95568
147	16581	95454
148	16681	95276
149	16789	95138
150	16898	95012
151	17078	95281
152	17189	95158
153	17298	95029
154	17401	94864
155	17511	94744
156	17624	94634
157	17733	94501
158	17840	94361
159	17950	94237
160	18058	94105
161	18170	93993
162	18283	93884
163	18396	93775
164	18500	93624
165	18620	93550
166	18725	93402
167	18836	93284
168	18946	93160
169	19053	93028
170	19172	92946
171	19285	92838
172	19389	92689
173	19494	92543
174	19595	92376
175	19706	92263
176	19811	92116
177	19914	91964
178	20024	91845
179	20136	91733
180	20256	91659
181	20361	91514
182	20469	91387
183	20581	91273
184	20697	91182
185	20820	91116
186	20931	91000
187	21039	90873
188	21148	90749
189	21257	90625
190	21375	90538
191	21487	90428
192	21601	90323
193	21715	90222
194	21819	90074
195	21932	89966
196	22033	89812
197	22139	89676
198	22254	89578
199	22374	89496
200	22484	89378
201	22596	89265
202	22699	89121
203	22811	89011
204	22929	88922
205	23050	88845
206	23158	88717
207	23274	88621
208	23386	88511
209	23494	88382
210	23616	88311
211	23727	88194
212	23838	88079
213	23948	87960
214	24056	87833
215	24163	87703
216	24278	87604
217	24384	87469
218	24492	87344
219	24598	87213
220	24714	87115
221	24824	86999
222	24937	86889
223	25051	86785
224	25155	86646
225	25279	86576
226	25385	86445
227	25496	86329
228	25602	86197
229	25714	86088
230	25831	85993
231	25938	85864
232	26043	85732
233	26148	85596
234	26252	85461
235	26367	85358
236	26469	85217
237	26575	85085
238	26682	84960
239	26793	84845
240	26910	84750
241	27015	84619
242	27119	84484
243	27228	84363
244	27332	84229
245	27437	84097
246	27547	83981
247	27649	83840
248	27751	83701
249	27864	83592
250	27972	83472
251	28085	83365
252	28200	83264
253	28317	83169
254	28428	83054
255	28547	82964
256	28651	82833
257	28752	82691
258	28860	82570
259	28969	82450
260	29084	82351
261	29192	82228
262	29301	82111
263	29407	81985
264	29514	81861
265	29647	81810
266	29751	81676
267	29859	81555
268	29966	81432
269	30073	81309
270	30257	81392
271	30392	81345
272	30497	81215
273	30609	81104
274	30716	80978
275	30829	80872
276	30933	80738
277	31045	80628
278	31148	80494
279	31252	80364
280	31373	80275
281	31483	80161
282	31592	80042
283	31702	79926
284	31807	79798
285	31917	79681
286	32021	79552
287	32134	79444
288	32237	79311
289	32345	79191
290	32461	79089
291	32565	78960
292	32674	78843
293	32780	78717
294	32883	78586
295	33002	78492
296	33117	78389
297	33223	78265
298	33333	78150
299	33440	78028
300	33550	77912
301	33661	77801
302	33771	77684
303	33880	77568
304	33985	77441
305	34096	77330
306	34204	77210
307	34318	77106
308	34430	76994
309	34538	76875
310	34656	76778
311	34770	76674
312	34875	76547
313	34986	76436
314	35093	76313
315	35205	76204
316	35323	76107
317	35434	75994
318	35539	75868
319	35647	75751
320	35765	75653
321	35875	75539
322	35980	75414
323	36082	75283
324	36193	75171
325	36312	75075
326	36427	74971
327	36534	74851
328	36639	74727
329	36745	74603
330	36861	74502
331	36966	74378
332	37075	74263
333	37181	74141
334	37292	74029
335	37412	73935
336	37522	73819
337	37629	73699
338	37738	73584
339	37844	73463
340	37960	73360
341	38070	73247
342	38183	73138
343	38290	73018
344	38401	72906
345	38516	72802
346	38621	72679
347	38724	72552
348	38831	72433
349	38936	72309
350	39046	72198
351	39150	72072
352	39256	71952
353	39373	71851
354	39484	71738
355	39596	71629
356	39701	71506
357	39816	71402
358	39926	71289
359	40033	71170
360	40153	71075
361	40317	71055
362	40434	70955
363	40543	70839
364	40651	70722
365	40763	70612
366	40870	70493
367	40978	70376
368	41088	70261
369	41197	70146
370	41306	70031
371	41422	69929
372	41523	69799
373	41627	69676
374	41728	69547
375	41839	69436
376	41951	69325
377	42063	69215
378	42171	69099
379	42280	68983
380	42422	68922
381	42569	68868
382	42696	68782
383	42808	68671
384	42928	68574
385	43048	68475
386	43157	68360
387	43268	68248
388	43373	68127
389	43484	68013
390	43611	67926
391	43724	67816
392	43827	67692
393	43936	67576
394	44050	67469
395	44169	67369
396	44275	67250
397	44388	67141
398	44499	67028
399	44602	66904
400	44718	66799
401	44822	66676
402	44931	66561
403	45036	66439
404	45151	66333
405	45264	66224
406	45380	66119
407	45488	66002
408	45600	65892
409	45704	65769
410	45818	65661
411	45924	65543
412	46039	65436
413	46146	65317
414	46252	65199
415	46371	65098
416	46474	64974
417	46586	64864
418	46700	64756
419	46808	64639
420	46920	64529
421	47034	64421
422	47138	64299
423	47244	64181
424	47349	64060
425	47473	63966
426	47584	63854
427	47696	63744
428	47810	63635
429	47918	63519
430	48031	63410
431	48132	63285
432	48234	63162
433	48343	63047
434	48454	62934
435	48573	62834
436	48686	62724
437	48800	62615
438	48908	62499
439	49022	62392
440	49137	62284
441	49245	62169
442	49361	62064
443	49473	61952
444	49578	61833
445	49698	61733
446	49800	61609
447	49912	61499
448	50026	61390
449	50129	61269
450	50252	61172
451	50365	61062
452	50479	60954
453	50587	60839
454	50772	60815
455	50883	60703
456	50993	60590
457	51098	60470
458	51202	60350
459	51308	60231
460	51423	60123
461	51529	60006
462	51645	59900
463	51756	59787
464	51875	59684
465	51987	59573
466	52094	59456
467	52206	59345
468	52313	59228
469	52435	59129
470	52552	59023
471	52658	58905
472	52758	58782
473	52868	58667
474	52976	58553
475	53100	58454
476	53208	58340
477	53319	58227
478	53433	58118
479	53554	58017
480	53676	57917
481	53795	57813
482	53909	57704
483	54028	57600
484	54138	57487
485	54253	57379
486	54364	57266
487	54482	57162
488	54583	57038
489	54692	56924
490	54801	56810
491	54900	56685
492	55000	56562
493	55109	56448
494	55216	56332
495	55333	56225
496	55441	56110
497	55545	55991
498	55652	55875
499	55762	55762
500	55874	55651
501	55980	55534
502	56090	55421
503	56204	55312
504	56312	55197
505	56431	55093
506	56544	54983
507	56658	54873
508	56766	54759
509	56873	54642
510	56991	54538
511	57108	54431
512	57218	54318
513	57331	54208
514	57445	54098
515	57551	53981
516	57670	53877
517	57775	53760
518	57875	53638
519	57984	53524
520	58110	53425
521	58215	53308
522	58322	53192
523	58435	53082
524	58539	52964
525	58651	52852
526	58760	52739
527	58868	52625
528	58982	52515
529	59085	52396
530	59202	52290
531	59310	52175
532	59428	52069
533	59532	51951
534	59637	51834
535	59754	51727
536	59863	51614
537	59967	51496
538	60074	51381
539	60185	51269
540	60307	51166
541	60434	51068
542	60549	50959
543	60662	50849
544	60767	50732
545	60883	50624
546	60990	50509
547	61102	50398
548	61276	50338
549	61386	50224
550	61501	50116
551	61608	50000
552	61717	49887
553	61831	49777
554	61931	49657
555	62043	49545
556	62148	49428
557	62250	49309
558	62358	49195
559	62471	49084
560	62587	48976
561	62696	48863
562	62804	48748
563	62917	48638
564	63022	48521
565	63142	48416
566	63250	48302
567	63359	48188
568	63478	48082
569	63587	47969
570	63705	47862
571	63815	47749
572	63930	47641
573	64043	47530
574	64146	47412
575	64261	47303
576	64367	47187
577	64476	47074
578	64584	46960
579	64686	46842
580	64803	46734
581	64908	46617
582	65013	46501
583	65125	46390
584	65240	46281
585	65354	46171
586	65469	46063
587	65575	45947
588	65685	45835
589	65803	45727
590	65917	45618
591	66030	45507
592	66139	45394
