iter	Passed	Remaining
0	301	301099
1	513	256396
2	718	238815
3	912	227192
4	1105	219953
5	1314	217837
6	1511	214414
7	1770	219496
8	1967	216688
9	2166	214510
10	2365	212708
11	2558	210614
12	2751	208909
13	2949	207739
14	3141	206276
15	3338	205342
16	3526	203891
17	3714	202644
18	3902	201499
19	4102	201016
20	4305	200718
21	4503	200202
22	4703	199804
23	4896	199143
24	5097	198815
25	5288	198102
26	5478	197420
27	5672	196925
28	5861	196246
29	6053	195735
30	6255	195548
31	6449	195103
32	6643	194663
33	6835	194213
34	7032	193909
35	7241	193899
36	7431	193412
37	7631	193195
38	7822	192751
39	8015	192368
40	8214	192137
41	8407	191782
42	8598	191355
43	8793	191060
44	8984	190680
45	9188	190562
46	9328	189143
47	9519	188807
48	9788	189983
49	10004	190085
50	10209	189971
51	10401	189630
52	10650	190306
53	10841	189926
54	11029	189507
55	11226	189251
56	11424	189002
57	11615	188654
58	11811	188390
59	12001	188026
60	12203	187855
61	12398	187581
62	12597	187368
63	12793	187098
64	12986	186806
65	13190	186666
66	13387	186431
67	13582	186159
68	13778	185910
69	13966	185550
70	14167	185374
71	14357	185054
72	14547	184727
73	14734	184386
74	14930	184140
75	15124	183887
76	15327	183731
77	15517	183430
78	15703	183071
79	15889	182733
80	16085	182501
81	16284	182306
82	16482	182097
83	16695	182065
84	16908	182010
85	17114	181889
86	17317	181734
87	17871	185209
88	18138	185668
89	18422	186274
90	18650	186296
91	18918	186719
92	19117	186442
93	19348	186488
94	19550	186240
95	19760	186079
96	19957	185792
97	20171	185661
98	20374	185430
99	20587	185291
100	20792	185072
101	21007	184944
102	21216	184765
103	21423	184575
104	21624	184325
105	21833	184146
106	22029	183855
107	22244	183720
108	22448	183497
109	22648	183246
110	22853	183030
111	23053	182781
112	23253	182531
113	23463	182355
114	23653	182032
115	23861	181842
116	24055	181544
117	24264	181365
118	24461	181094
119	24664	180870
120	24869	180663
121	25072	180441
122	25289	180312
123	25489	180070
124	25687	179813
125	25890	179591
126	26094	179371
127	26297	179148
128	26507	178979
129	26707	178732
130	26920	178579
131	27121	178344
132	27336	178197
133	27585	178279
134	27788	178052
135	27990	177822
136	28190	177578
137	28395	177369
138	28591	177105
139	28796	176893
140	29006	176711
141	29205	176467
142	29419	176314
143	29621	176082
144	29824	175863
145	30024	175623
146	30230	175420
147	30425	175149
148	30634	174964
149	30829	174700
150	31036	174505
151	31231	174239
152	31429	173989
153	31624	173727
154	31817	173456
155	32018	173228
156	32216	172981
157	32495	173172
158	32693	172927
159	32889	172670
160	33089	172436
161	33291	172209
162	33479	171914
163	33681	171692
164	33881	171461
165	34086	171255
166	34293	171057
167	34494	170827
168	34698	170618
169	34904	170416
170	35113	170230
171	35314	170000
172	35511	169755
173	35712	169531
174	35915	169314
175	36118	169099
176	36326	168909
177	36529	168693
178	36741	168517
179	36933	168251
180	37129	168004
181	37328	167775
182	37542	167608
183	37737	167357
184	37950	167185
185	38149	166954
186	38353	166744
187	38549	166501
188	38750	166277
189	39003	166276
190	39216	166104
191	39444	165993
192	39651	165798
193	39902	165779
194	40113	165595
195	40332	165447
196	40532	165215
197	40730	164980
198	40919	164707
199	41119	164478
200	41323	164266
201	41528	164056
202	41727	163825
203	41932	163618
204	42131	163386
205	42342	163204
206	42541	162974
207	42742	162749
208	42934	162494
209	43134	162269
210	43336	162051
211	43540	161839
212	43737	161603
213	43935	161369
214	44135	161147
215	44351	160979
216	44546	160736
217	44754	160542
218	44964	160352
219	45166	160136
220	45377	159952
221	45575	159717
222	45853	159767
223	46048	159525
224	46254	159322
225	46458	159109
226	46661	158895
227	46855	158652
228	47058	158438
229	47243	158164
230	47451	157966
231	47644	157718
232	47842	157490
233	48034	157240
234	48234	157017
235	48445	156832
236	48646	156611
237	48845	156387
238	49055	156197
239	49258	155984
240	49471	155804
241	49668	155574
242	49868	155353
243	50061	155108
244	50269	154911
245	50476	154713
246	50679	154501
247	50879	154278
248	51084	154075
249	51280	153840
250	51493	153659
251	51688	153424
252	51893	153218
253	52087	152981
254	52287	152760
255	52491	152552
256	52697	152350
257	52895	152125
258	53093	151900
259	53286	151660
260	53500	151482
261	53695	151248
262	53897	151035
263	54087	150789
264	54284	150563
265	54485	150348
266	54732	150257
267	54927	150024
268	55122	149792
269	55317	149562
270	55530	149378
271	55720	149135
272	55920	148916
273	56116	148688
274	56323	148488
275	56525	148277
276	56723	148053
277	56915	147815
278	57113	147593
279	57305	147358
280	57517	147171
281	57716	146952
282	57916	146735
283	58111	146507
284	58310	146287
285	58514	146081
286	58715	145869
287	58911	145641
288	59111	145425
289	59309	145206
290	59509	144990
291	59701	144756
292	59894	144524
293	60091	144300
294	60294	144092
295	60509	143914
296	60709	143699
297	60975	143641
298	61166	143404
299	61379	143219
300	61580	143006
301	61786	142805
302	62000	142620
303	62193	142390
304	62397	142183
305	62611	142001
306	62826	141821
307	63024	141601
308	63221	141379
309	63424	141170
310	63637	140985
311	63841	140778
312	64035	140550
313	64226	140316
314	64426	140101
315	64621	139876
316	64818	139655
317	65016	139438
318	65222	139235
319	65421	139021
320	65691	138955
321	65879	138715
322	66074	138491
323	66269	138265
324	66475	138064
325	66676	137852
326	66887	137661
327	67082	137436
328	67285	137230
329	67492	137031
330	67709	136850
331	67907	136632
332	68103	136410
333	68302	136196
334	68505	135988
335	68705	135774
336	68898	135547
337	69100	135338
338	69304	135133
339	69512	134936
340	69731	134758
341	69932	134548
342	70127	134326
343	70328	134115
344	70529	133903
345	70740	133711
346	70941	133500
347	71142	133290
348	71337	133068
349	71558	132894
350	71758	132682
351	71962	132476
352	72158	132256
353	72356	132039
354	72560	131835
355	72773	131646
356	72971	131430
357	73178	131230
358	73367	130999
359	73564	130782
360	73770	130579
361	73967	130361
362	74163	130143
363	74361	129927
364	74559	129712
365	74764	129509
366	74965	129299
367	75229	129198
368	75428	128984
369	75638	128789
370	75845	128590
371	76050	128385
372	76244	128165
373	76453	127967
374	76653	127756
375	76881	127590
376	77075	127369
377	77273	127153
378	77470	126937
379	77671	126727
380	77883	126535
381	78081	126320
382	78289	126121
383	78497	125922
384	78697	125710
385	78902	125508
386	79099	125292
387	79292	125069
388	79504	124876
389	79700	124660
390	79908	124460
391	80102	124240
392	80295	124018
393	80497	123811
394	80691	123590
395	80897	123389
396	81109	123195
397	81308	122983
398	81520	122792
399	81711	122566
400	81956	122423
401	82162	122221
402	82373	122027
403	82565	121804
404	82761	121587
405	82964	121381
406	83158	121162
407	83360	120954
408	83567	120753
409	83759	120532
410	83965	120330
411	84177	120136
412	84383	119935
413	84584	119725
414	84787	119519
415	84995	119320
416	85189	119101
417	85383	118882
418	85583	118672
419	85783	118462
420	85986	118257
421	86194	118057
422	86406	117863
423	86616	117667
424	86817	117459
425	87027	117262
426	87231	117057
427	87427	116842
428	87626	116631
429	87825	116420
430	88031	116218
431	88245	116026
432	88446	115818
433	88646	115608
434	88848	115400
435	89052	115195
436	89255	114991
437	89451	114775
438	89659	114576
439	89854	114360
440	90125	114240
441	90328	114035
442	90538	113837
443	90735	113624
444	90939	113418
445	91142	113212
446	91342	113003
447	91540	112790
448	91743	112585
449	91940	112371
450	92140	112162
451	92343	111956
452	92559	111766
453	92756	111553
454	92951	111337
455	93158	111136
456	93374	110946
457	93586	110750
458	93796	110553
459	93998	110346
460	94202	110141
461	94396	109924
462	94604	109725
463	94813	109525
464	95014	109318
465	95214	109108
466	95412	108896
467	95610	108685
468	95803	108468
469	96009	108266
470	96214	108062
471	96415	107855
472	96610	107640
473	96819	107440
474	97017	107229
475	97231	107036
476	97428	106824
477	97636	106624
478	97830	106408
479	98028	106197
480	98235	105995
481	98479	105834
482	98671	105617
483	98868	105405
484	99066	105194
485	99268	104987
486	99469	104780
487	99676	104578
488	99870	104363
489	100071	104156
490	100269	103945
491	100478	103746
492	100673	103532
493	100866	103316
494	101063	103105
495	101267	102900
496	101464	102688
497	101676	102493
498	101872	102281
499	102079	102079
500	102276	101868
501	102486	101669
502	102686	101461
503	102887	101254
504	103086	101045
505	103293	100843
506	103501	100643
507	103711	100445
508	103902	100228
509	104098	100015
510	104304	99813
511	104590	99687
512	104786	99475
513	104983	99264
514	105182	99055
515	105386	98850
516	105590	98646
517	105794	98442
518	105984	98224
519	106187	98019
520	106387	97811
521	106603	97617
522	106800	97407
523	106996	97195
524	107196	96986
525	107408	96790
526	107614	96587
527	107822	96386
528	108014	96171
529	108210	95960
530	108417	95758
531	108634	95565
532	108845	95367
533	109041	95156
534	109240	94947
535	109444	94743
536	109660	94548
537	109859	94340
538	110066	94138
539	110264	93928
540	110467	93724
541	110664	93513
542	110868	93309
543	111061	93095
544	111265	92891
545	111468	92686
546	111670	92480
547	111896	92294
548	112106	92095
549	112310	91890
550	112524	91694
551	112736	91496
552	112940	91291
553	113150	91092
554	113336	90873
555	113545	90673
556	113754	90472
557	114007	90306
558	114225	90113
559	114422	89903
560	114633	89704
561	114836	89498
562	115029	89285
563	115225	89075
564	115429	88870
565	115641	88672
566	115838	88462
567	116041	88256
568	116232	88042
569	116427	87831
570	116630	87626
571	116839	87425
572	117031	87212
573	117236	87008
574	117437	86801
575	117647	86601
576	117844	86392
577	118111	86233
578	118306	86022
579	118530	85832
580	118738	85630
581	118938	85422
582	119142	85218
583	119337	85007
584	119538	84800
585	119750	84602
586	119959	84400
587	120167	84198
588	120361	83987
589	120593	83801
590	120798	83598
591	120996	83389
592	121187	83176
593	121388	82969
594	121591	82763
595	121803	82564
596	121999	82354
597	122199	82147
598	122395	81937
599	122594	81729
600	122801	81526
601	123010	81325
602	123204	81114
603	123408	80910
604	123609	80703
605	123820	80503
606	124023	80298
607	124233	80097
608	124432	79890
609	124639	79687
610	124843	79482
611	125057	79284
612	125253	79075
613	125463	78874
614	125657	78663
615	125868	78463
616	126068	78256
617	126272	78051
618	126483	77851
619	126687	77647
620	126909	77453
621	127110	77247
622	127311	77041
623	127499	76826
624	127700	76620
625	127907	76417
626	128110	76212
627	128315	76008
628	128514	75801
629	128712	75593
630	128924	75393
631	129123	75185
632	129330	74983
633	129541	74782
634	129746	74578
635	129971	74386
636	130166	74176
637	130417	73998
638	130625	73796
639	130829	73591
640	131043	73392
641	131251	73189
642	131462	72989
643	131674	72788
644	131879	72585
645	132156	72420
646	132351	72210
647	132560	72007
648	132761	71801
649	132977	71603
650	133195	71405
651	133418	71211
652	133624	71007
653	133839	70807
654	134032	70597
655	134242	70395
656	134450	70192
657	134661	69991
658	134868	69787
659	135058	69575
660	135271	69375
661	135487	69176
662	135683	68967
663	135885	68761
664	136084	68553
665	136296	68352
666	136511	68153
667	136715	67948
668	136918	67743
669	137119	67536
670	137323	67331
671	137530	67127
672	137730	66921
673	137941	66719
674	138156	66519
675	138361	66315
676	138570	66112
677	138762	65902
678	138960	65694
679	139160	65487
680	139364	65282
681	139582	65083
682	139780	64876
683	139979	64668
684	140197	64470
685	140416	64272
686	140635	64073
687	140839	63869
688	141042	63663
689	141254	63462
690	141460	63258
691	141672	63056
692	141876	62851
693	142087	62649
694	142350	62470
695	142553	62264
696	142763	62062
697	142967	61856
698	143168	61650
699	143373	61445
700	143577	61240
701	143854	61066
702	144044	60855
703	144234	60644
704	144431	60435
705	144640	60232
706	144838	60025
707	145042	59819
708	145244	59613
709	145447	59408
710	145661	59206
711	145856	58998
712	146057	58791
713	146258	58585
714	146463	58380
715	146674	58178
716	146883	57974
717	147083	57768
718	147287	57562
719	147494	57358
720	147697	57153
721	147891	56944
722	148099	56740
723	148292	56531
724	148502	56328
725	148707	56123
726	148911	55918
727	149102	55708
728	149293	55498
729	149495	55292
730	149698	55087
731	149902	54882
732	150102	54675
733	150305	54470
734	150507	54264
735	150717	54061
736	150917	53855
737	151129	53653
738	151317	53442
739	151522	53237
740	151721	53031
741	151974	52842
742	152168	52634
743	152372	52429
744	152571	52222
745	152778	52018
746	152979	51812
747	153179	51606
748	153378	51399
749	153586	51195
750	153786	50989
751	153991	50784
752	154188	50577
753	154390	50371
754	154600	50168
755	154814	49966
756	155026	49764
757	155222	49556
758	155422	49350
759	155627	49145
760	155842	48944
761	156034	48735
762	156233	48528
763	156432	48322
764	156639	48117
765	156834	47910
766	157038	47705
767	157238	47499
768	157507	47313
769	157711	47108
770	157922	46905
771	158120	46698
772	158313	46490
773	158507	46282
774	158709	46076
775	158914	45872
776	159119	45667
777	159317	45460
778	159520	45255
779	159723	45050
780	159927	44845
781	160131	44640
782	160323	44431
783	160519	44224
784	160713	44017
785	160922	43813
786	161120	43606
787	161322	43401
788	161522	43195
789	161736	42993
790	161938	42787
791	162134	42580
792	162339	42376
793	162543	42171
794	162747	41966
795	162945	41759
796	163132	41550
797	163340	41346
798	163542	41141
799	163734	40933
800	163935	40728
801	164138	40522
802	164382	40328
803	164583	40122
804	164784	39916
805	164983	39710
806	165182	39504
807	165383	39299
808	165587	39094
809	165782	38887
810	165989	38683
811	166186	38476
812	166403	38274
813	166601	38068
814	166799	37862
815	167003	37657
816	167209	37453
817	167415	37248
818	167631	37046
819	167827	36840
820	168026	36634
821	168221	36427
822	168424	36222
823	168621	36016
824	168827	35811
825	169027	35606
826	169232	35401
827	169424	35194
828	169625	34989
829	169817	34781
830	170020	34576
831	170215	34370
832	170412	34164
833	170616	33959
834	170887	33768
835	171095	33564
836	171300	33359
837	171497	33153
838	171700	32948
839	171899	32742
840	172113	32539
841	172313	32334
842	172518	32129
843	172721	31924
844	172924	31719
845	173129	31515
846	173338	31311
847	173544	31107
848	173755	30903
849	173963	30699
850	174169	30494
851	174378	30291
852	174579	30085
853	174784	29881
854	174978	29674
855	175177	29469
856	175378	29263
857	175581	29059
858	175788	28854
859	175998	28650
860	176203	28446
861	176425	28244
862	176625	28039
863	176834	27835
864	177033	27629
865	177240	27425
866	177437	27219
867	177641	27014
868	177837	26808
869	178053	26605
870	178256	26400
871	178462	26196
872	178673	25992
873	178934	25795
874	179133	25590
875	179339	25385
876	179534	25179
877	179746	24976
878	179942	24770
879	180151	24566
880	180359	24361
881	180567	24157
882	180776	23953
883	180979	23748
884	181185	23543
885	181403	23340
886	181593	23134
887	181803	22930
888	181996	22723
889	182207	22520
890	182413	22315
891	182621	22111
892	182821	21905
893	183035	21702
894	183226	21495
895	183434	21291
896	183633	21086
897	183833	20880
898	184038	20676
899	184280	20475
900	184509	20273
901	184721	20069
902	184931	19865
903	185144	19661
904	185354	19457
905	185563	19252
906	185777	19048
907	186001	18845
908	186202	18640
909	186397	18434
910	186597	18229
911	186802	18024
912	187002	17819
913	187211	17615
914	187408	17409
915	187615	17204
916	187819	17000
917	188071	16799
918	188266	16593
919	188464	16388
920	188678	16184
921	188882	15979
922	189099	15775
923	189304	15570
924	189503	15365
925	189720	15161
926	189923	14956
927	190120	14750
928	190323	14545
929	190524	14340
930	190742	14136
931	190938	13931
932	191146	13726
933	191339	13520
934	191552	13316
935	191755	13111
936	191947	12905
937	192144	12700
938	192342	12495
939	192544	12290
940	192762	12086
941	192961	11880
942	193161	11675
943	193355	11470
944	193556	11265
945	193763	11060
946	193976	10856
947	194180	10651
948	194379	10446
949	194578	10240
950	194794	10036
951	194992	9831
952	195212	9627
953	195413	9422
954	195614	9217
955	195817	9012
956	196020	8807
957	196239	8603
958	196439	8398
959	196647	8193
960	196850	7988
961	197129	7786
962	197331	7581
963	197532	7376
964	197734	7171
965	197938	6966
966	198140	6761
967	198343	6556
968	198542	6351
969	198749	6146
970	198951	5941
971	199152	5736
972	199404	5533
973	199603	5328
974	199809	5123
975	200020	4918
976	200225	4713
977	200441	4508
978	200640	4303
979	200847	4098
980	201054	3894
981	201251	3688
982	201451	3483
983	201648	3278
984	201854	3073
985	202069	2869
986	202266	2664
987	202464	2459
988	202665	2254
989	202861	2049
990	203065	1844
991	203272	1639
992	203476	1434
993	203679	1229
994	203885	1024
995	204101	819
996	204315	614
997	204531	409
998	204733	204
999	204938	0
