iter	Passed	Remaining
0	182	18106
1	432	21190
2	656	21235
3	824	19779
4	1025	19487
5	1242	19468
6	1528	20305
7	1750	20131
8	1873	18946
9	2095	18856
10	2321	18781
11	2632	19306
12	2937	19660
13	3154	19379
14	3384	19179
15	3625	19036
16	3850	18797
17	4078	18578
18	4289	18285
19	4520	18083
20	4750	17870
21	4956	17572
22	5183	17352
23	5352	16948
24	5413	16241
25	5633	16033
26	5851	15821
27	6074	15619
28	6357	15565
29	6568	15325
30	6802	15141
31	7014	14906
32	7192	14603
33	7401	14367
34	7523	13972
35	7756	13789
36	7976	13581
37	8200	13380
38	8290	12966
39	8503	12755
40	8735	12571
41	8955	12366
42	9190	12182
43	9367	11922
44	9581	11710
45	9801	11506
46	10012	11290
47	10235	11088
48	10448	10874
49	10671	10671
50	10848	10423
51	11032	10183
52	11249	9975
53	11473	9773
54	11693	9567
55	11873	9329
56	12048	9088
57	12213	8843
58	12428	8636
59	12627	8418
60	12762	8159
61	12877	7892
62	13090	7688
63	13298	7480
64	13466	7251
65	13698	7056
66	13901	6846
67	14022	6598
68	14097	6333
69	14278	6119
70	14497	5921
71	14716	5722
72	14935	5524
73	15013	5274
74	15192	5064
75	15368	4853
76	15573	4651
77	15659	4416
78	15834	4209
79	16040	4010
80	16269	3816
81	16489	3619
82	16584	3396
83	16700	3181
84	16825	2969
85	17034	2773
86	17157	2563
87	17386	2370
88	17603	2175
89	17781	1975
90	17954	1775
91	18158	1578
92	18459	1389
93	18675	1192
94	18753	987
95	18977	790
96	19100	590
97	19327	394
98	19540	197
99	19760	0
