iter	Passed	Remaining
0	117	116957
1	221	110628
2	323	107468
3	425	105996
4	525	104525
5	624	103463
6	728	103410
7	823	102091
8	915	100841
9	1011	100153
10	1112	100028
11	1212	99822
12	1317	100032
13	1415	99679
14	1512	99307
15	1620	99641
16	1715	99211
17	1813	98931
18	1914	98838
19	2017	98843
20	2123	99006
21	2224	98909
22	2321	98593
23	2417	98302
24	2514	98046
25	2621	98195
26	2720	98034
27	2825	98076
28	2923	97874
29	3025	97839
30	3130	97866
31	3228	97673
32	3335	97750
33	3442	97802
34	3544	97733
35	3646	97644
36	3748	97562
37	3845	97342
38	3944	97191
39	4055	97343
40	4161	97344
41	4253	97013
42	4350	96815
43	4456	96820
44	4548	96528
45	4655	96560
46	4760	96531
47	4860	96396
48	4958	96239
49	5055	96045
50	5158	95994
51	5266	96008
52	5370	95954
53	5472	95877
54	5574	95777
55	5674	95662
56	5768	95432
57	5868	95305
58	5967	95182
59	6065	95029
60	6171	94993
61	6271	94880
62	6364	94652
63	6459	94469
64	6551	94245
65	6657	94208
66	6772	94308
67	6871	94182
68	6967	94016
69	7068	93905
70	7175	93890
71	7281	93856
72	7387	93815
73	7480	93612
74	7580	93490
75	7709	93732
76	7803	93542
77	7902	93416
78	8002	93297
79	8099	93144
80	8198	93012
81	8298	92907
82	8398	92788
83	8492	92608
84	8594	92522
85	8702	92493
86	8799	92342
87	8896	92199
88	8996	92088
89	9091	91925
90	9188	91783
91	9289	91681
92	9391	91593
93	9487	91441
94	9583	91294
95	9688	91228
96	9779	91039
97	9880	90940
98	9982	90850
99	10086	90782
100	10182	90636
101	10279	90496
102	10377	90374
103	10472	90221
104	10578	90168
105	10674	90030
106	10776	89939
107	10877	89842
108	10972	89691
109	11069	89561
110	11169	89458
111	11262	89297
112	11358	89156
113	11466	89116
114	11570	89042
115	11673	88962
116	11767	88806
117	11862	88670
118	11968	88610
119	12062	88454
120	12159	88333
121	12267	88287
122	12362	88146
123	12459	88022
124	12561	87933
125	12657	87801
126	12755	87679
127	12852	87560
128	12948	87426
129	13045	87303
130	13152	87251
131	13245	87101
132	13344	86988
133	13448	86915
134	13548	86810
135	13651	86729
136	13759	86675
137	13860	86577
138	13958	86465
139	14051	86313
140	14161	86275
141	14257	86148
142	14349	85997
143	14448	85890
144	14553	85814
145	14655	85726
146	14757	85634
147	14854	85512
148	14949	85383
149	15053	85304
150	15149	85177
151	15250	85081
152	15349	84976
153	15448	84866
154	15540	84720
155	15649	84666
156	15752	84581
157	15843	84434
158	15948	84353
159	16046	84242
160	16141	84118
161	16246	84040
162	16348	83949
163	16442	83817
164	16538	83694
165	16637	83589
166	16729	83446
167	16825	83327
168	16920	83201
169	17017	83083
170	17155	83170
171	17249	83038
172	17339	82889
173	17435	82769
174	17533	82659
175	17629	82538
176	17734	82460
177	17835	82362
178	17930	82241
179	18035	82159
180	18136	82064
181	18229	81933
182	18326	81818
183	18430	81736
184	18539	81674
185	18642	81587
186	18744	81492
187	18843	81386
188	18941	81279
189	19038	81164
190	19145	81094
191	19240	80968
192	19348	80903
193	19452	80818
194	19549	80705
195	19655	80629
196	19747	80492
197	19842	80371
198	19949	80300
199	20060	80242
200	20158	80133
201	20266	80062
202	20358	79930
203	20459	79832
204	20564	79749
205	20669	79669
206	20768	79563
207	20859	79427
208	20963	79341
209	21062	79234
210	21168	79156
211	21265	79043
212	21360	78923
213	21460	78820
214	21558	78712
215	21653	78594
216	21760	78516
217	21854	78395
218	21945	78263
219	22046	78163
220	22150	78077
221	22248	77968
222	22347	77865
223	22446	77761
224	22540	77638
225	22649	77569
226	22745	77455
227	22837	77328
228	22935	77218
229	23034	77114
230	23139	77029
231	23236	76919
232	23332	76806
233	23425	76682
234	23523	76575
235	23626	76485
236	23722	76372
237	23818	76257
238	23915	76149
239	24017	76056
240	24114	75947
241	24211	75837
242	24308	75725
243	24399	75597
244	24489	75466
245	24591	75373
246	24684	75253
247	24776	75129
248	24873	75020
249	24966	74899
250	25063	74790
251	25167	74703
252	25269	74608
253	25365	74497
254	25465	74398
255	25570	74313
256	25663	74194
257	25759	74083
258	25851	73960
259	25943	73838
260	26051	73761
261	26149	73656
262	26243	73542
263	26364	73499
264	26458	73384
265	26568	73313
266	26663	73198
267	26764	73103
268	26854	72976
269	26954	72877
270	27060	72792
271	27158	72688
272	27256	72584
273	27357	72486
274	27451	72373
275	27559	72292
276	27664	72208
277	27759	72096
278	27859	71994
279	27961	71900
280	28068	71819
281	28168	71719
282	28271	71627
283	28364	71510
284	28459	71399
285	28559	71299
286	28653	71184
287	28762	71106
288	28856	70992
289	28949	70876
290	29051	70783
291	29146	70670
292	29249	70577
293	29350	70481
294	29446	70372
295	29551	70284
296	29654	70192
297	29750	70083
298	29845	69971
299	29949	69882
300	30052	69790
301	30149	69682
302	30251	69589
303	30358	69504
304	30454	69395
305	30563	69318
306	30671	69235
307	30767	69127
308	30871	69035
309	30974	68944
310	31075	68845
311	31177	68749
312	31271	68637
313	31370	68534
314	31467	68428
315	31563	68321
316	31667	68229
317	31768	68131
318	31871	68039
319	31965	67927
320	32072	67841
321	32171	67739
322	32275	67647
323	32376	67550
324	32476	67450
325	32576	67352
326	32683	67266
327	32784	67167
328	32879	67058
329	32977	66953
330	33087	66874
331	33181	66761
332	33285	66670
333	33379	66559
334	33475	66451
335	33576	66354
336	33670	66241
337	33766	66134
338	33865	66032
339	33958	65919
340	34062	65827
341	34165	65733
342	34269	65640
343	34367	65538
344	34464	65433
345	34565	65334
346	34659	65224
347	34754	65114
348	34847	65002
349	34942	64892
350	35044	64796
351	35138	64686
352	35229	64571
353	35325	64464
354	35429	64371
355	35525	64265
356	35624	64164
357	35725	64066
358	35826	63968
359	35924	63865
360	36031	63777
361	36120	63660
362	36216	63553
363	36309	63441
364	36432	63382
365	36543	63301
366	36637	63191
367	36738	63093
368	36831	62982
369	36929	62879
370	37031	62784
371	37133	62687
372	37233	62588
373	37332	62486
374	37429	62382
375	37533	62289
376	37625	62176
377	37723	62074
378	37821	61970
379	37921	61871
380	38020	61771
381	38120	61670
382	38216	61565
383	38308	61452
384	38406	61351
385	38512	61261
386	38610	61158
387	38711	61060
388	38806	60953
389	38912	60862
390	39020	60776
391	39120	60676
392	39215	60569
393	39308	60458
394	39411	60363
395	39513	60267
396	39605	60156
397	39709	60062
398	39802	59953
399	39895	59843
400	40003	59755
401	40095	59644
402	40184	59529
403	40283	59428
404	40382	59327
405	40487	59235
406	40595	59147
407	40698	59052
408	40809	58968
409	40908	58868
410	41015	58778
411	41110	58671
412	41199	58557
413	41293	58449
414	41389	58344
415	41492	58248
416	41590	58146
417	41691	58049
418	41789	57946
419	41885	57842
420	41985	57742
421	42079	57635
422	42178	57534
423	42271	57425
424	42366	57319
425	42476	57233
426	42574	57131
427	42675	57033
428	42782	56943
429	42886	56849
430	42987	56750
431	43085	56650
432	43180	56543
433	43275	56437
434	43372	56334
435	43473	56236
436	43575	56140
437	43681	56048
438	43782	55949
439	43875	55841
440	43979	55747
441	44077	55645
442	44171	55538
443	44272	55440
444	44372	55341
445	44477	55247
446	44576	55147
447	44676	55047
448	44776	54948
449	44874	54846
450	44976	54749
451	45074	54648
452	45185	54561
453	45282	54458
454	45381	54358
455	45485	54263
456	45587	54165
457	45679	54057
458	45776	53954
459	45872	53850
460	45973	53752
461	46077	53657
462	46181	53562
463	46280	53461
464	46386	53368
465	46485	53268
466	46579	53162
467	46677	53061
468	46774	52958
469	46874	52858
470	46981	52767
471	47083	52669
472	47177	52563
473	47272	52459
474	47377	52364
475	47482	52270
476	47576	52164
477	47680	52069
478	47807	51999
479	47910	51902
480	48017	51811
481	48122	51717
482	48229	51624
483	48336	51532
484	48445	51442
485	48558	51355
486	48663	51261
487	48765	51163
488	48860	51058
489	48964	50963
490	49073	50872
491	49166	50765
492	49262	50661
493	49363	50562
494	49456	50455
495	49565	50364
496	49660	50260
497	49762	50162
498	49862	50062
499	49960	49960
500	50058	49858
501	50155	49755
502	50257	49658
503	50353	49554
504	50450	49451
505	50561	49362
506	50677	49278
507	50783	49183
508	50874	49075
509	50972	48973
510	51075	48876
511	51176	48777
512	51272	48674
513	51368	48570
514	51468	48470
515	51568	48370
516	51672	48273
517	51772	48174
518	51864	48067
519	51961	47964
520	52074	47876
521	52174	47776
522	52267	47670
523	52368	47571
524	52462	47465
525	52558	47362
526	52652	47257
527	52751	47156
528	52851	47056
529	52946	46952
530	53049	46855
531	53149	46755
