iter	Passed	Remaining
0	228	228689
1	423	211080
2	609	202626
3	784	195395
4	964	191955
5	1147	190068
6	1333	189189
7	1518	188254
8	1702	187517
9	1902	188346
10	2127	191323
11	2305	189787
12	2492	189233
13	2759	194326
14	2940	193120
15	3130	192545
16	3310	191432
17	3488	190292
18	3665	189238
19	3869	189607
20	4092	190810
21	4277	190151
22	4474	190055
23	4665	189720
24	4844	188945
25	5018	188013
26	5193	187173
27	5367	186335
28	5547	185758
29	5720	184951
30	5920	185061
31	6105	184679
32	6303	184707
33	6486	184293
34	6734	185672
35	6949	186097
36	7141	185871
37	7324	185431
38	7515	185188
39	7691	184604
40	7875	184204
41	8059	183822
42	8243	183470
43	8441	183401
44	8651	183595
45	8844	183427
46	8986	182221
47	9174	181952
48	9359	181649
49	9537	181218
50	9736	181180
51	9942	181261
52	10154	181443
53	10355	181417
54	10530	180932
55	10733	180944
56	10912	180529
57	11099	180269
58	11285	179999
59	11468	179667
60	11648	179314
61	11858	179403
62	12044	179133
63	12220	178731
64	12398	178350
65	12586	178123
66	12772	177861
67	12964	177684
68	13151	177443
69	13331	177121
70	13516	176850
71	13695	176523
72	13875	176199
73	14059	175929
74	14231	175527
75	14421	175339
76	14597	174985
77	14801	174961
78	14975	174589
79	15150	174228
80	15326	173885
81	15507	173611
82	15683	173276
83	15863	172992
84	16036	172624
85	16215	172337
86	16389	171994
87	16568	171711
88	16742	171372
89	16922	171100
90	17106	170874
91	17290	170646
92	17462	170305
93	17648	170099
94	17831	169872
95	18020	169696
96	18217	169596
97	18404	169395
98	18578	169080
99	18762	168859
100	18949	168670
101	19132	168442
102	19306	168137
103	19495	167957
104	19675	167710
105	19865	167547
106	20037	167231
107	20216	166973
108	20392	166694
109	20570	166436
110	20750	166189
111	20927	165927
112	21102	165642
113	21281	165396
114	21455	165115
115	21633	164860
116	21806	164573
117	21990	164372
118	22162	164076
119	22342	163845
120	22521	163605
121	22701	163373
122	22878	163127
123	23055	162875
124	23225	162576
125	23413	162409
126	23588	162148
127	23767	161918
128	23945	161681
129	24129	161480
130	24314	161292
131	24490	161045
132	24665	160789
133	24849	160593
134	25026	160353
135	25208	160150
136	25381	159882
137	25556	159633
138	25731	159387
139	25916	159198
140	26132	159206
141	26310	158974
142	26495	158789
143	26671	158548
144	26848	158313
145	27029	158103
146	27208	157883
147	27381	157629
148	27561	157415
149	27736	157171
150	27918	156969
151	28093	156729
152	28269	156496
153	28441	156244
154	28620	156030
155	28800	155818
156	28977	155590
157	29157	155381
158	29344	155210
159	29525	155006
160	29717	154861
161	29893	154636
162	30073	154424
163	30253	154221
164	30436	154028
165	30624	153859
166	30808	153673
167	30981	153433
168	31160	153222
169	31334	152986
170	31516	152791
