iter	Passed	Remaining
0	195	48732
1	368	45755
2	552	45474
3	734	45178
4	921	45155
5	1103	44859
6	1295	44981
7	1474	44600
8	1657	44395
9	1838	44134
10	2030	44115
11	2210	43833
12	2390	43585
13	2571	43344
14	2764	43308
15	2959	43276
16	3138	43011
17	3310	42665
18	3486	42384
19	3666	42166
20	3850	41992
21	4033	41796
22	4213	41588
23	4385	41299
24	4566	41095
25	4763	41037
26	4952	40901
27	5129	40670
28	5309	40462
29	5483	40210
30	5671	40066
31	5851	39863
32	6035	39685
33	6205	39420
34	6382	39205
35	6573	39074
36	6740	38803
37	6928	38653
38	7106	38445
39	7283	38240
40	7457	38015
41	7630	37791
42	7805	37574
43	7994	37428
44	8168	37211
45	8348	37024
46	8543	36902
47	8712	36665
48	8925	36611
49	9141	36565
50	9354	36499
51	9567	36430
52	9771	36320
53	9973	36201
54	10172	36065
55	10362	35899
56	10554	35737
57	10743	35563
58	10914	35333
59	11097	35140
60	11273	34930
61	11444	34701
62	11620	34493
63	11787	34256
64	11955	34027
65	12143	33855
66	12320	33652
67	12508	33479
68	12689	33287
69	12866	33085
70	13053	32909
71	13234	32718
72	13397	32484
73	13574	32286
74	13753	32091
75	13950	31940
76	14117	31718
77	14292	31516
78	14469	31320
79	14650	31132
80	14829	30939
81	15002	30737
82	15174	30531
83	15332	30300
84	15501	30091
85	15684	29910
86	15850	29697
87	16025	29501
88	16198	29303
89	16374	29109
90	16557	28930
91	16726	28726
92	16925	28573
93	17100	28380
94	17270	28177
95	17455	28002
96	17629	27807
97	17797	27605
98	17966	27402
99	18146	27219
100	18317	27023
101	18485	26822
102	18650	26617
103	18829	26433
104	18996	26233
105	19174	26048
106	19346	25855
107	19510	25653
108	19668	25443
109	19839	25249
110	20023	25074
111	20204	24894
112	20376	24704
113	20562	24530
114	20746	24354
115	20930	24178
116	21100	23985
117	21277	23801
118	21462	23626
119	21632	23435
120	21823	23266
121	22005	23088
122	22169	22890
123	22348	22708
124	22541	22541
125	22720	22359
126	22895	22174
127	23082	22000
128	23261	21818
129	23444	21641
130	23616	21453
131	23831	21303
132	24016	21127
133	24204	20952
134	24394	20780
135	24582	20605
136	24764	20425
137	24956	20254
138	25125	20064
139	25316	19891
140	25497	19710
141	25675	19527
142	25863	19352
143	26095	19209
144	26280	19030
145	26475	18859
146	26655	18677
147	26849	18504
148	27020	18315
149	27205	18136
150	27389	17957
151	27559	17768
152	27725	17577
153	27892	17387
154	28065	17201
155	28238	17015
156	28406	16827
157	28596	16651
158	28772	16467
159	28963	16291
160	29136	16106
161	29312	15923
162	29478	15734
163	29641	15543
164	29745	15323
165	29916	15138
166	30093	14956
167	30198	14739
168	30372	14557
169	30551	14376
170	30719	14191
171	30912	14018
172	31085	13835
173	31298	13670
174	31480	13491
175	31648	13306
176	31819	13123
177	32002	12944
178	32167	12759
179	32334	12574
180	32520	12397
181	32688	12213
182	32855	12029
183	33021	11844
184	33184	11659
185	33329	11468
186	33502	11286
187	33666	11102
188	33833	10919
189	34015	10741
190	34184	10559
191	34359	10379
192	34527	10197
193	34699	10016
194	34863	9833
195	35029	9650
196	35188	9466
197	35345	9282
198	35493	9096
199	35666	8916
200	35853	8740
201	36022	8559
202	36189	8378
203	36325	8191
204	36502	8012
205	36674	7833
206	36851	7655
207	37022	7475
208	37197	7297
209	37366	7117
210	37544	6939
211	37721	6761
212	37886	6581
213	38018	6395
214	38213	6220
215	38389	6042
216	38483	5852
217	38647	5673
218	38735	5483
219	38905	5305
220	39042	5123
221	39176	4941
222	39338	4763
223	39473	4581
224	39603	4400
225	39780	4224
226	39941	4046
227	40103	3869
228	40200	3686
229	40291	3503
230	40473	3328
231	40560	3146
232	40724	2971
233	40894	2796
234	41064	2621
235	41232	2446
236	41404	2271
237	41504	2092
238	41593	1914
239	41765	1740
240	41933	1565
241	42104	1391
242	42229	1216
243	42379	1042
244	42569	868
245	42744	695
246	42898	521
247	43000	346
248	43156	173
249	43320	0
