iter	Passed	Remaining
0	369	91888
1	679	84317
2	1007	82983
3	1314	80856
4	1621	79448
5	1931	78553
6	2227	77325
7	2529	76520
8	2829	75763
9	3130	75120
10	3433	74598
11	3719	73763
12	3999	72914
13	4303	72553
14	4593	71968
15	4892	71552
16	5179	70994
17	5459	70371
18	5752	69933
19	6046	69533
20	6339	69135
21	6617	68581
22	6922	68324
23	7216	67951
24	7501	67511
25	7799	67192
26	8088	66805
27	8376	66416
28	8677	66130
29	8972	65795
30	9262	65434
31	9545	65028
32	9838	64698
33	10131	64367
34	10425	64044
35	10715	63695
36	11000	63329
37	11292	63002
38	11591	62714
39	11895	62452
40	12205	62216
41	12509	61953
42	12820	61715
43	13134	61494
44	13420	61136
45	13714	60820
46	14018	60548
47	14314	60238
48	14606	59914
49	14915	59660
50	15229	59424
51	15517	59086
52	15799	58727
53	16100	58438
54	16388	58105
55	16696	57841
56	16991	57532
57	17288	57230
58	17583	56924
59	17864	56569
60	18165	56284
61	18460	55976
62	18751	55659
63	19045	55351
64	19338	55040
65	19643	54763
66	19946	54480
67	20255	54212
68	20537	53873
69	20815	53526
70	21118	53242
71	21414	52942
72	21704	52626
73	21997	52318
74	22282	51991
75	22585	51709
76	22884	51416
77	23178	51112
78	23485	50836
79	23781	50536
80	24088	50259
81	24399	49989
82	24694	49685
83	24987	49379
84	25282	49077
85	25592	48803
86	25890	48507
87	26186	48206
88	26478	47898
89	26779	47607
90	27074	47306
91	27354	46977
92	27640	46661
93	27938	46365
94	28235	46068
95	28533	45773
96	28830	45475
97	29129	45179
98	29430	44888
99	29715	44573
100	30002	44260
101	30289	43948
102	30580	43644
103	30898	43377
104	31196	43081
105	31495	42785
106	31785	42479
107	32067	42163
108	32342	41838
109	32629	41528
110	32926	41232
111	33238	40955
112	33520	40639
113	33808	40332
114	34105	40036
115	34406	39746
116	34688	39432
117	34994	39146
118	35295	38854
119	35574	38538
120	35857	38228
121	36154	37932
122	36441	37627
123	36728	37320
124	37027	37027
125	37323	36731
126	37618	36433
127	37912	36135
128	38195	35826
129	38499	35538
130	38788	35235
131	39083	34938
132	39384	34646
133	39676	34346
134	39974	34052
135	40281	33765
136	40583	33473
137	40882	33180
138	41180	32885
139	41473	32586
140	41785	32302
141	42082	32006
142	42385	31714
143	42673	31412
144	42951	31102
145	43239	30800
146	43523	30496
147	43820	30200
148	44122	29908
149	44422	29614
150	44725	29323
151	45004	29016
152	45292	28715
153	45593	28421
154	45895	28129
155	46189	27831
156	46468	27526
157	46740	27216
158	47029	26916
159	47315	26615
160	47599	26312
161	47900	26019
162	48201	25726
163	48491	25428
164	48772	25125
165	49052	24821
166	49329	24516
167	49640	24229
168	49915	23923
169	50197	23622
170	50486	23324
171	50784	23030
172	51086	22738
173	51374	22439
174	51672	22145
175	51965	21849
176	52255	21551
177	52532	21249
178	52821	20951
179	53118	20657
180	53402	20357
181	53705	20065
182	53991	19767
183	54290	19473
184	54577	19176
185	54853	18874
186	55138	18576
187	55439	18283
188	55735	17988
189	56012	17688
190	56316	17396
191	56590	17094
192	56882	16799
193	57156	16498
194	57448	16203
195	57742	15908
196	58033	15613
197	58321	15316
198	58610	15020
199	58914	14728
200	59214	14435
201	59499	14138
202	59785	13841
203	60072	13545
204	60378	13253
205	60660	12956
206	60948	12660
207	61238	12365
208	61528	12070
209	61823	11775
210	62127	11483
211	62430	11190
212	62709	10893
213	62985	10595
214	63296	10304
215	63595	10010
216	63877	9714
217	64172	9419
218	64469	9125
219	64750	8829
220	65033	8533
221	65317	8238
222	65603	7942
223	65900	7649
224	66181	7353
225	66468	7058
226	66746	6762
227	67034	6468
228	67344	6175
229	67632	5881
230	67923	5586
231	68203	5291
232	68487	4996
233	68758	4701
234	69041	4406
235	69344	4113
236	69645	3820
237	69929	3525
238	70233	3232
239	70519	2938
240	70807	2644
241	71105	2350
242	71385	2056
243	71676	1762
244	71974	1468
245	72258	1174
246	72538	881
247	72831	587
248	73143	293
249	73448	0
