iter	Passed	Remaining
0	30	30256
1	52	26017
2	81	26935
3	106	26485
4	131	26104
5	157	26011
6	180	25624
7	220	27393
8	248	27401
9	273	27077
10	297	26748
11	324	26712
12	347	26360
13	370	26070
14	395	25963
15	428	26369
16	453	26251
17	476	26000
18	497	25707
19	520	25485
20	542	25279
21	563	25037
22	587	24958
23	610	24846
24	641	25009
25	666	24960
26	687	24780
27	708	24585
28	734	24589
29	755	24413
30	775	24244
31	802	24269
32	821	24073
33	860	24453
34	887	24470
35	916	24546
36	939	24450
37	961	24353
38	984	24271
39	1004	24108
40	1024	23968
41	1049	23944
42	1070	23835
43	1098	23860
44	1118	23742
45	1138	23611
46	1161	23545
47	1185	23502
48	1206	23423
49	1232	23425
50	1254	23338
51	1282	23376
52	1313	23471
53	1332	23351
54	1357	23318
55	1379	23248
56	1399	23150
57	1421	23092
58	1445	23061
59	1468	23009
60	1488	22914
61	1511	22872
62	1537	22861
63	1559	22801
64	1579	22722
65	1599	22630
66	1623	22613
67	1645	22555
68	1670	22534
69	1690	22465
70	1715	22451
71	1741	22443
72	1761	22366
73	1783	22319
74	1806	22283
75	1830	22254
76	1859	22293
77	1880	22228
78	1903	22188
79	1924	22129
80	1953	22161
81	1975	22110
82	2000	22098
83	2019	22024
84	2045	22017
85	2067	21972
86	2088	21917
87	2108	21847
88	2130	21804
89	2156	21807
90	2179	21773
91	2199	21712
92	2221	21670
93	2247	21658
94	2277	21694
95	2298	21646
96	2319	21592
97	2338	21528
98	2364	21516
99	2384	21463
100	2409	21445
101	2429	21389
102	2449	21329
103	2469	21273
104	2492	21246
105	2512	21194
106	2531	21131
107	2550	21066
108	2569	21002
109	2594	20992
110	2617	20960
111	2644	20967
112	2663	20904
113	2686	20880
114	2706	20825
115	2726	20777
116	2747	20733
117	2769	20701
118	2791	20665
119	2816	20657
120	2839	20629
121	2869	20652
122	2891	20617
123	2911	20568
124	2932	20525
125	2954	20493
126	2975	20454
127	2995	20407
128	3020	20394
129	3041	20355
130	3068	20353
131	3088	20307
132	3108	20263
133	3127	20212
134	3146	20163
135	3171	20148
136	3190	20097
137	3209	20050
138	3231	20018
139	3258	20014
140	3286	20022
141	3314	20026
142	3335	19988
143	3355	19949
144	3375	19905
145	3398	19880
146	3420	19849
147	3439	19798
148	3459	19758
149	3483	19738
150	3508	19727
151	3530	19698
152	3550	19657
153	3572	19623
154	3591	19580
155	3615	19560
156	3637	19533
157	3661	19515
158	3684	19487
159	3704	19448
160	3733	19454
161	3753	19414
162	3774	19381
163	3798	19362
164	3818	19326
165	3837	19279
166	3861	19261
167	3890	19265
168	3914	19246
169	3965	19359
170	3984	19316
171	4009	19301
172	4033	19280
173	4055	19252
174	4077	19223
175	4096	19179
176	4123	19171
177	4144	19141
178	4167	19114
179	4187	19077
180	4208	19043
181	4229	19009
182	4250	18977
183	4274	18955
184	4297	18930
185	4323	18920
186	4345	18893
187	4373	18889
188	4395	18862
189	4419	18842
190	4443	18819
191	4464	18786
192	4486	18759
193	4506	18724
194	4526	18685
195	4545	18645
196	4570	18630
197	4600	18633
198	4622	18604
199	4642	18569
200	4662	18532
201	4684	18505
202	4704	18470
203	4724	18434
204	4749	18419
205	4768	18380
206	4794	18365
207	4819	18352
208	4845	18339
209	4871	18327
210	4897	18313
211	4921	18291
212	4943	18266
213	4966	18239
214	4998	18250
215	5022	18228
216	5044	18201
217	5066	18174
218	5088	18145
219	5112	18124
220	5135	18100
221	5157	18074
222	5180	18050
223	5202	18021
224	5235	18032
225	5257	18005
226	5280	17980
227	5300	17946
228	5327	17937
229	5348	17906
230	5372	17886
231	5395	17860
232	5417	17832
233	5442	17815
234	5468	17800
235	5496	17793
236	5524	17784
237	5544	17751
238	5565	17722
239	5592	17710
240	5622	17707
241	5641	17670
242	5662	17641
243	5691	17632
244	5714	17611
245	5743	17603
246	5764	17574
247	5791	17560
248	5819	17551
249	5854	17563
250	5973	17824
251	6008	17834
252	6030	17805
253	6055	17785
254	6079	17762
255	6101	17733
256	6126	17712
257	6144	17672
258	6173	17663
259	6197	17640
260	6224	17623
261	6243	17586
262	6264	17554
263	6285	17521
264	6307	17494
265	6328	17463
266	6356	17451
267	6418	17531
268	6445	17515
269	6467	17486
270	6489	17456
271	6508	17420
272	6529	17388
273	6551	17359
274	6572	17326
275	6592	17292
276	6614	17265
277	6637	17238
278	6660	17211
279	6686	17193
280	6707	17161
281	6731	17139
282	6751	17105
283	6772	17073
284	6796	17050
285	6817	17021
286	6839	16991
287	6863	16967
288	6890	16951
289	6915	16930
290	6937	16901
291	6963	16883
292	6985	16856
293	7019	16856
294	7039	16823
295	7062	16796
296	7089	16780
297	7114	16758
298	7135	16729
299	7155	16696
300	7177	16669
301	7199	16640
302	7220	16609
303	7245	16588
304	7264	16553
305	7284	16521
306	7313	16508
307	7335	16480
308	7357	16452
309	7379	16424
310	7402	16400
311	7432	16389
312	7456	16366
313	7480	16342
314	7500	16311
315	7523	16285
316	7548	16264
317	7574	16245
318	7594	16212
319	7618	16190
320	7640	16161
321	7661	16131
322	7683	16104
323	7706	16080
324	7731	16057
325	7758	16040
326	7784	16020
327	7803	15988
328	7827	15964
329	7848	15934
330	7868	15904
331	7889	15873
332	7908	15839
333	7936	15825
334	7958	15798
335	7979	15769
336	8001	15742
337	8038	15743
338	8058	15712
339	8077	15679
340	8099	15653
341	8123	15629
342	8142	15595
343	8167	15575
344	8190	15550
345	8216	15530
346	8237	15501
347	8256	15469
348	8278	15442
349	8299	15412
350	8319	15382
351	8343	15359
352	8365	15332
353	8386	15304
354	8417	15294
355	8440	15268
356	8466	15248
357	8487	15220
358	8510	15196
359	8532	15168
360	8552	15138
361	8573	15109
362	8593	15080
363	8618	15057
364	8639	15031
365	8662	15004
366	8684	14979
367	8712	14962
368	8732	14933
369	8754	14906
370	8776	14880
371	8798	14853
372	8833	14849
373	8855	14823
374	8880	14800
375	8899	14770
376	8926	14751
377	8947	14723
378	8966	14692
379	8989	14666
380	9010	14639
381	9054	14648
382	9080	14628
383	9099	14596
384	9122	14572
385	9143	14544
386	9167	14521
387	9190	14495
388	9210	14466
389	9230	14437
390	9261	14424
391	9284	14401
392	9311	14382
393	9333	14356
394	9356	14330
395	9377	14302
396	9402	14281
397	9426	14257
398	9451	14235
399	9477	14216
400	9504	14196
401	9523	14167
402	9544	14138
403	9574	14124
404	9596	14098
405	9619	14073
406	9641	14047
407	9667	14026
408	9696	14011
409	9719	13986
410	9738	13956
411	9761	13931
412	9782	13904
413	9805	13879
414	9829	13856
415	9850	13828
416	9872	13801
417	9903	13789
418	9923	13760
419	9947	13737
420	9969	13710
421	9989	13682
422	10012	13657
423	10033	13630
424	10053	13602
425	10098	13606
426	10119	13579
427	10148	13562
428	10170	13536
429	10194	13512
430	10216	13487
431	10237	13460
432	10263	13439
433	10284	13412
434	10305	13385
435	10325	13357
436	10352	13337
437	10378	13316
438	10399	13289
439	10421	13263
440	10443	13238
441	10463	13210
442	10488	13187
443	10515	13167
444	10538	13143
445	10562	13119
446	10659	13187
447	10710	13196
448	10730	13167
449	10750	13138
450	10777	13118
451	10805	13100
452	10825	13072
453	10847	13045
454	10864	13014
455	10890	12992
456	10912	12965
457	10934	12939
458	10954	12911
459	10974	12883
460	11003	12865
461	11026	12840
462	11048	12814
463	11069	12786
464	11102	12773
465	11126	12749
466	11145	12720
467	11168	12695
468	11190	12669
469	11206	12637
470	11233	12617
471	11255	12590
472	11277	12565
473	11300	12539
474	11320	12511
475	11339	12483
476	11362	12458
477	11386	12434
478	11408	12409
479	11432	12384
480	11454	12359
481	11481	12338
482	11502	12311
483	11529	12291
484	11546	12261
485	11565	12232
486	11584	12202
487	11602	12173
488	11619	12142
489	11636	12111
490	11656	12083
491	11678	12058
492	11701	12033
493	11718	12003
494	11736	11973
495	11753	11943
496	11772	11914
497	11794	11889
498	11814	11862
499	11833	11833
500	11850	11803
501	11867	11772
502	11890	11748
503	11912	11723
504	11929	11693
505	11947	11664
506	11964	11633
507	11981	11604
508	11999	11575
509	12017	11546
510	12040	11522
511	12060	11495
512	12079	11467
513	12107	11447
514	12144	11437
515	12163	11409
516	12188	11386
517	12210	11361
518	12229	11333
519	12253	11310
520	12276	11286
521	12295	11259
522	12318	11235
523	12343	11212
524	12372	11194
525	12393	11168
526	12412	11140
527	12436	11117
528	12456	11090
529	12475	11062
530	12494	11035
531	12517	11011
532	12540	10987
533	12609	11003
534	12634	10981
535	12653	10954
536	12674	10928
537	12703	10908
538	12727	10885
539	12753	10864
540	12786	10848
541	12805	10820
542	12831	10799
543	12854	10774
544	12873	10747
545	12896	10723
546	12916	10696
547	12937	10671
548	12959	10645
549	12983	10623
550	13006	10599
551	13030	10575
552	13050	10549
553	13069	10521
554	13092	10497
555	13114	10472
556	13159	10466
557	13183	10442
558	13206	10418
559	13227	10393
560	13247	10366
561	13263	10337
562	13289	10315
563	13309	10288
564	13328	10261
565	13347	10234
566	13367	10208
567	13389	10183
568	13408	10156
569	13426	10128
570	13443	10100
571	13459	10071
572	13475	10041
573	13493	10014
574	13509	9985
575	13528	9958
576	13545	9930
577	13564	9903
578	13588	9880
579	13611	9856
580	13629	9829
581	13645	9800
582	13662	9772
583	13679	9744
584	13696	9716
585	13712	9687
586	13731	9661
587	13746	9631
588	13762	9603
589	13779	9575
590	13798	9549
591	13820	9525
592	13839	9498
593	13855	9470
594	13875	9444
595	13895	9419
596	13917	9394
597	13938	9370
598	13959	9345
599	13981	9321
600	14000	9295
601	14024	9271
602	14046	9247
603	14063	9220
604	14084	9195
605	14102	9169
606	14121	9142
607	14138	9115
608	14178	9103
609	14201	9079
610	14220	9053
611	14239	9027
612	14263	9004
613	14282	8979
614	14302	8953
615	14321	8927
616	14339	8900
617	14357	8874
618	14376	8848
619	14394	8822
620	14413	8796
621	14431	8770
622	14449	8744
623	14472	8720
624	14491	8694
625	14510	8669
626	14528	8643
627	14549	8618
628	14567	8592
629	14587	8567
630	14612	8544
631	14631	8519
632	14649	8493
633	14667	8467
634	14693	8445
635	14712	8420
636	14729	8394
637	14748	8368
638	14766	8342
639	14786	8317
640	14807	8293
641	14827	8268
642	14845	8242
643	14863	8216
644	14888	8194
645	14908	8169
646	14925	8143
647	14949	8120
648	14967	8095
649	14985	8069
650	15004	8044
651	15023	8018
652	15040	7992
653	15058	7966
654	15075	7940
655	15093	7915
656	15115	7891
657	15135	7866
658	15152	7840
659	15172	7816
660	15215	7803
661	15233	7778
662	15251	7752
663	15269	7726
664	15288	7701
665	15306	7676
666	15331	7654
667	15353	7630
668	15372	7606
669	15393	7581
670	15411	7556
671	15429	7531
672	15447	7505
673	15466	7480
674	15483	7455
675	15502	7429
676	15522	7405
677	15541	7381
678	15564	7357
679	15583	7333
680	15601	7308
681	15626	7286
682	15646	7262
683	15666	7237
684	15684	7212
685	15816	7239
686	15836	7215
687	15853	7189
688	15872	7164
689	15889	7138
690	15908	7113
691	15925	7088
692	15943	7063
693	15961	7037
694	15978	7012
695	15996	6987
696	16014	6961
697	16037	6938
698	16062	6916
699	16079	6891
700	16099	6867
701	16117	6842
702	16138	6818
703	16157	6793
704	16174	6768
705	16192	6743
706	16235	6728
707	16257	6704
708	16283	6683
709	16301	6658
710	16319	6633
711	16337	6608
712	16355	6583
713	16373	6558
714	16390	6533
715	16408	6508
716	16429	6484
717	16447	6459
718	16469	6436
719	16487	6411
720	16506	6387
721	16523	6362
722	16541	6337
723	16558	6312
724	16575	6287
725	16594	6262
726	16614	6238
727	16633	6214
728	16651	6190
729	16678	6168
730	16700	6145
731	16719	6121
732	16737	6096
733	16754	6071
734	16776	6048
735	16795	6024
736	16814	6000
737	16831	5975
738	16848	5950
739	16868	5926
740	16892	5904
741	16910	5879
742	16928	5855
743	16945	5830
744	16963	5806
745	16979	5781
746	16999	5757
747	17021	5734
748	17039	5710
749	17058	5686
750	17076	5661
751	17099	5639
752	17119	5615
753	17138	5591
754	17156	5567
755	17174	5543
756	17193	5519
757	17211	5494
758	17230	5471
759	17275	5455
760	17302	5433
761	17320	5409
762	17338	5385
763	17355	5361
764	17372	5336
765	17393	5313
766	17414	5290
767	17433	5266
768	17451	5242
769	17469	5218
770	17488	5194
771	17513	5172
772	17532	5148
773	17550	5124
774	17569	5100
775	17585	5076
776	17603	5052
777	17622	5028
778	17639	5004
779	17657	4980
780	17675	4956
781	17700	4934
782	17760	4922
783	17780	4898
784	17804	4876
785	17821	4852
786	17838	4827
787	17858	4804
788	17873	4779
789	17890	4755
790	17910	4732
791	17934	4710
792	17953	4686
793	17970	4662
794	17986	4638
795	18005	4614
796	18024	4590
797	18042	4567
798	18058	4542
799	18075	4518
800	18093	4495
801	18111	4471
802	18129	4447
803	18152	4425
804	18171	4401
805	18195	4379
806	18212	4355
807	18229	4331
808	18247	4308
809	18267	4285
810	18310	4267
811	18329	4243
812	18349	4220
813	18370	4197
814	18388	4174
815	18406	4150
816	18425	4127
817	18441	4103
818	18459	4079
819	18474	4055
820	18492	4031
821	18508	4007
822	18527	3984
823	18545	3961
824	18563	3937
825	18583	3914
826	18604	3891
827	18622	3868
828	18640	3844
829	18657	3821
830	18675	3797
831	18697	3775
832	18715	3752
833	18737	3729
834	18762	3707
835	18786	3685
836	18807	3662
837	18829	3640
838	18847	3616
839	18864	3593
840	18881	3569
841	18899	3546
842	18917	3523
843	18935	3499
844	18952	3476
845	18969	3453
846	18987	3429
847	19005	3406
848	19031	3384
849	19050	3361
850	19069	3338
851	19090	3316
852	19106	3292
853	19125	3269
854	19144	3246
855	19162	3223
856	19180	3200
857	19197	3177
858	19216	3154
859	19240	3132
860	19259	3109
861	19278	3086
862	19299	3063
863	19341	3044
864	19362	3021
865	19380	2998
866	19397	2975
867	19415	2952
868	19436	2930
869	19467	2908
870	19488	2886
871	19507	2863
872	19525	2840
873	19543	2817
874	19560	2794
875	19577	2771
876	19594	2748
877	19613	2725
878	19631	2702
879	19649	2679
880	19666	2656
881	19686	2633
882	19708	2611
883	19730	2589
884	19748	2566
885	19769	2543
886	19791	2521
887	19809	2498
888	19828	2475
889	19845	2452
890	19868	2430
891	19886	2407
892	19906	2385
893	19932	2363
894	19950	2340
895	19968	2317
896	19985	2294
897	20004	2272
898	20024	2249
899	20041	2226
900	20058	2204
901	20076	2181
902	20094	2158
903	20111	2135
904	20132	2113
905	20154	2091
906	20171	2068
907	20189	2045
908	20206	2022
909	20223	2000
910	20246	1977
911	20266	1955
912	20284	1932
