iter	Passed	Remaining
0	201	201094
1	237	118652
2	276	91990
3	313	78096
4	349	69600
5	389	64535
6	427	60598
7	467	57943
8	502	55319
9	537	53176
10	570	51270
11	608	50079
12	647	49147
13	688	48496
14	732	48098
15	846	52050
16	889	51430
17	935	51027
18	974	50330
19	1009	49450
20	1045	48731
21	1083	48184
22	1123	47728
23	1161	47220
24	1201	46851
25	1243	46565
26	1292	46579
27	1349	46853
28	1386	46430
29	1418	45864
30	1450	45325
31	1482	44839
32	1514	44392
33	1549	44023
34	1580	43583
35	1614	43239
36	1651	42971
37	1690	42796
38	1736	42780
39	1836	44083
40	1962	45914
41	2025	46201
42	2058	45818
43	2094	45514
44	2128	45168
45	2160	44809
46	2192	44453
47	2224	44124
48	2260	43879
49	2294	43590
50	2338	43508
51	2382	43434
52	2431	43450
53	2501	43825
54	2544	43719
55	2575	43410
56	2605	43112
57	2645	42964
58	2678	42716
59	2708	42432
60	2742	42224
61	2774	41980
62	2807	41755
63	2841	41552
64	2872	41321
65	2914	41249
66	2944	40999
67	2974	40765
68	3006	40565
69	3039	40377
70	3070	40178
71	3101	39979
72	3138	39850
73	3167	39638
74	3197	39437
75	3231	39285
76	3260	39083
77	3298	38984
78	3328	38808
79	3362	38668
80	3401	38595
81	3445	38574
82	3503	38710
83	3550	38721
84	3592	38672
85	3624	38523
86	3654	38351
87	3687	38213
88	3715	38034
89	3744	37863
90	3773	37693
91	3803	37535
92	3836	37412
93	3866	37264
94	3899	37146
95	3928	36992
96	3957	36844
97	3982	36658
98	4010	36498
99	4037	36339
100	4065	36189
101	4093	36036
102	4119	35879
103	4147	35733
104	4183	35658
105	4214	35542
106	4242	35408
107	4272	35291
108	4300	35154
109	4328	35024
110	4356	34893
111	4384	34762
112	4411	34624
113	4441	34520
114	4474	34436
115	4522	34463
116	4568	34479
117	4616	34504
118	4660	34505
119	4693	34418
120	4722	34303
121	4753	34212
122	4785	34119
123	4815	34017
124	4847	33931
125	4893	33940
126	4924	33847
127	4972	33874
128	5006	33802
129	5037	33711
130	5068	33622
131	5099	33536
132	5130	33443
133	5162	33362
134	5190	33256
135	5220	33168
136	5259	33132
137	5306	33147
138	5356	33181
139	5399	33166
140	5435	33113
141	5465	33026
142	5493	32920
143	5525	32844
144	5555	32759
145	5585	32668
146	5615	32584
147	5644	32495
148	5682	32454
149	5732	32485
150	5790	32559
151	5826	32506
152	5865	32472
153	5895	32388
154	5926	32308
155	5956	32225
156	5984	32131
157	6013	32046
158	6039	31947
159	6066	31848
160	6095	31766
161	6122	31669
162	6149	31578
163	6180	31506
164	6206	31410
165	6236	31330
166	6263	31240
167	6289	31147
168	6320	31080
169	6369	31098
170	6420	31125
171	6465	31126
172	6503	31087
173	6535	31024
174	6568	30965
175	6598	30894
176	6627	30813
177	6653	30724
178	6685	30662
179	6714	30587
180	6744	30515
181	6773	30442
182	6800	30361
183	6829	30288
184	6864	30242
185	6899	30194
186	6926	30113
187	6952	30030
188	6979	29948
189	7005	29866
190	7035	29797
191	7064	29728
192	7090	29649
193	7119	29577
194	7146	29503
195	7175	29432
196	7202	29359
197	7230	29286
198	7261	29229
199	7289	29158
200	7315	29080
201	7345	29018
202	7373	28947
203	7402	28883
204	7428	28810
205	7460	28755
206	7488	28686
207	7517	28624
208	7550	28577
209	7580	28516
210	7607	28446
211	7636	28383
212	7663	28316
213	7690	28246
214	7719	28184
215	7747	28120
216	7776	28060
217	7804	27997
218	7832	27931
219	7868	27898
220	7908	27875
221	7938	27819
222	7965	27755
223	7992	27688
224	8018	27620
225	8047	27561
226	8073	27494
227	8106	27449
228	8150	27441
229	8207	27475
230	8257	27490
231	8293	27455
232	8330	27423
233	8357	27359
234	8385	27296
235	8412	27232
236	8438	27166
237	8464	27101
238	8493	27044
239	8524	26993
240	8555	26944
241	8584	26889
242	8613	26832
243	8641	26774
244	8668	26712
245	8697	26657
246	8725	26599
247	8750	26534
248	8776	26470
249	8807	26421
250	8844	26392
251	8872	26334
252	8899	26275
253	8935	26244
254	8965	26194
255	8995	26142
256	9022	26084
257	9053	26037
258	9082	25984
259	9107	25922
260	9138	25876
261	9165	25816
262	9191	25758
263	9220	25705
264	9250	25655
265	9284	25620
266	9317	25578
267	9343	25519
268	9374	25474
269	9403	25425
270	9430	25367
271	9456	25310
272	9487	25266
273	9523	25233
274	9560	25204
275	9603	25191
276	9638	25158
277	9668	25110
278	9700	25069
279	9734	25032
280	9762	24980
281	9792	24932
282	9828	24899
283	9858	24855
284	9885	24800
285	9912	24746
286	9947	24713
287	9984	24683
288	10011	24629
289	10041	24583
290	10068	24531
291	10097	24483
292	10124	24429
293	10156	24388
294	10186	24343
295	10212	24288
296	10240	24240
297	10271	24196
298	10298	24144
299	10325	24093
300	10352	24041
301	10379	23990
302	10411	23950
303	10439	23901
304	10468	23853
305	10493	23799
306	10520	23747
307	10551	23707
308	10580	23661
309	10611	23619
310	10641	23575
311	10669	23526
312	10698	23482
313	10728	23438
314	10755	23389
315	10788	23351
316	10821	23314
317	10848	23266
318	10875	23217
319	10903	23170
320	10930	23120
321	10967	23092
322	10997	23050
323	11026	23005
324	11055	22960
325	11083	22914
326	11114	22874
327	11141	22827
328	11168	22779
329	11197	22735
330	11224	22687
331	11252	22640
332	11280	22595
333	11310	22552
334	11337	22505
335	11362	22454
336	11390	22409
337	11425	22378
338	11454	22335
339	11481	22287
340	11515	22254
341	11545	22213
342	11581	22184
343	11609	22138
344	11648	22114
345	11676	22070
346	11707	22031
347	11736	21989
348	11766	21949
349	11804	21921
350	11837	21887
351	11891	21891
352	11928	21863
353	11959	21825
354	12005	21812
355	12038	21778
356	12069	21739
357	12097	21694
358	12128	21655
359	12155	21609
360	12181	21562
361	12207	21514
362	12235	21471
363	12266	21432
364	12292	21385
365	12322	21345
366	12349	21300
367	12377	21256
368	12406	21215
369	12433	21171
370	12461	21127
371	12487	21081
372	12513	21035
373	12543	20994
374	12572	20953
375	12605	20918
376	12632	20875
377	12666	20842
378	12699	20809
379	12728	20766
380	12757	20726
381	12791	20693
382	12819	20651
383	12846	20607
384	12875	20567
385	12902	20523
386	12931	20482
387	12958	20439
