iter	Passed	Remaining
0	242	24009
1	407	19991
2	581	18812
3	754	18114
4	915	17398
5	1082	16965
6	1299	17266
7	1459	16787
8	1637	16552
9	1803	16229
10	1974	15973
11	2139	15689
12	2311	15472
13	2472	15185
14	2643	14982
15	2810	14754
16	2981	14557
17	3139	14300
18	3303	14081
19	3460	13843
20	3627	13646
21	3786	13423
22	3940	13190
23	4096	12972
24	4358	13076
25	4536	12911
26	4704	12720
27	4857	12491
28	5026	12305
29	5183	12094
30	5365	11943
31	5526	11743
32	5690	11552
33	5842	11341
34	5996	11135
35	6199	11021
36	6358	10826
37	6519	10636
38	6684	10454
39	6843	10264
40	7014	10093
41	7175	9909
42	7338	9727
43	7497	9541
44	7664	9367
45	7828	9189
46	7988	9008
47	8146	8825
48	8305	8644
49	8455	8455
50	8632	8293
51	8780	8104
52	8939	7927
53	9098	7750
54	9258	7574
55	9421	7402
56	9573	7222
57	9724	7042
58	9875	6862
59	10033	6688
60	10191	6515
61	10350	6344
62	10502	6168
63	10659	5995
64	10818	5825
65	10976	5654
66	11126	5480
67	11277	5307
68	11428	5134
69	11578	4962
70	11736	4793
71	11888	4623
72	12045	4455
73	12199	4286
74	12358	4119
75	12516	3952
76	12671	3784
77	12819	3615
78	12972	3448
79	13122	3280
80	13279	3114
81	13439	2950
82	13591	2783
83	13740	2617
84	13925	2457
85	14091	2293
86	14249	2129
87	14408	1964
88	14566	1800
89	14717	1635
90	14885	1472
91	15043	1308
92	15200	1144
93	15354	980
94	15510	816
95	15666	652
96	15818	489
97	16065	327
98	16219	163
99	16380	0
