iter	Logloss	Precision
0	0.4418653231	0.986159572
5	0.0877934906	0.9865173763
10	0.04478929605	0.9865220759
15	0.03494474397	0.9879004111
20	0.03107151566	0.9885543571
25	0.0289532703	0.9886354821
30	0.02809548789	0.9892493984
35	0.0266576899	0.9896715073
40	0.02626945574	0.9898640777
45	0.02564542241	0.9900947794
50	0.02528935452	0.9902482614
55	0.02508542532	0.9903636929
60	0.02491992983	0.990441405
65	0.02465778498	0.9905183804
70	0.02444984634	0.9905568725
75	0.02364328816	0.9908645623
80	0.02271262628	0.9911342692
85	0.02196505792	0.9913276814
90	0.02159410878	0.9914044572
95	0.02141325652	0.9915201494
99	0.02111703626	0.9915587194
