iter	Passed	Remaining
0	321	31846
1	532	26098
2	741	23985
3	962	23100
4	1167	22179
5	1378	21602
6	1574	20919
7	1766	20318
8	1962	19838
9	2155	19398
10	2359	19091
11	2553	18727
12	2746	18383
13	2933	18021
14	3129	17734
15	3328	17477
16	3513	17155
17	3729	16989
18	3919	16711
19	4102	16409
20	4292	16148
21	4473	15859
22	4656	15590
23	4851	15362
24	5031	15095
25	5221	14861
26	5398	14596
27	5590	14376
28	5770	14128
29	5954	13893
30	6155	13700
31	6338	13469
32	6520	13238
33	6699	13005
34	6878	12774
35	7067	12565
36	7246	12338
37	7428	12119
38	7615	11911
39	7804	11706
40	7989	11496
41	8167	11279
42	8346	11063
43	8529	10856
44	8714	10651
45	8900	10448
46	9084	10244
47	9268	10040
48	9448	9833
49	9634	9634
50	9817	9432
51	10011	9241
52	10201	9046
53	10383	8845
54	10567	8645
55	10754	8449
56	10933	8248
57	11113	8047
58	11295	7849
59	11477	7651
60	11666	7459
61	11847	7261
62	12029	7064
63	12216	6871
64	12397	6675
65	12582	6481
66	12764	6287
67	12949	6093
68	13134	5900
69	13337	5715
70	13527	5525
71	13710	5331
72	13890	5137
73	14076	4945
74	14255	4751
75	14441	4560
76	14630	4370
77	14813	4178
78	14996	3986
79	15183	3795
80	15371	3605
81	15561	3415
82	15746	3225
83	15931	3034
84	16111	2843
85	16316	2656
86	16497	2465
87	16682	2274
88	16860	2083
89	17042	1893
90	17230	1704
91	17413	1514
92	17606	1325
93	17803	1136
94	17988	946
95	18180	757
96	18369	568
97	18555	378
98	18737	189
99	18948	0
