iter	Passed	Remaining
0	23	23887
1	45	22592
2	66	21953
3	92	22967
4	122	24310
5	154	25578
6	187	26583
7	214	26619
8	262	28875
9	295	29272
10	322	29015
11	342	28206
12	365	27783
13	396	27940
14	421	27710
15	440	27112
16	459	26589
17	478	26109
18	499	25783
19	518	25422
20	538	25102
21	556	24743
22	577	24532
23	598	24355
24	621	24224
25	641	24015
26	661	23821
27	679	23583
28	697	23349
29	717	23198
30	736	23024
31	754	22837
32	773	22674
33	792	22523
34	817	22539
35	839	22483
36	861	22429
37	923	23387
38	950	23414
39	975	23421
40	1000	23409
41	1027	23435
42	1048	23334
43	1069	23244
44	1088	23109
45	1109	23010
46	1133	22993
47	1157	22947
48	1187	23042
49	1207	22947
50	1234	22978
51	1262	23015
52	1282	22920
53	1303	22837
54	1322	22727
55	1344	22657
56	1374	22743
57	1398	22716
58	1419	22638
59	1441	22585
60	1466	22569
61	1494	22613
62	1514	22522
63	1538	22500
64	1561	22465
65	1579	22356
66	1598	22265
67	1618	22182
68	1638	22107
69	1656	22004
70	1674	21912
71	1696	21862
72	1717	21810
73	1735	21721
74	1752	21616
75	1770	21527
76	1789	21445
77	1805	21345
78	1823	21261
79	1840	21161
80	1857	21072
81	1876	21012
82	1901	21002
83	1927	21014
84	1944	20931
85	1965	20892
86	1986	20848
87	2007	20808
88	2041	20892
89	2065	20889
90	2085	20835
91	2108	20805
92	2130	20779
93	2148	20709
94	2168	20655
95	2187	20594
96	2206	20543
97	2225	20479
98	2245	20437
99	2264	20382
100	2284	20331
101	2302	20275
102	2328	20278
103	2351	20259
104	2380	20290
105	2401	20256
106	2420	20202
107	2438	20142
108	2456	20083
109	2474	20021
110	2492	19959
111	2509	19897
112	2527	19837
113	2548	19808
114	2566	19752
115	2584	19694
116	2601	19631
117	2619	19577
118	2637	19527
119	2657	19489
120	2677	19452
121	2696	19409
122	2717	19379
123	2738	19343
124	2760	19321
125	2783	19309
126	2805	19283
127	2823	19236
128	2842	19194
129	2864	19169
130	2890	19172
131	2919	19199
132	2939	19160
133	2958	19119
134	2980	19099
135	3000	19064
136	3020	19026
137	3039	18985
138	3059	18948
139	3079	18916
140	3098	18877
141	3117	18839
142	3136	18797
143	3156	18761
144	3178	18742
145	3198	18709
146	3218	18678
147	3238	18642
148	3256	18597
149	3274	18557
150	3295	18528
151	3314	18488
152	3340	18491
153	3363	18479
154	3386	18462
155	3438	18601
156	3457	18564
157	3478	18535
158	3497	18501
159	3520	18482
160	3537	18437
161	3558	18406
162	3578	18377
163	3598	18343
164	3620	18322
165	3639	18284
166	3658	18248
167	3675	18204
168	3693	18163
169	3717	18150
170	3752	18191
171	3779	18195
172	3803	18181
173	3830	18185
174	3853	18164
175	3872	18130
176	3892	18100
177	3911	18064
178	3939	18069
179	3957	18030
180	3975	17990
181	3993	17949
182	4014	17922
183	4036	17899
184	4055	17865
185	4073	17827
186	4094	17799
187	4112	17764
188	4130	17725
189	4152	17702
190	4170	17664
191	4188	17627
192	4206	17589
193	4225	17554
194	4246	17529
195	4265	17496
196	4283	17459
197	4304	17435
198	4321	17396
199	4345	17381
200	4367	17359
201	4386	17328
202	4407	17303
203	4424	17265
204	4448	17249
205	4466	17216
206	4484	17179
207	4502	17144
208	4520	17108
209	4537	17070
210	4555	17033
211	4574	17004
212	4594	16975
213	4613	16943
214	4633	16918
215	4654	16892
216	4675	16869
217	4697	16849
218	4717	16823
219	4737	16795
220	4758	16773
221	4777	16744
222	4796	16712
223	4815	16683
224	4837	16661
225	4857	16637
226	4883	16630
227	4904	16606
228	4931	16601
229	4952	16578
230	4970	16546
231	4989	16516
232	5007	16484
233	5025	16451
234	5044	16420
235	5069	16412
236	5092	16394
237	5111	16366
238	5129	16333
239	5146	16297
240	5168	16277
241	5190	16258
242	5210	16233
243	5230	16204
244	5249	16176
245	5269	16151
246	5290	16128
247	5311	16105
248	5342	16112
249	5364	16092
250	5384	16068
251	5402	16035
252	5421	16006
253	5437	15971
254	5455	15938
255	5473	15907
256	5492	15878
257	5510	15847
258	5539	15848
259	5557	15818
260	5577	15791
261	5596	15763
262	5617	15741
263	5636	15715
264	5656	15688
265	5678	15669
266	5709	15674
267	5729	15650
268	5751	15629
269	5774	15612
270	5791	15580
271	5813	15558
272	5833	15535
273	5851	15504
274	5869	15474
275	5890	15452
276	5909	15424
277	5928	15396
278	5961	15406
279	5984	15387
280	6001	15357
281	6024	15339
282	6043	15311
283	6061	15282
284	6079	15252
285	6100	15230
286	6120	15206
287	6141	15183
288	6161	15158
289	6182	15137
290	6202	15110
291	6219	15080
292	6239	15054
293	6257	15025
294	6274	14995
295	6292	14965
296	6315	14948
297	6332	14918
298	6352	14892
299	6372	14869
300	6400	14863
301	6421	14841
302	6440	14815
303	6458	14786
304	6476	14756
305	6494	14729
306	6512	14700
307	6529	14670
308	6546	14639
309	6563	14608
310	6580	14579
311	6601	14557
312	6621	14532
313	6640	14507
314	6662	14487
315	6685	14470
316	6707	14451
317	6730	14434
318	6750	14411
319	6773	14394
320	6799	14382
321	6823	14367
322	6841	14339
323	6860	14313
324	6878	14285
325	6899	14264
326	6916	14235
327	6939	14217
328	6977	14230
329	7013	14238
330	7038	14225
331	7060	14205
332	7085	14192
333	7105	14169
334	7125	14144
335	7143	14117
336	7161	14088
337	7179	14061
338	7198	14035
339	7215	14007
340	7236	13984
341	7255	13959
342	7273	13932
343	7294	13910
344	7316	13890
345	7337	13868
346	7360	13851
347	7388	13842
348	7421	13843
349	7480	13893
350	7500	13868
351	7519	13843
352	7539	13819
353	7563	13802
354	7589	13789
355	7613	13773
356	7633	13749
357	7653	13724
358	7672	13699
359	7692	13676
360	7713	13653
361	7733	13629
362	7752	13603
363	7773	13582
364	7797	13564
365	7816	13539
366	7834	13512
367	7857	13495
368	7877	13471
369	7899	13450
370	7922	13432
371	7943	13409
372	7962	13384
373	7997	13386
374	8025	13376
375	8049	13358
376	8071	13339
377	8096	13323
378	8119	13303
379	8143	13287
380	8163	13263
381	8186	13244
382	8207	13221
383	8224	13194
384	8241	13165
385	8259	13138
386	8277	13112
387	8297	13088
388	8318	13065
389	8342	13048
390	8398	13080
391	8425	13068
392	8451	13053
393	8476	13036
394	8498	13016
395	8517	12991
396	8538	12968
397	8564	12954
398	8592	12942
399	8622	12933
400	8644	12912
401	8670	12897
402	8690	12874
403	8713	12854
404	8736	12835
405	8758	12813
406	8784	12798
