iter	Passed	Remaining
0	217	217317
1	260	130107
2	306	101993
3	351	87573
4	416	82867
5	464	77032
6	508	72117
7	557	69132
8	601	66255
9	652	64633
10	694	62461
11	740	60994
12	780	59260
13	821	57827
14	886	58185
15	917	56447
16	951	54999
17	981	53540
18	1012	52296
19	1043	51132
20	1079	50338
21	1110	49348
22	1141	48499
23	1169	47577
24	1196	46679
25	1228	46020
26	1258	45360
27	1285	44638
28	1312	43952
29	1338	43289
30	1369	42819
31	1394	42197
32	1423	41724
33	1448	41157
34	1474	40644
35	1502	40226
36	1527	39753
37	1553	39321
38	1583	39008
39	1617	38808
40	1647	38544
41	1673	38175
42	1700	37846
43	1729	37583
44	1755	37256
45	1780	36919
46	1809	36693
47	1836	36425
48	1862	36144
49	1888	35875
50	1917	35685
51	1942	35414
52	1968	35170
53	1994	34936
54	2025	34802
55	2056	34671
56	2084	34492
57	2116	34372
58	2152	34333
59	2178	34132
60	2206	33958
61	2232	33777
62	2262	33654
63	2287	33455
64	2313	33277
65	2343	33167
66	2370	33004
67	2394	32824
68	2420	32655
69	2452	32577
70	2479	32441
71	2506	32312
72	2535	32201
73	2560	32043
74	2586	31904
75	2614	31781
76	2639	31640
77	2677	31653
78	2703	31519
79	2733	31436
80	2759	31304
81	2784	31175
82	2809	31042
83	2834	30908
84	2862	30813
85	2891	30731
86	2919	30634
87	2949	30568
88	2974	30442
89	3001	30348
90	3028	30254
91	3057	30180
92	3088	30121
93	3118	30056
94	3148	29996
95	3180	29951
96	3208	29869
97	3233	29765
98	3259	29665
99	3285	29567
100	3312	29482
101	3341	29418
102	3369	29345
103	3395	29250
104	3420	29155
105	3446	29063
106	3472	28979
107	3510	28995
108	3536	28906
109	3564	28843
110	3592	28776
111	3619	28694
112	3644	28610
113	3669	28516
114	3693	28427
115	3723	28372
116	3755	28344
117	3785	28296
118	3815	28248
119	3840	28164
120	3865	28080
121	3891	28003
122	3916	27926
123	3942	27850
124	3967	27772
125	3999	27741
126	4030	27703
127	4060	27665
128	4087	27595
129	4112	27518
130	4137	27444
