iter	Passed	Remaining
0	140	34874
1	234	29114
2	327	26946
3	411	25284
4	490	24047
5	572	23293
6	662	22984
7	742	22449
8	822	22035
9	907	21771
10	997	21675
11	1073	21295
12	1155	21074
13	1229	20730
14	1318	20664
15	1409	20611
16	1482	20323
17	1559	20097
18	1648	20041
19	1729	19891
20	1806	19703
21	1880	19491
22	1956	19305
23	2034	19162
24	2114	19033
25	2203	18981
26	2278	18817
27	2373	18815
28	2448	18656
29	2520	18483
30	2606	18413
31	2683	18281
32	2754	18111
33	2834	18007
34	2907	17859
35	2988	17762
36	3106	17883
37	3182	17757
38	3268	17682
39	3361	17649
40	3448	17580
41	3526	17463
42	3611	17385
43	3689	17273
44	3771	17179
45	3857	17107
46	3936	17001
47	4014	16893
48	4098	16811
49	4174	16699
50	4255	16606
51	4336	16511
52	4410	16393
53	4485	16279
54	4560	16168
55	4643	16086
56	4723	15992
57	4799	15889
58	4876	15787
59	4956	15695
60	5035	15600
61	5110	15494
62	5187	15397
63	5262	15294
64	5335	15185
65	5419	15108
66	5492	15001
67	5566	14897
68	5637	14787
69	5713	14691
70	5791	14602
71	5866	14502
72	5938	14398
73	6025	14331
74	6114	14266
75	6198	14192
76	6271	14089
77	6343	13987
78	6413	13881
79	6490	13791
80	6571	13710
81	6646	13617
82	6727	13535
83	6809	13456
84	6885	13366
85	6972	13297
86	7060	13228
87	7142	13149
88	7219	13060
89	7290	12960
90	7369	12876
91	7439	12777
92	7511	12680
93	7583	12584
94	7660	12498
95	7744	12424
96	7830	12350
97	7908	12265
98	7977	12167
99	8048	12072
100	8131	11996
101	8207	11908
102	8280	11817
103	8390	11779
104	8460	11683
105	8539	11600
106	8616	11515
107	8694	11431
108	8769	11344
109	8841	11252
110	8918	11168
111	8991	11078
112	9063	10988
113	9133	10895
114	9211	10813
115	9290	10732
116	9362	10642
117	9434	10554
118	9509	10467
119	9586	10385
120	9666	10305
121	9737	10216
122	9807	10126
123	9883	10043
124	9956	9956
125	10032	9872
126	10101	9783
127	10171	9695
128	10248	9612
129	10317	9524
130	10400	9447
131	10481	9370
132	10550	9281
133	10626	9199
134	10706	9120
135	10786	9041
136	10867	8963
137	10938	8877
138	11007	8790
139	11077	8703
140	11157	8625
141	11232	8543
142	11304	8458
143	11377	8375
144	11446	8288
145	11520	8206
146	11595	8124
147	11668	8041
148	11744	7960
149	11818	7879
150	11893	7797
151	11966	7715
152	12038	7632
153	12107	7547
154	12177	7463
155	12262	7389
156	12335	7307
157	12406	7223
158	12477	7141
159	12549	7059
160	12630	6981
161	12702	6900
162	12773	6817
163	12849	6737
164	12924	6657
165	13013	6584
166	13087	6504
167	13167	6427
168	13270	6360
169	13350	6282
170	13430	6204
171	13504	6124
172	13575	6042
173	13647	5960
174	13723	5881
175	13800	5802
176	13882	5725
177	13951	5643
178	14022	5562
179	14096	5481
180	14169	5401
181	14240	5320
182	14319	5242
183	14393	5162
184	14470	5084
185	14549	5006
186	14619	4925
187	14697	4847
188	14769	4766
189	14843	4687
190	14921	4609
191	14998	4530
192	15067	4450
193	15140	4370
194	15213	4290
195	15294	4213
196	15368	4134
197	15440	4055
198	15510	3975
199	15580	3895
200	15663	3818
201	15740	3740
202	15823	3663
203	15899	3585
204	15970	3505
205	16048	3427
206	16119	3348
207	16192	3269
208	16263	3190
209	16344	3113
210	16424	3035
211	16495	2956
212	16567	2877
213	16639	2799
214	16712	2720
215	16793	2643
216	16864	2564
217	16937	2486
218	17010	2407
219	17091	2330
220	17169	2253
221	17240	2174
222	17315	2096
223	17387	2018
224	17463	1940
225	17549	1863
226	17628	1786
227	17702	1708
228	17772	1629
229	17845	1551
230	17927	1474
231	18002	1396
232	18084	1319
233	18158	1241
234	18230	1163
235	18309	1086
236	18386	1008
237	18462	930
238	18533	853
239	18607	775
240	18685	697
241	18757	620
242	18833	542
243	18908	464
244	18980	387
245	19062	309
246	19133	232
247	19205	154
248	19278	77
249	19358	0
