iter	Passed	Remaining
0	298	74433
1	401	49787
2	517	42638
3	623	38332
4	726	35622
5	841	34238
6	943	32741
7	1034	31301
8	1127	30181
9	1226	29427
10	1321	28716
11	1418	28139
12	1509	27526
13	1597	26931
14	1684	26383
15	1783	26081
16	1865	25570
17	1949	25127
18	2034	24737
19	2121	24391
20	2217	24178
21	2305	23888
22	2395	23647
23	2482	23379
24	2567	23107
25	2656	22887
26	2734	22585
27	2822	22382
28	2900	22101
29	2988	21915
30	3078	21747
31	3156	21506
32	3234	21267
33	3315	21062
34	3397	20869
35	3483	20708
36	3568	20540
37	3652	20375
38	3733	20196
39	3831	20113
40	3922	19997
41	4000	19813
42	4082	19650
43	4159	19471
44	4235	19296
45	4320	19159
46	4398	18997
47	4476	18840
48	4560	18708
49	4641	18566
50	4723	18431
51	4806	18299
52	4887	18168
53	4963	18017
54	5051	17909
55	5138	17801
56	5216	17661
57	5303	17555
58	5387	17442
59	5476	17340
60	5568	17251
61	5646	17122
62	5724	16991
63	5840	16975
64	5918	16844
65	6002	16734
66	6081	16609
67	6160	16489
68	6241	16373
69	6331	16279
70	6426	16203
71	6503	16078
72	6585	15967
73	6663	15849
74	6740	15726
75	6827	15631
76	6908	15522
77	6992	15418
78	7073	15311
79	7155	15206
80	7242	15110
81	7330	15018
82	7415	14920
83	7499	14820
84	7591	14736
85	7678	14643
86	7767	14552
87	7850	14451
88	7930	14347
89	8012	14244
90	8105	14163
91	8183	14053
92	8261	13946
93	8347	13853
94	8428	13751
95	8515	13659
96	8602	13568
97	8693	13483
98	8778	13388
99	8864	13296
100	8958	13216
101	9039	13115
102	9120	13017
103	9203	12920
104	9283	12820
105	9373	12733
106	9454	12634
107	9539	12542
108	9631	12458
109	9712	12361
110	9799	12270
111	9887	12182
112	9969	12086
113	10064	12007
114	10152	11917
115	10244	11833
116	10323	11735
117	10414	11650
118	10508	11568
119	10601	11484
120	10699	11406
121	10783	11313
122	10921	11276
123	11004	11181
124	11085	11085
125	11187	11009
126	11272	10917
127	11351	10819
128	11439	10730
129	11517	10631
130	11611	10547
131	11698	10457
132	11781	10364
133	11862	10269
134	11956	10184
135	12045	10097
136	12129	10004
137	12215	9914
138	12305	9826
139	12384	9730
140	12479	9647
141	12563	9555
142	12647	9463
143	12741	9379
144	12831	9292
145	12933	9212
146	13034	9132
147	13117	9040
148	13207	8952
149	13300	8866
150	13383	8774
151	13464	8681
152	13549	8590
153	13634	8499
154	13721	8409
155	13814	8324
156	13893	8229
157	13980	8140
158	14067	8051
159	14155	7962
160	14243	7873
161	14324	7781
162	14409	7691
163	14494	7600
164	14574	7507
165	14663	7420
166	14744	7328
167	14828	7237
168	14915	7148
169	15003	7060
170	15127	6988
171	15207	6896
172	15288	6804
173	15375	6715
174	15459	6625
175	15547	6536
176	15634	6448
177	15715	6356
178	15797	6266
179	15876	6174
180	15967	6086
181	16045	5994
182	16125	5903
183	16204	5812
184	16284	5721
185	16370	5632
186	16450	5542
187	16528	5450
188	16610	5360
189	16694	5271
190	16778	5182
191	16863	5094
192	16941	5003
193	17025	4914
194	17105	4824
195	17196	4737
196	17276	4647
197	17361	4559
198	17447	4471
199	17536	4384
200	17633	4298
201	17727	4212
202	17812	4124
203	17893	4034
204	17979	3946
205	18081	3862
206	18168	3774
207	18248	3684
208	18344	3598
209	18426	3509
210	18518	3422
211	18614	3336
212	18700	3248
213	18791	3161
214	18879	3073
215	18971	2986
216	19056	2897
217	19143	2810
218	19232	2722
219	19317	2634
220	19414	2547
221	19496	2459
222	19590	2371
223	19674	2283
224	19760	2195
225	19850	2108
226	19934	2019
227	20017	1931
228	20104	1843
229	20190	1755
230	20290	1668
231	20371	1580
232	20452	1492
233	20536	1404
234	20625	1316
235	20718	1229
236	20804	1141
237	20886	1053
238	20975	965
239	21059	877
240	21152	789
241	21234	701
242	21323	614
243	21402	526
244	21483	438
245	21588	351
246	21672	263
247	21753	175
248	21833	87
249	21919	0
