iter	Passed	Remaining
0	210	209858
1	257	128638
2	300	99725
3	353	88049
4	395	78632
5	440	72988
6	485	68812
7	526	65299
8	592	65258
9	638	63227
10	680	61159
11	721	59365
12	762	57875
13	799	56304
14	846	55576
15	892	54894
16	930	53778
17	967	52761
18	1047	54085
19	1083	53110
20	1121	52296
21	1164	51763
22	1199	50963
23	1231	50081
24	1265	49369
25	1302	48810
26	1352	48724
27	1388	48198
28	1428	47819
29	1460	47223
30	1484	46402
31	1509	45658
32	1533	44944
33	1561	44375
34	1591	43866
35	1616	43292
36	1641	42728
37	1669	42264
38	1695	41785
39	1728	41486
40	1768	41357
41	1805	41171
42	1837	40891
43	1863	40491
44	1889	40099
45	1914	39711
46	1939	39330
47	1965	38978
48	1998	38787
49	2029	38556
50	2057	38276
51	2087	38061
52	2114	37773
53	2140	37504
54	2169	37283
55	2208	37224
56	2247	37176
57	2282	37077
58	2308	36812
59	2345	36753
60	2374	36549
61	2403	36356
62	2430	36150
63	2462	36013
64	2487	35775
65	2512	35550
66	2538	35355
67	2565	35167
68	2592	34984
69	2617	34775
70	2644	34600
71	2675	34478
72	2701	34305
73	2728	34140
74	2756	33995
75	2795	33981
76	2831	33946
77	2866	33879
78	2904	33858
79	2954	33972
80	2986	33885
81	3018	33792
82	3049	33693
83	3079	33585
84	3113	33510
85	3144	33420
86	3176	33336
87	3206	33235
88	3240	33171
89	3268	33049
90	3299	32956
91	3338	32948
92	3371	32881
93	3401	32783
94	3428	32659
95	3456	32546
96	3484	32436
97	3513	32341
98	3548	32298
99	3576	32192
100	3608	32117
101	3637	32024
102	3665	31918
103	3691	31806
104	3719	31706
105	3750	31629
106	3781	31558
107	3820	31557
108	3850	31471
109	3878	31380
110	3906	31284
111	3937	31215
112	3963	31112
113	3988	31000
114	4016	30906
115	4046	30834
116	4073	30739
117	4099	30642
118	4129	30568
119	4163	30528
120	4196	30484
121	4231	30454
122	4258	30366
123	4285	30274
124	4314	30199
125	4342	30118
126	4368	30027
127	4400	29979
128	4429	29908
129	4457	29831
130	4489	29780
131	4517	29709
132	4553	29682
133	4580	29599
134	4617	29584
135	4649	29538
136	4687	29527
137	4714	29445
138	4746	29402
139	4774	29332
140	4815	29339
141	4851	29312
142	4885	29278
143	4929	29304
144	4959	29241
145	4986	29167
146	5011	29080
147	5041	29025
148	5070	28959
149	5097	28885
150	5123	28808
151	5148	28725
152	5177	28660
153	5203	28583
154	5253	28637
155	5304	28699
156	5331	28629
157	5361	28571
