iter	Passed	Remaining
0	87	21799
1	165	20581
2	242	19954
3	325	19995
4	398	19541
5	478	19454
6	550	19122
7	619	18751
8	700	18750
9	785	18858
10	864	18783
11	931	18479
12	1002	18279
13	1070	18050
14	1134	17766
15	1211	17713
16	1281	17567
17	1353	17442
18	1417	17231
19	1487	17103
20	1557	16983
21	1623	16825
22	1692	16699
23	1761	16583
24	1826	16435
25	1894	16325
26	1959	16186
27	2034	16132
28	2098	15994
29	2163	15866
30	2235	15792
31	2304	15698
32	2368	15575
33	2433	15457
34	2498	15349
35	2574	15305
36	2642	15212
37	2703	15085
38	2767	14975
39	2833	14876
40	2904	14804
41	2974	14728
42	3042	14644
43	3113	14576
44	3180	14488
45	3252	14423
46	3322	14348
47	3397	14298
48	3466	14217
49	3530	14123
50	3606	14072
51	3675	13995
52	3744	13918
53	3808	13823
54	3874	13737
55	3941	13655
56	4006	13565
57	4072	13482
58	4138	13397
59	4202	13308
60	4271	13235
61	4333	13139
62	4400	13062
63	4466	12979
64	4528	12888
65	4600	12826
66	4670	12757
67	4737	12678
68	4800	12591
69	4862	12503
70	4935	12442
71	5003	12368
72	5072	12298
73	5139	12224
74	5206	12147
75	5282	12094
76	5352	12026
77	5415	11942
78	5482	11867
79	5546	11787
80	5623	11732
81	5692	11662
82	5759	11589
83	5830	11522
84	5901	11454
85	5986	11415
86	6072	11377
87	6151	11325
88	6226	11263
89	6300	11200
90	6377	11142
91	6448	11074
92	6517	11002
93	6588	10933
94	6661	10868
95	6753	10833
96	6819	10756
97	6885	10680
98	6947	10596
99	7015	10523
100	7085	10452
101	7157	10385
102	7223	10309
103	7316	10270
104	7378	10189
105	7450	10121
106	7515	10043
107	7580	9966
108	7647	9892
109	7716	9821
110	7785	9749
111	7848	9670
112	7912	9593
113	7977	9517
114	8047	9447
115	8118	9377
116	8180	9299
117	8247	9225
118	8311	9149
119	8372	9069
120	8442	9000
121	8506	8924
122	8571	8849
123	8646	8786
124	8713	8713
125	8781	8642
126	8844	8565
127	8909	8491
128	8977	8420
129	9047	8351
130	9115	8280
131	9180	8206
132	9248	8135
133	9311	8060
134	9377	7987
135	9443	7916
136	9509	7843
137	9573	7769
138	9636	7695
139	9699	7620
140	9768	7551
141	9838	7483
142	9906	7412
143	9971	7340
144	10039	7270
145	10109	7201
146	10170	7126
147	10233	7052
148	10299	6981
149	10364	6909
150	10430	6838
151	10492	6764
152	10559	6694
153	10623	6622
154	10685	6549
155	10752	6479
156	10820	6409
157	10885	6338
158	10948	6266
159	11016	6196
160	11095	6133
161	11159	6061
162	11224	5990
163	11288	5919
164	11357	5850
165	11427	5782
166	11496	5713
167	11558	5641
168	11622	5570
169	11689	5500
170	11761	5433
171	11824	5362
172	11887	5290
173	11952	5220
174	12018	5150
175	12090	5083
176	12154	5013
177	12271	4963
178	12353	4900
179	12425	4832
180	12517	4772
181	12601	4708
182	12681	4643
183	12759	4576
184	12840	4511
185	12924	4447
186	13004	4381
187	13085	4315
188	13162	4248
189	13230	4178
190	13331	4118
191	13407	4050
192	13503	3988
193	13586	3921
194	13677	3857
195	13774	3795
196	13857	3728
197	14087	3699
198	14222	3644
199	14335	3583
200	14431	3518
201	14509	3447
202	14586	3377
203	14655	3304
204	14722	3231
205	14795	3160
206	14861	3087
207	14929	3014
208	14993	2941
209	15059	2868
210	15135	2797
211	15200	2724
212	15276	2653
213	15350	2582
214	15427	2511
215	15509	2441
216	15580	2369
217	15649	2297
218	15717	2224
219	15785	2152
220	15862	2081
221	15931	2009
222	16001	1937
223	16071	1865
224	16140	1793
225	16217	1722
226	16287	1650
227	16364	1578
228	16437	1507
229	16514	1436
230	16593	1364
231	16667	1293
232	16736	1221
233	16801	1148
234	16862	1076
235	16933	1004
236	16999	932
237	17063	860
238	17139	788
239	17213	717
240	17295	645
241	17400	575
242	17463	503
243	17531	431
244	17596	359
245	17673	287
246	17743	215
247	17814	143
248	17880	71
249	17947	0
