iter	Passed	Remaining
0	169	42282
1	271	33698
2	366	30185
3	464	28586
4	576	28240
5	660	26847
6	743	25804
7	823	24903
8	900	24116
9	986	23669
10	1066	23173
11	1142	22659
12	1218	22214
13	1299	21903
14	1372	21507
15	1454	21268
16	1531	20986
17	1605	20699
18	1685	20491
19	1759	20237
20	1837	20042
21	1914	19841
22	1988	19626
23	2066	19458
24	2136	19232
25	2217	19103
26	2289	18906
27	2364	18750
28	2436	18570
29	2506	18380
30	2589	18291
31	2660	18126
32	2737	18003
33	2812	17867
34	2888	17742
35	2967	17637
36	3044	17526
37	3117	17389
38	3189	17255
39	3263	17130
40	3342	17037
41	3420	16940
42	3493	16816
43	3563	16681
44	3634	16558
45	3711	16457
46	3781	16334
47	3861	16251
48	3939	16159
49	4017	16068
50	4100	15998
51	4189	15953
52	4267	15863
53	4350	15791
54	4430	15709
55	4516	15646
56	4589	15538
57	4660	15427
58	4730	15312
59	4803	15210
60	4879	15119
61	4960	15042
62	5035	14947
63	5115	14867
64	5193	14780
65	5285	14734
66	5371	14670
67	5453	14595
68	5523	14488
69	5596	14389
70	5684	14332
71	5752	14222
72	5822	14116
73	5898	14028
74	5977	13947
75	6055	13864
76	6129	13771
77	6197	13667
78	6265	13562
79	6338	13470
80	6412	13379
81	6486	13290
82	6557	13194
83	6631	13104
84	6704	13014
85	6782	12933
86	6853	12839
87	6921	12742
88	7031	12719
89	7099	12621
90	7175	12537
91	7244	12442
92	7317	12353
93	7387	12259
94	7459	12171
95	7536	12090
96	7616	12012
97	7686	11922
98	7763	11841
99	7835	11752
100	7915	11677
101	7996	11602
102	8068	11514
103	8140	11427
104	8214	11344
105	8289	11260
106	8360	11173
107	8431	11086
108	8500	10996
109	8570	10908
110	8650	10832
111	8725	10750
112	8801	10671
113	8878	10591
114	8950	10506
115	9040	10443
116	9115	10362
117	9189	10279
118	9267	10202
119	9346	10124
120	9426	10050
121	9498	9965
122	9570	9882
123	9644	9799
124	9718	9718
125	9799	9644
126	9877	9566
127	9957	9490
128	10042	9419
129	10117	9339
130	10200	9265
131	10276	9186
132	10350	9105
133	10423	9023
134	10494	8939
135	10579	8867
136	10662	8794
137	10744	8720
138	10827	8646
139	10908	8570
140	10988	8494
141	11076	8424
142	11156	8347
143	11229	8266
144	11299	8182
145	11378	8105
146	11450	8022
147	11520	7939
148	11589	7855
149	11664	7776
150	11739	7696
151	11810	7614
152	11879	7531
153	11954	7451
154	12026	7371
155	12111	7298
156	12182	7216
157	12253	7134
158	12323	7052
159	12398	6974
160	12471	6894
161	12540	6812
162	12617	6734
163	12689	6654
164	12765	6575
165	12847	6500
166	12918	6420
167	12991	6341
168	13073	6265
169	13147	6186
170	13252	6122
171	13326	6043
172	13404	5966
173	13476	5886
174	13552	5808
175	13631	5731
176	13703	5651
177	13774	5571
178	13849	5493
179	13917	5412
180	14003	5338
181	14076	5259
182	14153	5181
183	14229	5103
184	14319	5031
185	14411	4958
186	14484	4879
187	14562	4802
188	14634	4723
189	14711	4645
190	14794	4570
191	14875	4493
192	14955	4416
193	15037	4340
194	15123	4265
195	15205	4189
196	15278	4110
197	15351	4031
198	15420	3951
199	15492	3873
200	15568	3795
201	15637	3715
202	15706	3636
203	15780	3558
204	15856	3480
205	15939	3404
206	16016	3327
207	16095	3250
208	16168	3171
209	16241	3093
210	16315	3015
211	16385	2937
212	16456	2858
213	16525	2779
214	16596	2701
215	16674	2624
216	16744	2546
217	16815	2468
218	16893	2391
219	16968	2313
220	17052	2237
221	17126	2160
222	17201	2082
223	17279	2005
224	17353	1928
225	17436	1851
226	17514	1774
227	17588	1697
228	17664	1619
229	17736	1542
230	17819	1465
231	17893	1388
232	17971	1311
233	18050	1234
234	18129	1157
235	18213	1080
236	18286	1003
237	18357	925
238	18429	848
239	18505	771
240	18582	693
241	18655	616
242	18729	539
243	18799	462
244	18873	385
245	18954	308
246	19022	231
247	19115	154
248	19194	77
249	19269	0
