iter	Passed	Remaining
0	25	25074
1	45	22470
2	64	21531
3	84	21072
4	105	20945
5	127	21082
6	149	21246
7	171	21281
8	196	21598
9	219	21713
10	243	21868
11	262	21641
12	282	21467
13	306	21558
14	326	21450
15	346	21296
16	366	21199
17	387	21155
18	406	20975
19	427	20970
20	447	20876
21	467	20795
22	486	20668
23	507	20634
24	525	20503
25	545	20435
26	562	20288
27	583	20257
28	603	20207
29	621	20093
30	646	20194
31	667	20203
32	686	20122
33	707	20110
34	728	20083
35	747	20008
36	766	19944
37	782	19820
38	803	19808
39	825	19812
40	843	19739
41	864	19723
42	883	19653
43	903	19638
44	927	19681
45	951	19732
46	972	19725
47	993	19704
48	1012	19644
49	1029	19560
50	1045	19460
51	1062	19365
52	1078	19279
53	1098	19242
54	1116	19190
55	1133	19112
56	1150	19032
57	1167	18965
58	1184	18888
59	1200	18811
60	1217	18749
61	1234	18675
62	1254	18655
63	1271	18592
64	1288	18537
65	1309	18526
66	1327	18482
67	1350	18505
68	1370	18497
69	1387	18433
70	1404	18377
71	1420	18314
72	1439	18275
73	1461	18283
74	1479	18248
75	1499	18232
76	1520	18222
77	1537	18169
78	1553	18107
79	1569	18053
80	1586	18001
81	1602	17942
82	1619	17887
83	1635	17833
84	1653	17797
85	1671	17759
86	1687	17710
87	1704	17660
88	1752	17939
89	1771	17908
90	1787	17854
91	1805	17817
92	1823	17783
93	1840	17739
94	1857	17693
95	1874	17652
96	1892	17620
97	1913	17608
98	1930	17570
99	1946	17519
100	1965	17497
101	1985	17478
102	2002	17437
103	2021	17418
104	2038	17375
105	2056	17346
106	2073	17302
107	2089	17255
108	2105	17212
109	2122	17175
110	2139	17134
111	2155	17087
112	2171	17046
113	2190	17027
114	2208	16994
115	2224	16952
116	2241	16913
117	2257	16874
118	2274	16840
119	2291	16801
120	2307	16763
121	2326	16740
122	2345	16722
123	2362	16691
124	2381	16667
125	2398	16639
126	2418	16626
127	2436	16598
128	2452	16560
129	2469	16523
130	2485	16487
131	2503	16460
132	2521	16436
133	2541	16423
134	2561	16413
135	2586	16428
136	2609	16439
137	2629	16422
138	2645	16389
139	2662	16352
140	2678	16320
141	2697	16300
142	2714	16265
143	2731	16238
144	2749	16212
145	2767	16189
146	2784	16160
147	2804	16142
148	2824	16132
149	2846	16130
150	2868	16126
151	2887	16108
152	2908	16100
153	2936	16129
154	2954	16105
155	2971	16075
156	2988	16047
157	3006	16020
158	3026	16009
159	3046	15992
160	3066	15978
161	3082	15947
162	3100	15920
163	3117	15892
164	3134	15862
165	3151	15833
166	3168	15805
167	3185	15775
168	3202	15745
169	3219	15720
170	3238	15699
171	3258	15686
172	3276	15662
173	3293	15634
174	3311	15612
175	3331	15595
176	3351	15583
177	3368	15557
178	3387	15535
179	3403	15506
180	3420	15477
181	3437	15449
182	3455	15428
183	3475	15411
184	3493	15392
185	3511	15365
186	3528	15340
187	3545	15314
188	3562	15284
189	3578	15256
190	3596	15232
191	3612	15203
192	3628	15172
193	3644	15141
194	3660	15111
195	3679	15092
196	3700	15081
197	3718	15062
198	3736	15038
199	3754	15016
200	3771	14991
201	3790	14975
202	3808	14954
203	3826	14928
204	3842	14900
205	3859	14874
206	3876	14850
207	3893	14825
208	3913	14810
209	3939	14820
210	3957	14796
211	3973	14771
212	3992	14749
213	4008	14723
214	4027	14703
215	4043	14676
216	4059	14649
217	4076	14623
218	4094	14602
219	4110	14574
220	4131	14564
221	4151	14547
222	4167	14520
223	4184	14495
224	4202	14474
225	4218	14447
226	4234	14420
227	4251	14396
228	4267	14369
229	4284	14343
230	4301	14319
231	4318	14296
232	4338	14280
233	4356	14261
234	4375	14244
235	4393	14223
236	4410	14197
237	4428	14177
238	4444	14152
239	4462	14131
240	4480	14109
241	4497	14088
242	4515	14065
243	4532	14043
244	4548	14016
245	4570	14007
246	4587	13986
247	4605	13965
248	4621	13939
249	4638	13915
250	4657	13897
251	4674	13875
252	4692	13853
253	4708	13829
254	4724	13803
255	4742	13783
256	4761	13764
257	4779	13745
258	4800	13734
259	4819	13715
260	4835	13691
261	4852	13669
262	4869	13645
263	4886	13623
264	4903	13599
265	4921	13579
266	5037	13828
267	5056	13810
268	5072	13784
269	5089	13760
270	5107	13739
271	5123	13713
272	5140	13688
273	5157	13664
274	5173	13639
275	5191	13617
276	5208	13595
277	5225	13571
278	5242	13547
279	5263	13533
280	5282	13515
281	5299	13492
282	5315	13467
283	5333	13445
284	5349	13420
285	5367	13399
286	5384	13376
287	5402	13356
288	5419	13333
289	5437	13311
290	5458	13298
291	5477	13280
292	5496	13264
293	5514	13241
294	5531	13220
295	5547	13195
296	5564	13171
297	5582	13149
298	5598	13126
299	5615	13101
300	5631	13078
301	5648	13054
302	5664	13030
303	5680	13006
304	5701	12992
305	5718	12970
306	5737	12950
307	5753	12925
308	5769	12901
309	5788	12884
310	5805	12861
311	5824	12844
312	5841	12821
313	5857	12796
314	5873	12773
315	5891	12752
316	5911	12736
317	5928	12715
318	5947	12696
319	5964	12674
320	5980	12651
321	5997	12629
322	6015	12607
323	6047	12617
324	6061	12589
325	6076	12564
326	6092	12539
327	6107	12512
328	6121	12485
329	6137	12461
330	6155	12440
331	6169	12413
332	6183	12386
333	6198	12359
334	6212	12332
335	6227	12306
336	6241	12279
337	6255	12252
338	6270	12226
339	6285	12200
340	6299	12173
341	6313	12146
342	6327	12119
343	6342	12095
344	6358	12072
345	6374	12048
346	6389	12023
347	6404	11998
348	6419	11973
349	6433	11948
350	6448	11923
351	6467	11906
352	6482	11882
353	6497	11856
354	6512	11833
355	6527	11808
356	6542	11783
357	6589	11816
358	6604	11792
359	6621	11770
360	6637	11749
361	6652	11724
362	6669	11704
363	6687	11683
364	6704	11663
365	6722	11645
366	6739	11624
367	6761	11612
368	6780	11594
369	6797	11574
370	6814	11554
371	6831	11532
372	6848	11512
373	6864	11490
374	6883	11471
375	6899	11450
376	6917	11430
377	6933	11409
378	6950	11388
379	6968	11368
380	6988	11353
381	7006	11335
382	7026	11318
383	7058	11322
384	7074	11301
385	7091	11280
386	7107	11258
387	7124	11237
388	7140	11215
389	7157	11194
390	7173	11172
391	7189	11151
392	7207	11131
393	7227	11115
394	7245	11097
395	7262	11076
396	7280	11058
397	7297	11037
398	7313	11016
399	7330	10995
400	7347	10974
401	7364	10955
402	7381	10935
403	7396	10911
404	7416	10895
405	7434	10876
406	7452	10857
407	7472	10842
408	7490	10823
409	7506	10802
410	7524	10783
411	7541	10762
412	7555	10738
413	7572	10718
414	7586	10694
415	7603	10673
416	7617	10650
417	7634	10630
418	7652	10610
419	7671	10593
420	7687	10572
421	7705	10554
422	7722	10534
423	7739	10514
424	7756	10494
425	7776	10477
426	7794	10458
427	7811	10440
428	7828	10419
429	7844	10398
430	7865	10383
431	7882	10364
432	7899	10343
433	7916	10324
434	7932	10303
435	7950	10284
436	7969	10266
437	7984	10245
438	8000	10224
439	8017	10204
440	8036	10186
441	8063	10179
442	8086	10167
443	8104	10149
444	8120	10127
