iter	Passed	Remaining
0	191	191353
1	234	117169
2	279	92759
3	326	81181
4	367	73147
5	410	68066
6	452	64148
7	493	61204
8	537	59179
9	599	59328
10	640	57556
11	675	55616
12	714	54209
13	752	52989
14	789	51845
15	831	51124
16	874	50545
17	913	49838
18	954	49274
19	991	48562
20	1072	49988
21	1110	49355
22	1134	48209
23	1161	47254
24	1191	46452
25	1215	45523
26	1239	44667
27	1263	43861
28	1288	43130
29	1320	42686
30	1345	42070
31	1379	41718
32	1409	41312
33	1434	40766
34	1461	40307
35	1495	40042
36	1520	39562
37	1552	39291
38	1577	38861
39	1602	38457
40	1627	38058
41	1654	37742
42	1684	37484
43	1713	37239
44	1738	36891
45	1766	36644
46	1797	36448
47	1827	36251
48	1851	35943
49	1876	35651
50	1900	35371
51	1926	35122
52	1950	34850
53	1976	34630
54	2004	34440
55	2032	34259
56	2058	34057
57	2083	33831
58	2110	33663
59	2135	33454
60	2163	33299
61	2190	33146
62	2223	33076
63	2253	32956
64	2278	32773
65	2305	32624
66	2331	32466
67	2356	32301
68	2380	32122
69	2410	32031
70	2435	31872
71	2463	31752
72	2495	31690
73	2524	31592
74	2549	31448
75	2574	31304
76	2599	31161
77	2629	31076
78	2659	31000
79	2684	30872
80	2709	30746
81	2733	30605
82	2758	30478
83	2785	30378
84	2810	30259
85	2848	30273
86	2874	30165
87	2898	30036
88	2921	29908
89	2946	29787
90	2972	29692
91	2996	29572
92	3020	29456
93	3046	29362
94	3073	29279
95	3103	29221
96	3129	29135
97	3158	29066
98	3185	28986
99	3211	28903
100	3237	28813
101	3271	28798
102	3298	28725
103	3325	28650
104	3350	28555
105	3376	28478
106	3401	28389
107	3429	28321
108	3453	28230
109	3481	28167
110	3509	28111
111	3539	28066
112	3565	27991
113	3589	27900
114	3613	27809
115	3638	27725
116	3663	27645
117	3687	27564
118	3712	27481
119	3740	27427
120	3765	27354
121	3789	27272
122	3813	27190
123	3845	27165
124	3870	27096
125	3894	27014
126	3918	26933
127	3942	26858
128	3971	26812
129	3996	26744
130	4023	26689
131	4050	26636
132	4074	26564
133	4100	26498
134	4124	26425
135	4149	26359
136	4176	26311
137	4200	26238
138	4224	26166
139	4250	26110
140	4278	26064
141	4302	25994
142	4327	25936
143	4352	25875
144	4383	25849
145	4409	25794
146	4434	25729
147	4461	25684
148	4486	25623
149	4515	25589
150	4541	25534
151	4567	25484
152	4594	25432
153	4621	25386
154	4649	25348
155	4674	25287
156	4698	25225
157	4722	25167
158	4751	25129
159	4778	25089
160	4807	25052
161	4833	25004
162	4869	25004
163	4904	24999
164	4928	24939
165	4952	24884
166	4978	24834
167	5005	24790
168	5032	24744
169	5056	24688
170	5081	24635
171	5105	24579
172	5130	24523
173	5157	24482
174	5182	24430
175	5205	24372
176	5235	24341
177	5262	24303
178	5290	24267
179	5329	24276
180	5356	24239
181	5381	24188
182	5408	24145
183	5432	24090
184	5462	24064
185	5492	24034
186	5518	23992
187	5542	23939
188	5566	23886
189	5592	23839
190	5615	23786
191	5641	23742
192	5668	23700
193	5696	23668
194	5722	23622
195	5748	23581
196	5772	23529
197	5799	23492
198	5823	23440
199	5849	23398
200	5873	23349
201	5914	23365
202	5943	23333
203	5967	23284
204	5991	23234
205	6015	23187
206	6039	23137
207	6068	23108
208	6096	23072
209	6120	23025
210	6146	22985
211	6170	22936
212	6194	22888
213	6235	22903
214	6262	22866
215	6286	22818
216	6318	22799
217	6348	22772
218	6378	22748
219	6405	22708
220	6430	22666
221	6461	22642
222	6486	22601
223	6511	22556
224	6541	22533
225	6566	22488
226	6590	22442
227	6616	22402
228	6639	22354
229	6664	22310
230	6688	22267
231	6712	22220
232	6735	22171
233	6762	22138
234	6790	22104
235	6814	22059
236	6842	22028
237	6866	21983
238	6892	21947
239	6929	21941
240	6952	21894
241	6985	21881
242	7011	21841
243	7035	21799
244	7063	21766
245	7087	21724
246	7129	21733
247	7156	21700
248	7184	21668
249	7213	21641
250	7239	21601
251	7265	21566
252	7291	21529
253	7322	21506
254	7377	21554
255	7401	21511
256	7430	21482
257	7460	21456
258	7488	21424
259	7513	21383
260	7538	21343
261	7565	21310
262	7591	21274
263	7618	21239
264	7647	21212
265	7674	21175
266	7698	21136
267	7723	21095
268	7747	21053
269	7772	21014
270	7797	20974
271	7822	20937
272	7851	20908
273	7878	20875
274	7904	20838
275	7943	20838
276	7970	20803
277	7993	20761
278	8018	20721
279	8046	20692
280	8074	20660
281	8101	20628
282	8129	20597
283	8156	20564
284	8180	20523
285	8204	20482
286	8232	20451
287	8256	20412
288	8283	20378
289	8311	20349
290	8338	20315
291	8370	20296
292	8396	20260
293	8426	20235
294	8455	20206
295	8484	20180
296	8512	20147
297	8538	20113
298	8566	20083
299	8591	20046
300	8615	20008
301	8647	19987
302	8671	19946
303	8698	19915
304	8726	19884
305	8752	19850
306	8778	19815
307	8802	19777
308	8827	19740
309	8854	19708
310	8878	19669
311	8905	19637
312	8944	19632
313	8972	19601
314	8995	19561
315	9021	19526
316	9045	19488
317	9070	19452
318	9093	19413
319	9120	19380
