iter	Passed	Remaining
0	113	28292
1	194	24111
2	274	22630
3	350	21583
4	424	20821
5	499	20331
6	569	19775
7	636	19253
8	705	18889
9	776	18646
10	846	18384
11	917	18193
12	984	17950
13	1051	17725
14	1117	17506
15	1186	17346
16	1256	17218
17	1322	17050
18	1390	16899
19	1450	16685
20	1517	16553
21	1579	16366
22	1644	16230
23	1708	16086
24	1773	15961
25	1842	15876
26	1907	15755
27	1971	15629
28	2035	15508
29	2099	15393
30	2167	15313
31	2235	15226
32	2297	15104
33	2359	14988
34	2422	14882
35	2490	14807
36	2554	14703
37	2620	14621
38	2694	14578
39	2761	14495
40	2830	14427
41	2894	14336
42	2960	14252
43	3029	14183
44	3091	14082
45	3171	14065
46	3240	13997
47	3308	13924
48	3370	13825
49	3432	13729
50	3499	13653
51	3560	13557
52	3623	13467
53	3685	13375
54	3749	13293
55	3831	13275
56	3899	13203
57	3964	13123
58	4029	13043
59	4093	12963
60	4164	12902
61	4228	12823
62	4295	12751
63	4358	12666
64	4421	12585
65	4489	12517
66	4552	12433
67	4614	12350
68	4684	12289
69	4759	12238
70	4827	12170
71	4889	12087
72	4957	12020
73	5019	11938
74	5082	11858
75	5155	11803
76	5221	11731
77	5288	11661
78	5352	11584
79	5413	11503
80	5481	11436
81	5544	11359
82	5608	11285
83	5675	11215
84	5740	11142
85	5806	11073
86	5867	10992
87	5933	10923
88	5998	10850
89	6059	10772
90	6128	10708
91	6193	10636
92	6257	10563
93	6321	10490
94	6383	10415
95	6461	10365
96	6528	10297
97	6591	10223
98	6654	10149
99	6717	10076
100	6795	10025
101	6859	9952
102	6922	9879
103	6988	9810
104	7052	9738
105	7119	9671
106	7181	9597
107	7247	9528
108	7310	9456
109	7372	9383
110	7439	9315
111	7502	9243
112	7564	9171
113	7629	9102
114	7695	9033
115	7763	8968
116	7826	8896
117	7888	8824
118	7952	8754
119	8020	8689
120	8091	8626
121	8154	8555
122	8217	8484
123	8282	8416
124	8344	8344
125	8411	8277
126	8472	8205
127	8542	8141
128	8604	8071
129	8668	8001
130	8736	7935
131	8800	7866
132	8867	7800
133	8932	7732
134	8996	7663
135	9066	7599
136	9129	7529
137	9192	7460
138	9258	7393
139	9323	7325
140	9395	7263
141	9457	7193
142	9524	7126
143	9585	7056
144	9650	6988
145	9721	6924
146	9783	6855
147	9849	6788
148	9912	6719
149	9976	6650
150	10046	6586
151	10113	6520
152	10177	6452
153	10242	6385
154	10308	6317
155	10374	6251
156	10436	6182
157	10510	6119
158	10584	6057
159	10646	5988
160	10715	5923
161	10780	5855
162	10843	5787
163	10906	5719
164	10968	5650
165	11036	5584
166	11099	5516
167	11161	5447
168	11225	5380
169	11290	5312
170	11357	5247
171	11425	5181
172	11486	5112
173	11547	5043
174	11611	4976
175	11677	4909
176	11739	4841
177	11801	4773
178	11866	4706
179	11932	4640
180	12000	4574
181	12062	4507
182	12126	4439
183	12191	4372
184	12261	4307
185	12332	4243
186	12398	4177
187	12462	4109
188	12524	4042
189	12589	3975
190	12658	3910
191	12721	3842
192	12784	3775
193	12845	3708
194	12908	3640
195	12976	3575
196	13040	3508
197	13105	3441
198	13168	3374
199	13237	3309
200	13308	3244
201	13379	3179
202	13445	3112
203	13509	3046
204	13574	2979
205	13643	2914
206	13709	2847
207	13776	2781
208	13841	2715
209	13908	2649
210	13976	2583
211	14038	2516
212	14103	2449
213	14167	2383
214	14229	2316
215	14300	2251
216	14364	2184
217	14430	2118
218	14492	2051
219	14555	1984
220	14631	1920
221	14701	1854
222	14764	1787
223	14832	1721
224	14895	1655
225	14968	1589
226	15030	1522
227	15093	1456
228	15155	1389
229	15229	1324
230	15302	1258
231	15367	1192
232	15433	1126
233	15507	1060
234	15582	994
235	15649	928
236	15715	862
237	15778	795
238	15842	729
239	15909	662
240	15981	596
241	16046	530
242	16110	464
243	16173	397
244	16245	331
245	16315	265
246	16379	198
247	16442	132
248	16512	66
249	16585	0
