iter	Passed	Remaining
0	277	69028
1	371	46013
2	458	37742
3	545	33576
4	633	31033
5	716	29121
6	794	27596
7	880	26625
8	959	25700
9	1039	24957
10	1116	24260
11	1193	23672
12	1267	23098
13	1345	22676
14	1418	22229
15	1504	21998
16	1575	21595
17	1646	21224
18	1718	20894
19	1801	20714
20	1882	20530
21	1955	20265
22	2024	19981
23	2095	19729
24	2166	19495
25	2243	19329
26	2314	19120
27	2392	18967
28	2471	18832
29	2550	18701
30	2631	18588
31	2699	18390
32	2770	18219
33	2840	18047
34	2913	17897
35	2988	17766
36	3058	17608
37	3129	17461
38	3200	17313
39	3268	17158
40	3344	17046
41	3413	16904
42	3486	16785
43	3557	16653
44	3628	16530
45	3702	16419
46	3770	16285
47	3850	16202
48	3925	16100
49	3994	15978
50	4070	15883
51	4144	15782
52	4218	15681
53	4290	15571
54	4361	15464
55	4439	15380
56	4514	15286
57	4590	15195
58	4659	15085
59	4731	14983
60	4809	14901
61	4880	14798
62	4950	14695
63	5021	14593
64	5094	14501
65	5168	14410
66	5239	14310
67	5310	14213
68	5386	14130
69	5464	14052
70	5542	13972
71	5617	13887
72	5695	13810
73	5769	13722
74	5839	13625
75	5914	13540
76	5987	13452
77	6056	13356
78	6130	13269
79	6207	13190
80	6296	13137
81	6368	13046
82	6439	12955
83	6512	12869
84	6582	12777
85	6655	12691
86	6726	12602
87	6797	12513
88	6869	12426
89	6940	12339
90	7014	12256
91	7085	12168
92	7168	12100
93	7237	12010
94	7309	11925
95	7384	11846
96	7455	11759
97	7526	11674
98	7594	11583
99	7670	11505
100	7745	11425
101	7812	11336
102	7882	11249
103	7953	11165
104	8023	11079
105	8098	11001
106	8169	10918
107	8249	10846
108	8324	10768
109	8394	10683
110	8471	10607
111	8543	10526
112	8614	10443
113	8685	10361
114	8757	10280
115	8832	10203
116	8906	10124
117	8976	10041
118	9047	9959
119	9116	9876
120	9190	9797
121	9261	9717
122	9331	9635
123	9402	9553
124	9472	9472
125	9556	9404
126	9625	9322
127	9696	9241
128	9770	9164
129	9842	9084
130	9921	9012
131	9995	8935
132	10063	8852
133	10132	8771
134	10201	8689
135	10276	8614
136	10356	8542
137	10436	8470
138	10508	8392
139	10589	8320
140	10768	8324
141	10841	8245
142	10914	8166
143	10987	8088
144	11062	8010
145	11137	7933
146	11205	7851
147	11273	7769
148	11340	7687
149	11412	7608
150	11507	7544
151	11581	7467
152	11656	7390
153	11730	7312
154	11807	7236
155	11886	7162
156	11954	7081
157	12022	7000
158	12093	6921
159	12164	6842
160	12248	6770
161	12318	6691
162	12391	6613
163	12464	6536
164	12539	6459
165	12614	6383
166	12688	6306
167	12757	6226
168	12831	6149
169	12902	6071
170	12981	5997
171	13059	5922
172	13131	5844
173	13202	5766
174	13271	5687
175	13348	5612
176	13419	5534
177	13491	5457
178	13563	5379
179	13633	5301
180	13706	5224
181	13775	5146
182	13844	5068
183	13913	4990
184	13981	4912
185	14057	4837
186	14127	4759
187	14198	4682
188	14273	4606
189	14350	4531
190	14427	4456
191	14495	4378
192	14572	4303
193	14642	4226
194	14714	4150
195	14790	4074
196	14862	3998
197	14938	3923
198	15007	3846
199	15081	3770
200	15155	3694
201	15226	3618
202	15300	3542
203	15369	3465
204	15439	3389
205	15516	3314
206	15591	3238
207	15667	3163
208	15735	3086
209	15804	3010
210	15881	2935
211	15959	2860
212	16039	2786
213	16109	2710
214	16187	2635
215	16277	2562
216	16352	2486
217	16423	2410
218	16497	2335
219	16572	2259
220	16654	2185
221	16727	2109
222	16800	2034
223	16871	1958
224	16943	1882
225	17022	1807
226	17091	1731
227	17160	1655
228	17239	1580
229	17321	1506
230	17401	1431
231	17479	1356
232	17549	1280
233	17620	1204
234	17689	1129
235	17764	1053
236	17833	978
237	17902	902
238	17969	827
239	18039	751
240	18119	676
241	18187	601
242	18258	525
243	18341	451
244	18411	375
245	18486	300
246	18556	225
247	18627	150
248	18698	75
249	18771	0
