iter	Passed	Remaining
0	267	266797
1	553	276125
2	883	293658
3	1201	299142
4	1524	303362
5	1942	321796
6	2283	323988
7	2628	325931
8	2972	327300
9	3339	330586
10	3705	333159
11	4111	338546
12	4528	343802
13	4886	344157
14	5293	347637
15	5696	350328
16	6128	354343
17	6554	357561
18	6969	359853
19	7355	360425
20	7778	362649
21	8139	361827
22	8576	364321
23	9014	366604
24	9350	364683
25	9671	362310
26	10036	361669
27	10429	362051
28	10898	364903
29	11288	364993
30	11713	366143
31	12109	366303
32	12553	367860
33	12990	369092
34	13337	367742
35	13760	368476
36	14145	368163
37	14533	367921
38	14919	367621
39	15309	367423
40	15683	366848
41	16001	364990
42	16162	359706
43	16528	359124
44	16875	358131
45	17312	359046
46	17499	354821
47	17816	353366
48	18228	353790
49	18631	353998
50	19024	353997
51	19444	354489
52	19855	354778
53	19969	349828
54	20319	349120
55	20708	349082
56	20872	345314
57	21242	345000
58	21685	345864
59	22016	344919
60	22385	344590
61	22848	345677
62	22960	341485
63	23409	342361
64	23887	343618
65	24110	341195
66	24551	341888
67	24956	342055
68	25288	341205
69	25708	341554
70	26162	342328
71	26277	338689
72	26710	339190
73	27154	339801
74	27590	340276
75	28038	340889
76	28502	341664
77	28940	342087
78	29350	342172
79	29804	342746
80	30228	342966
81	30603	342607
82	31034	342874
83	31460	343064
84	31814	342468
85	32238	342628
86	32632	342456
87	33004	342046
88	33337	341243
89	33448	338205
90	33828	337916
91	34221	337746
92	34643	337871
93	34720	334650
94	35138	334737
95	35495	334248
96	35918	334374
97	36360	334660
98	36769	334642
99	37140	334268
100	37485	333656
101	37935	333977
102	38284	333406
103	38402	330851
104	38829	330975
105	39219	330774
106	39665	331039
107	40058	330855
108	40444	330607
109	40856	330565
110	41249	330370
111	41657	330288
112	42060	330155
113	42176	327796
114	42411	326385
115	42523	324061
116	42947	324127
117	43070	321930
118	43456	321723
119	43856	321615
120	44296	321786
121	44652	321354
122	45050	321216
123	45481	321306
124	45857	321000
125	46278	321009
126	46656	320719
127	47081	320741
128	47500	320721
129	47895	320530
130	48267	320187
131	48695	320209
132	49057	319797
133	49435	319486
134	49954	320076
135	50391	320135
136	50770	319817
137	51126	319354
138	51511	319077
139	51848	318497
140	52291	318570
141	52654	318149
142	52897	317012
143	53278	316714
144	53713	316726
145	54122	316580
146	54538	316470
147	54958	316381
148	55374	316267
149	55755	315950
150	56088	315359
151	56447	314916
152	56885	314915
153	57303	314795
154	57686	314486
155	58025	313931
156	58478	313993
157	58895	313860
158	59249	313386
159	59635	313086
160	60047	312918
161	60451	312707
162	60821	312318
163	61222	312085
164	61612	311794
165	62041	311704
166	62431	311411
167	62884	311426
168	63209	310811
169	63623	310631
170	64099	310753
171	64505	310525
172	64870	310101
173	65287	309925
174	65709	309773
175	66113	309532
176	66536	309375
177	66937	309114
178	67356	308936
179	67672	308285
180	68099	308142
181	68582	308245
182	68861	307432
183	69293	307299
184	69703	307070
185	70129	306911
186	70440	306248
187	70853	306026
188	71285	305885
189	71748	305876
190	72147	305589
191	72549	305314
192	72996	305222
193	73449	305156
194	73884	305010
195	74158	304201
196	74589	304038
197	74999	303783
198	75318	303167
199	75642	302569
200	76103	302521
201	76524	302310
202	76952	302123
203	77348	301808
204	77717	301392
205	78162	301268
206	78522	300815
207	78841	300202
208	79218	299817
209	79647	299626
210	80040	299298
211	80380	298772
212	80686	298123
213	80961	297362
214	81242	296630
215	81673	296445
216	81944	295681
217	82408	295610
218	82720	294997
219	83088	294584
220	83488	294285
221	83932	294143
222	84258	293582
223	84647	293243
224	85068	293013
225	85505	292837
226	85893	292492
227	86355	292395
228	86764	292120
229	87082	291538
230	87509	291318
231	87870	290880
232	88260	290538
