iter	Passed	Remaining
0	703	702976
1	1279	638241
2	1792	595641
3	2536	631646
4	3195	635839
5	3940	652794
6	4600	652645
7	5470	678378
8	6419	706906
9	7393	731937
10	8454	760142
11	9369	771433
12	10465	794542
13	11660	821220
14	12981	852460
15	14005	861309
16	15136	875249
17	16217	884760
18	17379	897314
19	18243	893952
20	19105	890695
21	20215	898684
22	21070	895037
23	21880	889795
24	22726	886315
25	23751	889758
26	24627	887507
27	25591	888376
28	26536	888512
29	27477	888438
30	28548	892381
31	29593	895190
32	30487	893390
33	31508	895219
34	32450	894705
35	33398	894341
36	34257	891624
37	35110	888839
38	36087	889224
39	36944	886668
40	37836	884993
41	38791	884816
42	39749	884661
43	40503	880035
44	41342	877370
45	42209	875397
46	43123	874399
47	43983	872330
48	44827	870021
49	45669	867729
50	46660	868244
51	47626	868269
52	48564	867739
53	49383	865126
54	50198	862497
55	51108	861539
56	52013	860504
57	52952	860015
58	53751	857296
59	54630	855871
60	55543	855009
61	56425	853657
62	57370	853276
63	58240	851761
64	59125	850503
65	60001	849114
66	60848	847344
67	61746	846292
68	62505	843376
69	63390	842182
70	64112	838883
71	64796	835154
72	65563	832570
73	66373	830567
74	67369	830889
75	68431	831977
76	69234	829910
77	70069	828261
78	71021	827989
79	71922	827104
80	72864	826698
81	73739	825518
82	74559	823743
83	75462	822899
84	76304	821390
85	77176	820220
86	77390	812156
87	78222	810672
88	79064	809302
89	79965	808543
90	80959	808709
91	81158	801001
92	82090	800602
93	83090	800853
94	84131	801462
95	84979	800219
96	85721	798007
97	86526	796395
98	87438	795782
99	88422	795804
100	89305	794909
101	89962	792018
102	90705	789932
103	90901	783154
104	91815	782619
105	92680	781667
106	93523	780527
107	93721	774066
108	94634	773574
109	95634	773769
110	96602	773687
111	97429	772475
112	98221	770992
113	99177	770804
114	100098	770320
115	101023	769868
116	101857	768722
117	102844	768719
118	103806	768519
119	104590	766999
120	105439	765958
121	106387	765643
122	107283	764938
123	108142	763973
124	109037	763265
125	109862	762064
126	110637	760520
127	111573	760091
128	112591	760209
129	113507	759624
130	114318	758343
131	115096	756845
132	115843	755160
133	116787	754757
134	117615	753610
135	118506	752866
136	118711	747798
137	119607	747115
138	120431	745979
139	121332	745325
140	122310	745141
141	123264	744793
142	124123	743874
143	124917	742567
144	125616	740706
145	126565	740324
146	127472	739685
147	128297	738575
148	129136	737549
149	130083	737141
150	130916	736079
151	131823	735433
152	132727	734773
153	133577	733811
154	134433	732879
155	135253	731756
156	136080	730675
157	136834	729209
158	137755	728630
159	138602	727662
160	139376	726316
161	140188	725174
162	141068	724384
163	141914	723418
164	142790	722605
165	143721	722070
166	144625	721394
167	145520	720671
168	146447	720105
169	147319	719265
170	148140	718177
171	149020	717375
172	149873	716445
173	150725	715510
174	151542	714416
175	152331	713187
176	153137	712048
177	153982	711087
178	154908	710502
179	155764	709592
180	156596	708578
181	157254	706781
182	158167	706137
183	159012	705186
184	159811	704036
185	160623	702943
186	161444	701895
187	162398	701423
188	163344	700912
189	164295	700417
190	165211	699769
191	166124	699108
192	166934	698012
193	167792	697117
194	168775	696741
195	169659	695948
196	170535	695126
197	171502	694673
198	172485	694274
199	173381	693525
200	174307	692892
201	175200	692128
202	176103	691402
203	176939	690411
204	177775	689420
205	178698	688771
206	179665	688284
207	180477	687203
208	181356	686378
209	182392	686142
210	183339	685569
211	184372	685309
212	185254	684483
213	186210	683932
214	187242	683653
215	188190	683062
216	189047	682138
217	189888	681160
218	190768	680322
219	191558	679161
220	192426	678283
221	193278	677346
222	194061	676168
223	195063	675754
224	196115	675508
225	196886	674294
226	197741	673365
227	198521	672186
228	199409	671373
229	200299	670567
230	201320	670196
231	202085	668974
232	203161	668774
233	204153	668297
234	205141	667802
235	206063	667087
236	206995	666403
237	207858	665497
238	208718	664579
239	209653	663903
240	210502	662950
241	211480	662404
242	212362	661556
243	213389	661158
244	214162	659969
245	215108	659315
246	216005	658511
247	216965	657896
248	217805	656914
249	218866	656599
250	219838	656013
251	220800	655391
252	221771	654795
253	222699	654070
254	223599	653260
255	224440	652280
256	225395	651630
257	226330	650920
258	227194	650003
259	228025	648996
260	228993	648375
261	230105	648159
262	231012	647362
263	231930	646594
264	232855	645843
265	233863	645321
266	234659	644215
267	235483	643186
268	236351	642279
269	237356	641742
270	238418	641354
271	239355	640627
272	240334	640011
273	241272	639283
274	242167	638441
275	243105	637711
276	243999	636863
277	244965	636205
278	246001	635723
279	247010	635170
280	247930	634385
281	248811	633498
282	249724	632693
283	250580	631745
284	251317	630498
285	252173	629551
286	253016	628573
287	254109	628215
288	255125	627662
289	256083	626962
290	257072	626338
291	258007	625579
292	258906	624733
293	259852	623999
294	260660	622934
295	261597	622177
296	262712	621842
297	263838	621526
298	264965	621206
299	265825	620259
300	266972	619980
301	268011	619443
302	269104	619028
303	270300	618845
304	271390	618414
305	272334	617647
306	273404	617163
307	274538	616821
308	275319	615682
309	276388	615186
310	277391	614543
311	278597	614343
312	279621	613738
313	280772	613408
314	281750	612695
315	282864	612276
316	283834	611542
317	284840	610885
318	285573	609641
319	286408	608617
320	287345	607810
321	288334	607113
322	289353	606478
323	290469	606041
324	291453	605325
325	292425	604584
326	293346	603738
327	294310	602978
328	295167	601998
329	296176	601328
330	297197	600679
331	298311	600216
332	299331	599561
333	300348	598898
334	301496	598493
335	302648	598090
336	303643	597375
337	304654	596690
338	305771	596208
339	306811	595576
340	307880	594995
341	309070	594644
342	310099	593979
343	311110	593280
344	312031	592407
345	312969	591567
346	314033	590962
347	315058	590281
348	316065	589566
349	317166	589023
350	318252	588449
351	319304	587810
352	320219	586917
353	321032	585839
354	321976	584999
355	322853	584038
356	323844	583282
357	324901	582644
358	325873	581852
359	326949	581244
360	328021	580625
361	329109	580033
362	330243	579518
363	331201	578691
364	332116	577790
365	333079	576974
366	334129	576304
367	335139	575565
368	336123	574779
369	336982	573780
370	338034	573109
371	338966	572234
372	339922	571397
373	340838	570494
374	341811	569685
375	342726	568780
376	343625	567847
377	344544	566949
378	345465	566052
379	346386	565156
380	347348	564327
381	348310	563496
382	349185	562525
383	350071	561572
384	351025	560728
385	351929	559804
386	352665	558615
387	353559	557676
388	354596	556962
389	355629	556241
390	356607	555432
391	357491	554476
392	358566	553816
393	359531	552985
394	360501	552160
395	361297	551069
396	362207	550153
397	363097	549207
398	364010	548296
399	365081	547622
400	366090	546853
401	367075	546047
402	368106	545308
403	369086	544493
404	370050	543654
405	371057	542877
406	371979	541974
407	372983	541191
408	373878	540249
409	374820	539375
410	375729	538454
411	376690	537606
412	377698	536825
413	378769	536132
414	379879	535493
415	380952	534798
416	382014	534088
417	383000	533268
418	383887	532311
419	384929	531568
420	385962	530813
421	386895	529918
422	387766	528938
423	388846	528244
424	389781	527351
425	390705	526443
426	391590	525482
427	392560	524637
428	393499	523749
429	394403	522813
430	395278	521841
431	396339	521113
432	397469	520473
433	398393	519564
434	399293	518623
435	400225	517722
436	401121	516776
437	402077	515907
438	403071	515086
439	403790	513914
440	404679	512961
441	405643	512101
442	406577	511204
443	407520	510318
444	408413	509369
445	409381	508514
446	410286	507580
447	411239	506705
448	412137	505763
449	413113	504916
450	413979	503935
451	415019	503164
452	416079	502418
453	417190	501731
454	418281	501018
455	419259	500169
456	420274	499363
457	421226	498481
458	422115	497526
459	423051	496625
460	423939	495668
461	424873	494765
462	425721	493763
463	426548	492737
464	427369	491704
465	428336	490840
466	429163	489816
467	430078	488892
468	430903	487866
469	431909	487046
470	432794	486089
471	433631	485079
472	434517	484123
473	435412	483178
474	436442	482383
475	437330	481431
476	438278	480544
477	439183	479610
478	440090	478679
479	440975	477723
480	441896	476806
481	442790	475862
482	443691	474924
483	444696	474098
484	445511	473069
485	446427	472147
486	447353	471236
487	448211	470254
488	449043	469246
489	449929	468294
490	450972	467505
491	451943	466640
492	452867	465727
493	453763	464786
494	454689	463874
495	455610	462958
496	456536	462047
497	457374	461047
498	458262	460099
499	459159	459159
500	460071	458234
501	461071	457397
502	462050	456539
503	462924	455576
504	463757	454574
505	464692	453672
506	465522	452667
507	466492	451799
508	467475	450943
509	468425	450055
510	469233	449031
511	470164	448125
512	471087	447211
513	472036	446322
514	472962	445411
515	473806	444422
516	474626	443412
517	475625	442570
518	476702	441799
519	477741	440991
520	478602	440020
521	479431	439020
522	480328	438081
523	481310	437221
524	482188	436266
525	483104	435344
526	484160	434549
527	485043	433599
528	486063	432771
529	487169	432018
530	488233	431227
531	489378	430505
532	490324	429608
533	491346	428778
534	492219	427816
535	493155	426911
536	494029	425951
537	494953	425034
538	495957	424186
539	497088	423445
540	498060	422568
541	499014	421676
542	499922	420744
543	500810	419796
544	501798	418932
545	502735	418025
546	503643	417094
547	504579	416185
548	505540	415298
549	506450	414368
550	507462	413522
551	508381	412599
552	509372	411735
553	510286	410807
554	511139	409832
555	512045	408899
556	512949	407965
557	513820	407005
558	514739	406082
559	515546	405071
560	516424	404118
561	517314	403173
562	518226	402247
563	519209	401374
564	520121	400447
565	521102	399573
566	521973	398614
567	522858	397667
568	523760	396732
569	524599	395750
570	525446	394775
571	526299	393804
572	527195	392866
573	528152	391974
574	529099	391073
575	529994	390134
576	530890	389197
577	531790	388262
578	532723	387351
579	533602	386402
580	534692	385604
581	535625	384692
582	536535	383765
583	537405	382809
584	538261	381843
585	539125	380883
586	539952	379898
587	540842	378957
588	541716	378005
589	542599	377060
590	543470	376107
591	544328	375145
592	545254	374230
593	546206	373332
594	547120	372409
595	548098	371529
596	549115	370675
597	550292	369928
598	551320	369081
599	552219	368146
600	553034	367156
601	553908	366205
602	554871	365313
603	555674	364316
604	556632	363421
605	557541	362494
606	558463	361575
607	559369	360645
608	560349	359764
609	561431	358947
610	562428	358076
611	563402	357190
612	564351	356286
613	565305	355387
614	566216	354460
615	567085	353508
616	568036	352606
617	569084	351764
618	570008	350845
619	570914	349915
620	571843	348999
621	572813	348108
622	573577	347092
623	574459	346148
624	575317	345190
625	576255	344280
626	577173	343358
627	578138	342463
628	579013	341516
629	580019	340646
630	581006	339764
631	582001	338887
632	583054	338042
633	584225	337265
634	585276	336418
635	586420	335624
636	587485	334783
637	588515	333922
638	589467	333016
639	590390	332094
640	591478	331264
641	592518	330407
642	593534	329536
643	594439	328603
644	595342	327669
