iter	Passed	Remaining
0	117	117058
1	228	114252
2	332	110581
3	435	108558
4	536	106757
5	643	106656
6	739	104884
7	840	104192
8	937	103176
9	1039	102873
10	1146	103047
11	1254	103256
12	1352	102712
13	1451	102245
14	1552	101975
15	1664	102378
16	1766	102131
17	1869	101969
18	1974	101969
19	2072	101535
20	2192	102204
21	2304	102438
22	2403	102086
23	2501	101738
24	2608	101726
25	2713	101648
26	2820	101627
27	2924	101524
28	3026	101330
29	3129	101200
30	3243	101380
31	3349	101321
32	3451	101144
33	3552	100924
34	3653	100736
35	3769	100931
36	3870	100740
37	3970	100516
38	4080	100559
39	4182	100390
40	4288	100317
41	4401	100393
42	4498	100107
43	4605	100061
44	4709	99949
45	4806	99687
46	4903	99427
47	5006	99292
48	5101	99018
49	5200	98816
50	5300	98622
51	5403	98501
52	5509	98435
53	5607	98230
54	5702	97980
55	5809	97931
56	5913	97834
57	6018	97744
58	6125	97696
59	6220	97452
60	6327	97397
61	6423	97182
62	6516	96925
63	6626	96914
64	6723	96718
65	6827	96613
66	6931	96517
67	7027	96317
68	7126	96155
69	7223	95971
70	7339	96030
71	7444	95945
72	7545	95815
73	7663	95896
74	7760	95712
75	7869	95675
76	7976	95614
77	8074	95449
78	8181	95380
79	8279	95215
80	8393	95230
81	8487	95021
82	8590	94912
83	8699	94868
84	8798	94709
85	8920	94808
86	9025	94711
87	9131	94630
88	9236	94539
89	9333	94368
90	9443	94326
91	9543	94190
92	9644	94064
93	9757	94048
94	9858	93919
95	9968	93867
96	10068	93729
97	10171	93618
98	10274	93512
99	10366	93301
100	10468	93181
101	10579	93143
102	10712	93289
103	10813	93164
104	10917	93061
105	11031	93042
106	11124	92845
107	11230	92752
108	11337	92678
109	11439	92555
110	11555	92546
111	11659	92446
112	11762	92333
113	11875	92292
114	11975	92157
115	12089	92128
116	12186	91971
117	12284	91819
118	12387	91708
119	12485	91559
120	12588	91446
121	12703	91424
122	12802	91283
123	12909	91196
124	13012	91087
125	13117	90992
126	13214	90838
127	13311	90683
128	13411	90556
129	13509	90410
130	13617	90332
131	13716	90194
132	13820	90091
133	13920	89965
134	14011	89777
135	14118	89691
136	14230	89644
137	14333	89532
138	14438	89432
139	14532	89272
140	14638	89179
141	14744	89087
142	14845	88970
143	14944	88838
144	15044	88712
145	15153	88637
146	15254	88515
147	15349	88361
148	15449	88235
149	15546	88097
150	15662	88061
151	15761	87934
152	15860	87805
153	15963	87698
154	16067	87595
155	16181	87544
156	16276	87396
157	16369	87237
158	16466	87094
159	16562	86953
160	16667	86857
161	16768	86742
162	16865	86605
163	16969	86502
164	17072	86397
165	17179	86311
166	17277	86180
167	17375	86050
168	17477	85938
169	17574	85802
170	17684	85734
171	17790	85643
172	17892	85532
173	17995	85428
174	18101	85334
175	18215	85282
176	18310	85139
177	18413	85034
178	18509	84894
179	18600	84737
180	18712	84672
181	18812	84552
182	18916	84451
183	19025	84375
184	19123	84248
185	19230	84157
186	19325	84020
187	19422	83889
188	19526	83787
189	19617	83634
190	19717	83516
191	19824	83426
192	19919	83289
193	20023	83189
194	20125	83080
195	20226	82971
196	20322	82835
197	20426	82736
198	20526	82623
199	20617	82471
200	20716	82349
201	20812	82220
202	20946	82238
203	21042	82106
204	21138	81974
205	21250	81905
206	21346	81777
