iter	Passed	Remaining
0	214	214244
1	399	199489
2	583	194002
3	763	190144
4	949	188904
5	1131	187376
6	1312	186240
7	1493	185203
8	1669	183851
9	1850	183180
10	2046	184018
11	2232	183841
12	2442	185406
13	2623	184765
14	2810	184526
15	2996	184271
16	3177	183748
17	3355	183074
18	3534	182514
19	3709	181745
20	3899	181813
21	4090	181846
22	4274	181573
23	4459	181369
24	4641	181024
25	4834	181092
26	5019	180897
27	5201	180572
28	5384	180273
29	5569	180084
30	5757	179967
31	5941	179736
32	6126	179514
33	6308	179225
34	6487	178868
35	6679	178873
36	6869	178790
37	7062	178795
38	7242	178474
39	7433	178415
40	7620	178239
41	7806	178065
42	7984	177697
43	8120	176436
44	8309	176356
45	8499	176262
46	8682	176060
47	8869	175909
48	9055	175749
49	9243	175634
50	9433	175545
51	9618	175354
52	9799	175092
53	9974	174745
54	10155	174495
55	10338	174281
56	10521	174060
57	10709	173931
58	10886	173628
59	11064	173347
60	11248	173150
61	11426	172866
62	11605	172613
63	11786	172377
64	11966	172127
65	12151	171964
66	12330	171704
67	12504	171389
68	12692	171251
69	12873	171027
70	13061	170904
71	13243	170688
72	13424	170466
73	13608	170296
74	13787	170046
75	13970	169848
76	14157	169701
77	14338	169482
78	14520	169284
79	14701	169067
80	14889	168925
81	15069	168705
82	15251	168502
83	15431	168281
84	15641	168376
85	15829	168239
86	16008	167999
87	16190	167794
88	16372	167584
89	16550	167345
90	16739	167207
91	16921	167011
92	17109	166864
93	17285	166605
94	17465	166383
95	17652	166226
96	17834	166024
97	18009	165759
98	18188	165533
99	18365	165290
100	18553	165143
101	18730	164904
102	18912	164704
103	19091	164477
104	19268	164237
105	19454	164082
106	19633	163856
107	19808	163604
108	19986	163376
109	20165	163159
110	20352	163005
111	20535	162815
112	20712	162581
113	20894	162388
114	21072	162168
115	21259	162011
116	21448	161869
117	21624	161630
118	21809	161462
119	21987	161244
120	22171	161066
121	22348	160838
122	22531	160653
123	22709	160430
124	22887	160214
125	23071	160038
126	23250	159821
127	23427	159596
128	23620	159480
129	23800	159278
130	23986	159119
131	24163	158891
132	24345	158701
133	24523	158484
134	24729	158452
135	24915	158287
136	25092	158061
137	25273	157868
138	25456	157685
139	25635	157476
140	25824	157329
141	26004	157128
142	26183	156918
143	26369	156754
144	26550	156555
145	26743	156431
146	26926	156246
147	27105	156038
148	27291	155873
149	27466	155645
150	27654	155488
151	27836	155299
152	28016	155100
153	28190	154866
154	28368	154655
155	28551	154469
156	28729	154258
157	28916	154101
158	29101	153924
159	29280	153724
160	29472	153587
161	29656	153406
162	29832	153189
