iter	Logloss_SumError	Logloss_SumWeight	Precision_SumError	Precision_SumWeight
0	797.0813546	1373	681	693
1	682.0492452	1373	684	698
2	581.8544518	1373	684	698
3	510.5768209	1373	681	693
4	448.4361121	1373	681	693
5	391.2750234	1373	684	698
6	337.1698242	1373	684	698
7	291.293201	1373	684	698
8	257.6361194	1373	684	698
9	237.3937878	1373	681	693
10	210.2417777	1373	681	693
11	186.6564568	1373	684	698
12	166.2382783	1373	684	698
13	148.4614554	1373	684	698
14	134.777711	1373	684	698
15	122.4431521	1373	684	698
16	112.2541582	1373	684	698
17	103.6362778	1373	683	693
18	95.96439202	1373	683	693
19	90.29376956	1373	683	693
20	85.23397988	1373	683	693
21	80.82225312	1373	683	693
22	76.42608852	1373	683	693
23	73.00233191	1373	683	693
24	69.91846134	1373	683	693
25	66.88116365	1373	683	693
26	64.00749704	1373	683	693
27	61.27026814	1373	683	693
28	59.33845442	1373	683	693
29	57.53884487	1373	683	693
30	56.2699853	1373	683	693
31	54.44582807	1373	683	693
32	52.99069625	1373	683	693
33	51.70246413	1373	683	693
34	50.3342444	1373	683	693
35	49.47143983	1373	683	693
36	48.58048313	1373	683	693
37	48.01834291	1373	683	693
38	47.48581983	1373	683	693
39	46.90122859	1373	683	693
40	46.36487189	1373	683	693
41	45.73940067	1373	683	693
